"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"24000","Maryland","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1059927,1133039,1214255,1292747,1415145,1545798,1696322,1862931,1995110,2163406,2276878,2466662,2811545,3144227,3413605,3811408,4325361,4670408,5011561,5523800,6274376,6986762,8303422,9993619,11847293,12470750,14165366,15385438,16550417,17431711,19108289,21320401,22532764,23354836,23935939,25203925,26560672,28390662,29830941,31951653,33706530,34722251,37611158,38380976,38261548,39278593,42805790,45017867,50755644,54220805,56270578,51307378,51399505,55675254,60180483,58959822,61472923
"24000","Maryland","2","SA40","91","...","  Personal dividend income",212084,230780,247023,257051,280417,316168,361763,407332,407274,424923,430940,447626,453709,471384,509723,574002,644434,634693,753527,867223,982289,1109324,1273439,1500711,1786425,1673799,1817409,1952893,2140676,2256091,2571212,3206001,3414923,3577079,3764391,4057973,4652953,5034950,5880877,6757284,7272136,7397031,8684597,8549249,9313500,9540498,12817946,12437169,15488867,17209830,16891370,11899332,11892559,13298831,16063352,14013011,14519729
"24000","Maryland","2","SA40","92","...","  Personal interest income",601285,640070,690524,738607,817275,895918,996108,1111928,1241125,1375353,1494252,1655257,2003664,2297715,2522626,2862030,3298902,3664945,3927571,4420724,5058938,5665224,6773161,8184256,9781096,10473460,12029813,13103302,14209013,15015081,16249699,17862513,18764055,19207578,19079096,19357785,19658432,20854829,21142110,22234877,22959279,23657463,25221269,25809234,24578171,24714038,24370581,27258056,30687118,33275998,33615666,31476066,29796147,30599236,31294438,31228742,31967942
"24000","Maryland","2","SA40","93","...","    Imputed interest receipts 1/",328642,359508,391582,432500,476521,522394,586942,655760,736261,807348,895544,1024425,1284644,1511048,1665684,1847822,2076346,2388915,2531760,2799095,3231614,3426091,3895049,4376384,5087152,5983435,6496255,7368036,8186526,8968080,9601057,10280206,10893596,11578281,12099284,12729769,13122801,13968766,14170740,15160852,14964189,15727349,16365421,16660230,16947204,17378704,18233661,19016797,20602332,21671026,22735929,22819099,22714468,23287197,23436192,24104123,24567821
"24000","Maryland","2","SA40","94","...","    Monetary interest receipts",272643,280562,298942,306107,340754,373524,409166,456168,504864,568005,598708,630832,719020,786667,856942,1014208,1222556,1276030,1395811,1621629,1827324,2239133,2878112,3807872,4693944,4490025,5533558,5735266,6022487,6047001,6648642,7582307,7870459,7629297,6979812,6628016,6535631,6886063,6971370,7074025,7995090,7930114,8855848,9149004,7630967,7335334,6136920,8241259,10084786,11604972,10879737,8656967,7081679,7312039,7858246,7124619,7400121
"24000","Maryland","2","SA40","95","...","  Rental income of persons 2/",246558,262189,276708,297089,317453,333712,338451,343671,346711,363130,351686,363779,354172,375128,381256,375376,382025,370770,330463,235853,233149,212214,256822,308652,279772,323491,318144,329243,200728,160539,287378,251887,353786,570179,1092452,1788167,2249287,2500883,2807954,2959492,3475115,3667757,3705292,4022493,4369877,5024057,5617263,5322642,4579659,3734977,5763542,7931980,9710799,11777187,12822693,13718069,14985252
"24000","Maryland","2","SA40","96","...","    Imputed rent",174934,192567,209264,225911,245103,256993,262581,271549,284373,296689,291600,301999,292470,311382,303972,287248,291161,270934,231516,123397,117974,86223,88798,88063,15757,-8786,-67720,-150398,-299993,-328520,-185690,-207934,-154331,-35490,326403,922154,1341676,1515999,1864722,1922850,2331436,2673852,2762824,3036465,3353544,3943473,4521498,4242123,3429036,2425995,4118594,6262327,7666604,9446602,10272821,11165302,12308980
"24000","Maryland","2","SA40","97","...","    Monetary rent",71624,69622,67444,71178,72350,76719,75870,72122,62338,66441,60086,61780,61702,63746,77284,88128,90864,99836,98947,112456,115175,125991,168024,220589,264015,332277,385864,479641,500721,489059,473068,459821,508117,605669,766049,866013,907611,984884,943232,1036642,1143679,993905,942468,986028,1016333,1080584,1095765,1080519,1150623,1308982,1644948,1669653,2044195,2330585,2549872,2552767,2676272
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
