"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"30000","Montana","7","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",198579,212986,225775,224480,241112,250730,273812,298359,323811,342280,343406,393972,455155,488500,539867,629285,735455,840099,914501,1039367,1188004,1355909,1605802,1963151,2227040,2343112,2572775,2672309,2660485,2628837,2685006,2964586,3081325,3158585,3269458,3387571,3582306,3946776,4151110,4448353,4750691,4714993,5044889,5230088,5204337,5647654,5931997,6167331,7044491,7835899,8245734,7404512,7358708,8315802,9245520,9004933,9359740
"30000","Montana","7","SA40","91","...","  Personal dividend income",27911,30793,32922,32591,36267,36413,42314,51236,56673,59678,50981,51880,52929,55368,60195,70578,82132,87355,103812,120032,140276,162126,178206,203496,232377,231757,247537,259440,281830,296578,324098,399139,426935,475367,496600,545707,620721,668794,792661,885604,928663,930578,965961,1025227,1085441,1397016,1954783,2015606,2655964,3050923,3035785,2185427,2157691,2674580,3263767,2900495,2994404
"30000","Montana","7","SA40","92","...","  Personal interest income",100567,113052,124535,126993,136835,148333,163951,179043,197669,215107,226675,266145,318734,356730,393694,457925,548370,653851,714589,836775,954846,1101322,1315366,1603079,1815971,1951890,2163068,2256277,2268511,2230162,2249717,2448846,2520889,2514787,2544733,2542615,2588308,2883163,2964573,3106749,3313136,3252555,3528610,3553505,3445401,3533574,3202411,3361652,3659877,4086763,4290575,4119554,3812722,3870738,4074467,4031952,4138064
"30000","Montana","7","SA40","93","...","    Imputed interest receipts 1/",41016,45626,51462,57852,62003,67818,73431,77674,83568,88849,91877,114706,143136,163927,183433,205541,242620,313677,331141,374637,428862,448329,506662,565499,674952,845233,869421,987666,1037820,1082456,1095225,1148680,1199112,1269803,1368030,1448637,1493269,1650516,1686726,1813638,1834201,1867362,1979869,1953391,2027482,2132430,2120902,2067784,2147780,2304724,2499523,2595322,2564442,2589408,2649151,2738403,2793163
"30000","Montana","7","SA40","94","...","    Monetary interest receipts",59551,67426,73073,69141,74832,80515,90520,101369,114101,126258,134798,151439,175598,192803,210261,252384,305750,340174,383448,462138,525984,652993,808704,1037580,1141019,1106657,1293647,1268611,1230691,1147706,1154492,1300166,1321777,1244984,1176703,1093978,1095039,1232647,1277847,1293111,1478935,1385193,1548741,1600114,1417919,1401144,1081509,1293868,1512097,1782039,1791052,1524232,1248280,1281330,1425316,1293549,1344901
"30000","Montana","7","SA40","95","...","  Rental income of persons 2/",70101,69141,68318,64896,68010,65984,67547,68080,69469,67495,65750,75947,83492,76402,85978,100782,104953,98893,96100,82560,92882,92461,112230,156576,178692,159465,162170,156592,110144,102097,111191,116601,133501,168431,228125,299249,373277,394819,393876,456000,508892,531860,550318,651356,673495,717064,774803,790073,728650,698213,919374,1099531,1388295,1770484,1907286,2072486,2227272
"30000","Montana","7","SA40","96","...","    Imputed rent",28483,31366,33997,34867,36013,36422,36057,36354,37200,38251,36721,49091,53085,57080,58616,55595,56345,53406,47666,34984,39204,34969,33121,34692,22448,21248,15913,10761,2644,5790,22441,31195,46449,69017,98873,143813,181405,194523,225158,228848,263638,298176,334249,416911,443387,474899,507004,491223,420006,340254,456957,677104,872904,1133487,1174545,1342533,1462056
"30000","Montana","7","SA40","97","...","    Monetary rent",41618,37775,34321,30029,31997,29562,31490,31726,32269,29244,29029,26856,30407,19322,27362,45187,48608,45487,48434,47576,53678,57492,79109,121884,156244,138217,146257,145831,107500,96307,88750,85406,87052,99414,129252,155436,191872,200296,168718,227152,245254,233684,216069,234445,230108,242165,267799,298850,308644,357959,462417,422427,515391,636997,732741,729953,765216
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
