"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"37000","North Carolina","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",762243,817730,895010,967860,1063174,1135090,1241453,1339420,1442860,1533104,1633252,1864674,2189183,2375649,2630693,2992042,3480461,3855184,4170085,4697017,5351851,6026101,7424813,9178585,10505463,11512262,13369008,14645861,15779577,16498736,18477146,21010349,22267515,22614854,23827691,25335462,27334344,29706576,32583319,35419891,38349967,38742056,40823209,41116721,40143608,41429692,45753939,49786252,53161858,59439576,62054130,55760315,53749663,59957468,64225351,64058831,66458050
"37000","North Carolina","5","SA40","91","...","  Personal dividend income",154846,164024,188536,200959,218624,232073,275536,312030,318724,321445,347831,378826,396227,424037,471143,523552,581337,589101,713819,837817,955824,1087045,1217261,1407806,1483792,1651254,1840652,2101212,2349726,2544498,3117919,3716357,4067568,4399722,4787872,5415214,6421556,7143421,8611916,9793640,10693756,9911295,10443757,9590893,10508237,11412926,14859708,15259647,18772069,21485233,21416404,14647198,13839048,16639850,19793523,18914529,19596868
"37000","North Carolina","5","SA40","92","...","  Personal interest income",355194,393204,429703,470085,522738,566054,626758,690768,776836,853957,944285,1094741,1358632,1512118,1704423,1989668,2413559,2825452,3057927,3546987,4060566,4616614,5846834,7323119,8602026,9398906,11029917,12001917,12954638,13499338,14755824,16657675,17382028,17127978,17454153,17754803,18228965,19561225,20388584,21933515,23496854,24279152,25613515,26005191,23807839,24027653,24540648,28925552,29644656,33710192,34495741,32888970,29714317,30681845,30909246,30618692,31087540
"37000","North Carolina","5","SA40","93","...","    Imputed interest receipts 1/",222901,253442,273531,300118,323792,349609,379108,411733,448946,489692,525077,612646,785614,868457,989292,1116376,1340899,1650356,1742306,1975002,2283805,2425975,2893723,3339326,3955565,4834032,5350567,6144937,6858525,7506777,8058309,8750882,9216019,9556116,10401849,10985218,11404625,12250201,12608472,13776168,14016963,14796046,15299241,15306641,15262134,15845085,17123615,18364541,18278624,19984159,21401826,22211026,21479996,21979057,21844132,22403728,22558866
"37000","North Carolina","5","SA40","94","...","    Monetary interest receipts",132293,139762,156172,169967,198946,216445,247650,279035,327890,364265,419208,482095,573018,643661,715131,873292,1072660,1175096,1315621,1571985,1776761,2190639,2953111,3983793,4646461,4564874,5679350,5856980,6096113,5992561,6697515,7906793,8166009,7571862,7052304,6769585,6824340,7311024,7780112,8157347,9479891,9483106,10314274,10698550,8545705,8182568,7417033,10561011,11366032,13726033,13093915,10677944,8234321,8702788,9065114,8214964,8528674
"37000","North Carolina","5","SA40","95","...","  Rental income of persons 2/",252203,260502,276771,296816,321812,336963,339159,336622,347300,357702,341136,391107,434324,439494,455127,478822,485565,440631,398339,312213,335461,322442,360718,447660,419645,462102,498439,542732,475213,454900,603403,636317,817919,1087154,1585666,2165445,2683823,3001930,3582819,3692736,4159357,4551609,4765937,5520637,5827532,5989113,6353583,5601053,4745133,4244151,6141985,8224147,10196298,12635773,13522582,14525610,15773642
"37000","North Carolina","5","SA40","96","...","    Imputed rent",137453,151642,164993,182067,200625,214009,222069,233193,247716,261713,260205,311669,321838,344266,343610,327626,330254,303231,262702,167560,181628,157194,148082,165950,88924,86580,44120,4067,-70508,-60726,81127,123352,235555,423571,743027,1241702,1633135,1781885,2155917,2241332,2662995,3040622,3289548,3931267,4220092,4437521,4742339,3950773,3072561,2369475,3851549,5893336,7497022,9440473,10160472,11174047,12260005
"37000","North Carolina","5","SA40","97","...","    Monetary rent",114750,108860,111778,114749,121187,122954,117090,103429,99584,95989,80931,79438,112486,95228,111517,151196,155311,137400,135637,144653,153833,165248,212636,281710,330721,375522,454319,538665,545721,515626,522276,512965,582364,663583,842639,923743,1050688,1220045,1426902,1451404,1496362,1510987,1476389,1589370,1607440,1551592,1611244,1650280,1672572,1874676,2290436,2330811,2699276,3195300,3362110,3351563,3513637
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
