"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"34000","New Jersey","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1866710,2008846,2206080,2361230,2665718,2896935,3240915,3527138,3809575,4096519,4495949,4767523,5336663,5842115,6321863,6905354,7759551,8390358,8901739,9774478,10801919,12105594,14781388,18306436,20655840,22310611,25948156,27593612,28978114,30519995,33858155,39294300,40595418,40181136,40817344,40563674,42361110,46689488,49920391,53261958,56630478,56514377,62580949,62129800,60029073,61022909,64791433,66302005,74589282,82437121,84284433,76569933,74020571,81976750,88647971,87436189,90987039
"34000","New Jersey","2","SA40","91","...","  Personal dividend income",488844,518425,555633,580940,660384,721919,820210,893990,906693,929674,1108712,1130499,1142588,1183948,1276168,1380466,1493285,1507002,1762910,2000638,2208140,2447044,2826442,3336069,3462524,3710563,4129686,4275716,4673886,4900273,5494328,6544471,6826862,7038681,7226455,7653698,8549471,9356112,11245617,12842316,13106068,12844774,14484586,13784972,14843372,15584959,20407902,19006310,23115824,26436025,26057467,17718754,16965568,21052356,25335736,23854564,24604929
"34000","New Jersey","2","SA40","92","...","  Personal interest income",885358,957387,1068205,1158816,1334183,1479091,1700539,1878579,2108581,2329512,2548901,2873870,3408907,3809129,4190011,4688434,5488182,6179972,6514359,7328326,8170567,9278326,11526986,14444445,16730027,18040072,21244599,22724936,23931597,25272563,27745980,32209999,33019657,31969553,31424663,29262846,29373588,32460706,33049033,34684188,37069152,36744485,41173111,40712384,37080534,36084661,34158350,38212931,43910240,49680561,48980089,46271909,41494317,42307110,43347930,42572112,43456940
"34000","New Jersey","2","SA40","93","...","    Imputed interest receipts 1/",419746,464650,517302,576967,626811,664276,747313,813406,900335,1006040,1124845,1252319,1535881,1747562,1936295,2087099,2416103,2985316,3075106,3369840,3770431,3927216,4663485,5380978,6487280,8115129,8885068,10216618,11259133,12496184,13453803,14724603,15329385,15707986,16472854,16367212,16572399,18149935,18274312,19646379,19721527,20215179,21963421,21362377,21153686,21234707,21874206,22167320,23933808,25932864,27043837,27880889,26833690,27009399,26879140,27626665,27919054
"34000","New Jersey","2","SA40","94","...","    Monetary interest receipts",465612,492737,550903,581849,707372,814815,953226,1065173,1208246,1323472,1424056,1621551,1873026,2061567,2253716,2601335,3072079,3194656,3439253,3958486,4400136,5351110,6863501,9063467,10242747,9924943,12359531,12508318,12672464,12776379,14292177,17485396,17690272,16261567,14951809,12895634,12801189,14310771,14774721,15037809,17347625,16529306,19209690,19350007,15926848,14849954,12284144,16045611,19976432,23747697,21936252,18391020,14660627,15297711,16468790,14945447,15537886
"34000","New Jersey","2","SA40","95","...","  Rental income of persons 2/",492508,533034,582242,621474,671151,695925,720166,754569,794301,837333,838336,763154,785168,849038,855684,836454,778084,703384,624470,445514,423212,380224,427960,525922,463289,559976,573871,592960,372631,347159,617847,539830,748899,1172902,2166226,3647130,4438051,4872670,5625741,5735454,6455258,6925118,6923252,7632444,8105167,9353289,10225181,9082764,7563218,6320535,9246877,12579270,15560686,18617284,19964305,21009513,22925170
"34000","New Jersey","2","SA40","96","...","    Imputed rent",407960,448849,487687,522083,563093,586716,596133,613308,639274,665142,650471,576468,546560,574013,551040,514763,518379,478361,402916,205770,188539,129956,131126,130095,7115,-39026,-157516,-329036,-646334,-721734,-435000,-499881,-400129,-152402,598217,1741699,2484449,2761353,3354367,3419548,4112363,4679142,4785444,5323867,5880883,6961598,7873197,6637168,5124039,3536811,5999165,9291657,11675684,14208117,15413144,16471552,18167522
"34000","New Jersey","2","SA40","97","...","    Monetary rent",84548,84185,94555,99391,108058,109209,124033,141261,155027,172191,187865,186686,238608,275025,304644,321691,259705,225023,221554,239744,234673,250268,296834,395827,456174,599002,731387,921996,1018965,1068893,1052847,1039711,1149028,1325304,1568009,1905431,1953602,2111317,2271374,2315906,2342895,2245976,2137808,2308577,2224284,2391691,2351984,2445596,2439179,2783724,3247712,3287613,3885002,4409167,4551161,4537961,4757648
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
