"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"35000","New Mexico","6","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",216764,237133,255128,273352,283771,298856,325375,347484,368476,370102,400916,467089,546097,615104,691210,777669,902453,1018709,1117523,1255256,1474044,1682514,2025037,2481978,2961738,3213468,3580857,3959617,4180876,4287167,4453294,4766353,5022703,5242502,5421018,5702347,6207619,6806182,7302876,7674534,8056743,7864020,8273924,8855579,8405397,8379183,8885168,9953021,10657346,11634374,12180566,11118938,11106494,12394040,13690572,13600847,14089383
"35000","New Mexico","6","SA40","91","...","  Personal dividend income",17995,20556,22158,23087,23627,27771,34141,37832,40167,42163,60253,62955,66446,71695,80158,90901,103522,115083,141611,169015,200390,233838,267376,315947,368797,360968,385140,418774,462584,493286,557936,667878,714126,770863,817878,939388,1093822,1205359,1478890,1645063,1667988,1513024,1715141,1767886,1876993,1790338,2300068,2532398,3403121,3935282,3940914,2649814,2482170,2957728,3714690,3570692,3696368
"35000","New Mexico","6","SA40","92","...","  Personal interest income",121815,137837,149163,163402,169759,180657,202360,220812,237002,235860,251057,297347,375049,430102,487479,566781,671150,779615,858439,991209,1163678,1340945,1628489,1990480,2404322,2653029,2991104,3305636,3543229,3628468,3709897,3912433,4088193,4172597,4167372,4210950,4410105,4864875,4989577,5174359,5442537,5332130,5501880,5767185,5163755,5129310,4993366,5952614,6012514,6569606,6704896,6504431,6155281,6273914,6654709,6601419,6685719
"35000","New Mexico","6","SA40","93","...","    Imputed interest receipts 1/",76917,85624,91080,97568,103880,109218,119369,127909,131071,134674,144556,176562,230778,267364,306156,344912,398237,482287,523455,589543,693932,747851,859515,975171,1160381,1411509,1498693,1728148,1897338,2030803,2078457,2166495,2286624,2447087,2587735,2733132,2887698,3176886,3220154,3414971,3427028,3444562,3476659,3582539,3466168,3641172,3773047,4084298,4027208,4214441,4429214,4652267,4628559,4697057,4853700,4970055,4992818
"35000","New Mexico","6","SA40","94","...","    Monetary interest receipts",44898,52213,58083,65834,65879,71439,82991,92903,105931,101186,106501,120785,144271,162738,181323,221869,272913,297328,334984,401666,469746,593094,768974,1015309,1243941,1241520,1492411,1577488,1645891,1597665,1631440,1745938,1801569,1725510,1579637,1477818,1522407,1687989,1769423,1759388,2015509,1887568,2025221,2184646,1697587,1488138,1220319,1868316,1985306,2355165,2275682,1852164,1526722,1576857,1801009,1631364,1692901
"35000","New Mexico","6","SA40","95","...","  Rental income of persons 2/",76954,78740,83807,86863,90385,90428,88874,88840,91307,92079,89606,106787,104602,113307,123573,119987,127781,124011,117473,95032,109976,107731,129172,175551,188619,199471,204613,235207,175063,165413,185461,186042,220384,299042,435768,552009,703692,735948,834409,855112,946218,1018866,1056903,1320508,1364649,1459535,1591734,1468009,1241711,1129486,1534756,1964693,2469043,3162398,3321173,3428736,3707296
"35000","New Mexico","6","SA40","96","...","    Imputed rent",39999,44739,49180,50974,53097,54160,54015,54770,56333,57587,56001,70498,73293,78181,78342,75100,77588,72776,62982,42057,47589,41933,41095,45883,26027,24610,14545,5987,-9491,-6246,26391,37354,64149,115257,190288,296013,377654,404896,481227,500137,584169,660495,728937,908715,1001328,1089012,1115835,1041799,801871,622840,919776,1387897,1769619,2302437,2430301,2540942,2776563
"35000","New Mexico","6","SA40","97","...","    Monetary rent",36955,34001,34627,35889,37288,36268,34859,34070,34974,34492,33605,36289,31309,35126,45231,44887,50193,51235,54491,52975,62387,65798,88077,129668,162592,174861,190068,229220,184554,171659,159070,148688,156235,183785,245480,255996,326038,331052,353182,354975,362049,358371,327966,411793,363321,370523,475899,426210,439840,506646,614980,576796,699424,859961,890872,887794,930733
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
