"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"41000","Oregon","8","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",515997,563255,592218,632303,678643,719011,768588,818203,875400,954695,1026589,1217423,1387216,1529690,1673859,1880807,2193820,2475314,2713971,3091342,3626535,4222378,5083279,6219290,6724964,7192562,7944892,8281398,8684733,8848787,9462453,10943244,11510023,11782972,12072323,13008877,14169513,15718259,16913226,17707744,18741920,18326468,19841198,19701983,19275891,20213678,21538869,22116747,25590958,27197023,28908642,25761892,25203870,27889523,30257383,30128608,31399195
"41000","Oregon","8","SA40","91","...","  Personal dividend income",88436,93091,88052,97718,108937,117190,129152,140602,150763,168328,161859,173942,179240,189499,207943,245736,287314,297860,359999,422547,500265,584110,653462,752449,739250,796656,905890,947361,1068904,1179361,1386712,1777435,1924159,2088661,2227952,2540451,3007990,3394392,4075735,4347546,4286867,3880745,4190767,3856644,4217306,4874011,6716796,6805335,8744220,9548762,9564138,6362562,6137708,7518200,9038885,8597516,8917411
"41000","Oregon","8","SA40","92","...","  Personal interest income",275318,310215,339095,363489,393583,421569,455689,486759,525518,580998,662463,810851,955382,1064211,1172636,1340862,1597292,1884572,2078599,2445920,2874782,3386555,4141627,5116159,5637597,6013578,6671454,6930366,7249365,7313604,7668708,8750837,9084160,9018446,8933815,9170803,9500255,10446407,10630262,11115298,11956171,11746580,12783646,12662469,11766594,11891034,11213681,11921193,13771162,14839584,15483765,14306204,13311086,13428658,13993886,13805578,14133545
"41000","Oregon","8","SA40","93","...","    Imputed interest receipts 1/",96300,109777,120885,135246,148015,161993,181723,199609,218889,245224,273487,337082,412872,473072,531525,586468,695031,896542,959985,1096483,1286621,1371064,1594170,1805374,2105285,2613775,2718088,3073495,3355581,3593133,3755558,4091886,4327945,4555256,4823857,5175591,5398475,5919062,5998855,6443735,6522694,6638990,7025275,6846264,6871701,7104274,7289219,7140188,7749127,8083318,8804409,8904505,8814583,8838337,8943975,9222745,9369013
"41000","Oregon","8","SA40","94","...","    Monetary interest receipts",179018,200438,218210,228243,245568,259576,273966,287150,306629,335774,388976,473769,542510,591139,641111,754394,902261,988030,1118614,1349437,1588161,2015491,2547457,3310785,3532312,3399803,3953366,3856871,3893784,3720471,3913150,4658951,4756215,4463190,4109958,3995212,4101780,4527345,4631407,4671563,5433477,5107590,5758371,5816205,4894893,4786760,3924462,4781005,6022035,6756266,6679356,5401699,4496503,4590321,5049911,4582833,4764532
"41000","Oregon","8","SA40","95","...","  Rental income of persons 2/",152243,159949,165071,171096,176123,180252,183747,190842,199119,205369,202267,232630,252594,275980,293280,294209,309214,292882,275373,222875,251488,251713,288190,350682,348117,382328,367548,403671,366464,355822,407033,414972,501704,675865,910556,1297623,1661268,1877460,2207229,2244900,2498882,2699143,2866785,3182870,3291991,3448633,3608392,3390219,3075576,2808677,3860739,5093126,5755076,6942665,7224612,7725514,8348239
"41000","Oregon","8","SA40","96","...","    Imputed rent",97707,106345,114258,120934,128717,133253,134704,138198,143798,148983,145804,173395,186808,201343,203146,193051,196100,182978,159661,100088,109191,91089,88391,92539,46226,39876,16303,-7282,-44943,-36268,28208,48284,94452,178583,327376,585793,808774,911523,1119703,1173514,1404496,1611120,1761810,2044929,2193316,2335390,2507049,2231656,1897567,1483724,2223662,3265711,3816118,4623745,4823114,5331821,5838799
"41000","Oregon","8","SA40","97","...","    Monetary rent",54536,53604,50813,50162,47406,46999,49043,52644,55321,56386,56463,59235,65786,74637,90134,101158,113114,109904,115712,122787,142297,160624,199799,258143,301891,342452,351245,410953,411407,392090,378825,366688,407252,497282,583180,711830,852494,965937,1087526,1071386,1094386,1088023,1104975,1137941,1098675,1113243,1101343,1158563,1178009,1324953,1637077,1827415,1938958,2318920,2401498,2393693,2509440
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
