"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"42000","Pennsylvania","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",2983461,3177904,3365094,3497303,3759117,4029343,4347360,4692468,4956925,5285784,5714328,6077043,6601634,7039119,7531036,8317219,9416386,10225339,10981497,12234689,13546354,15216985,18768018,23269300,27240600,28543885,31852932,34549814,36250746,37005818,39987007,45417997,47528055,47829702,48079460,49389575,50967543,54843636,58199280,61504937,65276181,64458606,70118888,69203394,67551680,68651949,70521764,70983423,81258722,90316833,91952022,83122622,81899260,90452961,101489454,99677343,103602263
"42000","Pennsylvania","2","SA40","91","...","  Personal dividend income",962076,1007905,1012681,1028548,1114279,1221699,1322937,1450108,1457048,1536566,1693421,1688418,1645251,1647019,1720180,1847365,1987076,1931308,2251494,2546656,2779885,3056115,3401901,3905145,4510685,4321915,4743280,5200547,5650668,5868296,6477945,8006335,8542060,9088930,9264040,10002890,11229182,12062343,13746079,14865214,14708466,13619370,15218159,14438154,15760626,16896079,21734799,20948196,26087104,30043222,29430388,19935199,20088569,24916622,30828321,28814630,29664259
"42000","Pennsylvania","2","SA40","92","...","  Personal interest income",1221539,1323257,1459172,1561380,1705020,1831331,2053018,2262311,2507299,2732242,3036194,3471561,4005137,4399577,4786811,5456990,6463729,7383146,7917922,9089217,10179799,11606701,14734740,18609790,22016114,23403059,26305012,28512633,30031633,30605176,32721998,36653147,37881162,37334770,36449625,35869400,35330563,37955436,38970838,40967637,44184916,43946994,47843352,47026813,43836394,43005558,39750707,41869194,48161227,54130633,53506476,50664057,46250124,46791885,50134287,49219141,50399415
"42000","Pennsylvania","2","SA40","93","...","    Imputed interest receipts 1/",667433,728728,787750,836595,882045,908442,997440,1060928,1149555,1236489,1334942,1495399,1782986,2010081,2223696,2437549,2848238,3585152,3732939,4158258,4680127,4889815,5870627,6808135,8287941,10264021,10867327,12605540,13829858,14983755,15809970,16897979,17763799,18468358,19251130,19933149,19900415,21295650,21661369,23312853,23649183,24318625,25788719,25013032,25141154,25228710,25493154,24637650,26546722,28643060,30068984,30881827,30133043,30244273,31130683,31986154,32496435
"42000","Pennsylvania","2","SA40","94","...","    Monetary interest receipts",554106,594529,671422,724785,822975,922889,1055578,1201383,1357744,1495753,1701252,1976162,2222151,2389496,2563115,3019441,3615491,3797994,4184983,4930959,5499672,6716886,8864113,11801655,13728173,13139038,15437685,15907093,16201775,15621421,16912028,19755168,20117363,18866412,17198495,15936251,15430148,16659786,17309469,17654784,20535733,19628369,22054633,22013781,18695240,17776848,14257553,17231544,21614505,25487573,23437492,19782230,16117081,16547612,19003604,17232987,17902980
"42000","Pennsylvania","2","SA40","95","...","  Rental income of persons 2/",799846,846742,893241,907375,939818,976313,971405,980049,992578,1016976,984713,917064,951246,992523,1024045,1012864,965581,910885,812081,598816,586670,554169,631377,754365,713801,818911,804640,836634,568445,532346,787064,758515,1104833,1406002,2365795,3517285,4407798,4825857,5482363,5672086,6382799,6892242,7057377,7738427,7954660,8750312,9036258,8166033,7010391,6142978,9015158,12523366,15560567,18744454,20526846,21643572,23538589
"42000","Pennsylvania","2","SA40","96","...","    Imputed rent",606211,660476,711210,735150,767991,779041,773001,778976,797121,815227,785607,718509,729991,771630,752048,708219,718813,668402,565498,315068,311178,240993,237346,238394,70967,31266,-85679,-227807,-477895,-501359,-218196,-220340,-86680,149738,754847,1709338,2374719,2631174,3195864,3283612,3945358,4504226,4692195,5230572,5511716,6083652,6517858,5584800,4362481,3179968,5311444,8534657,10858229,13421321,14943221,16077602,17703347
"42000","Pennsylvania","2","SA40","97","...","    Monetary rent",193635,186266,182031,172225,171827,197272,198404,201073,195457,201749,199106,198555,221255,220893,271997,304645,246768,242483,246583,283748,275492,313176,394031,515971,642834,787645,890319,1064441,1046340,1033705,1005260,978855,1191513,1256264,1610948,1807947,2033079,2194683,2286499,2388474,2437441,2388016,2365182,2507855,2442944,2666660,2518400,2581233,2647910,2963010,3703714,3988709,4702338,5323133,5583625,5565970,5835242
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
