"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"46000","South Dakota","4","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",167026,170469,195738,201286,215420,226381,234176,255343,263805,273173,275461,323061,366695,399575,442077,506316,606518,706855,756557,860263,966742,1086201,1335670,1657890,1919136,1982011,2116346,2187388,2272715,2247993,2328143,2576939,2712671,2778343,2876078,3007315,3130294,3469567,3725571,3913714,4245051,4424857,4711093,4965866,4894969,5117004,5305996,5512757,6139523,7023244,7450278,6772627,7011877,7553063,8268010,8061464,8381338
"46000","South Dakota","4","SA40","91","...","  Personal dividend income",10239,14064,15666,19567,19922,21961,24710,31067,31652,33314,34456,32986,34071,36001,39267,49087,59938,65683,76075,85980,98074,111368,123255,141245,148486,148731,153845,174695,219480,243693,304127,365614,401282,452356,477132,552848,657891,730414,886222,977562,1109521,1183784,1317150,1421814,1434584,1657777,2019528,2209635,2613852,3121042,3231489,2431124,2346945,2418486,2977748,2725372,2813717
"46000","South Dakota","4","SA40","92","...","  Personal interest income",79751,90558,100158,105431,110706,122936,138831,151911,163173,176820,179941,223159,265954,295887,325071,378271,453725,546314,597049,698785,785719,892962,1111014,1376599,1608183,1721714,1846734,1893234,1965408,1919488,1928702,2112306,2195032,2179651,2184559,2190079,2188756,2382873,2445901,2557121,2740932,2823297,2961372,3037368,2921326,2884513,2712009,2735520,3003820,3404821,3547596,3527125,3637386,3843113,3862867,3818815,3940959
"46000","South Dakota","4","SA40","93","...","    Imputed interest receipts 1/",36537,41027,43462,47298,50658,55833,60536,64058,68447,71794,75734,96494,120541,137663,153730,170574,200559,258714,273433,308671,351445,361864,420692,467654,570547,717064,721893,815596,883909,925995,933954,984902,1039278,1096885,1175011,1239907,1254680,1363104,1381688,1483552,1510434,1601989,1651010,1656980,1708333,1737200,1781205,1677469,1743769,1892374,2050359,2188598,2366013,2467368,2424453,2512267,2581405
"46000","South Dakota","4","SA40","94","...","    Monetary interest receipts",43214,49531,56696,58133,60048,67103,78295,87853,94726,105026,104207,126665,145413,158224,171341,207697,253166,287600,323616,390114,434274,531098,690322,908945,1037636,1004650,1124841,1077638,1081499,993493,994748,1127404,1155754,1082766,1009548,950172,934076,1019769,1064213,1073569,1230498,1221308,1310362,1380388,1212993,1147313,930804,1058051,1260051,1512447,1497237,1338527,1271373,1375745,1438414,1306548,1359554
"46000","South Dakota","4","SA40","95","...","  Rental income of persons 2/",77036,65847,79914,76288,84792,81484,70635,72365,68980,63039,61064,66916,66670,67687,77739,78958,92855,94858,83433,75498,82949,81871,101401,140046,162467,111566,115767,119459,87827,84812,95314,99019,116357,146336,214387,264388,283647,356280,393448,379031,394598,417776,432571,506684,539059,574714,574459,567602,521851,497381,671193,814378,1027546,1291464,1427395,1517277,1626662
"46000","South Dakota","4","SA40","96","...","    Imputed rent",20675,22573,24253,24952,25872,26291,26129,26437,27157,27384,26894,41208,42368,44635,45331,42819,43903,42625,37564,28917,32185,29208,28283,28963,19498,16836,11463,5614,-1929,232,12672,18813,29581,43452,63074,93409,117277,124739,146622,147660,169992,189645,212342,270552,302983,345917,328514,301108,248189,194834,283419,409992,538004,676487,752474,843818,920678
"46000","South Dakota","4","SA40","97","...","    Monetary rent",56361,43274,55661,51336,58920,55193,44506,45928,41823,35655,34170,25708,24302,23052,32408,36139,48952,52233,45869,46581,50764,52663,73118,111083,142969,94730,104304,113845,89756,84580,82642,80206,86776,102884,151313,170979,166370,231541,246826,231371,224606,228131,220229,236132,236076,228797,245945,266494,273662,302547,387774,404386,489542,614977,674921,673459,705984
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
