"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"95000","Southeast","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",7674383,8336238,9022943,9715984,10562015,11425272,12364380,13481518,14473617,15624587,17022152,19839218,23159259,25813512,28580059,32579071,38048669,42345623,45791602,51496876,59604496,68215854,83619567,103160644,116347347,127297538,144256578,157985759,167984612,174807398,191177192,220361213,231946893,234200734,239286302,250775836,266393926,288756083,307799743,328972990,354807468,355477991,383173088,389818721,384436244,393896374,423214404,460592142,520170374,576129667,585136004,517555442,525133945,586409999,623491355,617109408,640651893
"95000","Southeast","5","SA40","91","...","  Personal dividend income",1401072,1525428,1645769,1755641,1931334,2099926,2408939,2719450,2819236,2967373,3393594,3642721,3838035,4132966,4617238,5312601,6059372,6177069,7339660,8452650,9869119,11416540,12873099,14941781,15356221,17204843,18630935,20756217,22973724,24890486,29448154,35552292,38550942,41589207,44058560,48608891,56626490,62259961,72876677,80939059,86526925,84267283,92557997,90222411,99066568,108483187,139843131,150601720,184060133,205418821,196581752,134903815,131812272,165376536,202638000,191888753,198111972
"95000","Southeast","5","SA40","92","...","  Personal interest income",3916647,4326145,4744363,5162139,5639967,6161264,6786464,7536016,8346077,9225320,10282670,12536092,15515532,17645857,19776782,23104945,27761275,32084487,34725992,40089042,46591229,53695381,67067471,83342104,95991000,104908843,120431174,131409085,140380007,145488931,156250520,179236716,186304871,183121415,181681977,183244558,186826744,201172923,205768477,217912641,234439491,234356654,252281268,255744785,238886080,235227439,229459020,259719269,292226876,325612330,332025290,311521422,308374395,319318225,311761715,308161015,315556594
"95000","Southeast","5","SA40","93","...","    Imputed interest receipts 1/",2277131,2541596,2736934,3002240,3254965,3557760,3903210,4260885,4683589,5134296,5601393,6712298,8565567,9819182,11064425,12423300,14608249,17865823,18964365,21408316,25040130,26733004,31413289,35814211,42228965,51706331,55736970,64369401,71161623,77484384,82276475,89817300,94731485,98592994,104278501,109947993,113274658,121755604,123784381,133772014,136107882,140318421,147534951,147469754,148641549,150785368,157895166,163830671,174229419,186620162,198434815,202187871,203585984,214724388,207027671,213196297,216911427
"95000","Southeast","5","SA40","94","...","    Monetary interest receipts",1639516,1784549,2007429,2159899,2385002,2603504,2883254,3275131,3662488,4091024,4681277,5823794,6949965,7826675,8712357,10681645,13153026,14218664,15761627,18680726,21551099,26962377,35654182,47527893,53762035,53202512,64694204,67039684,69218384,68004547,73974045,89419416,91573386,84528421,77403476,73296565,73552086,79417319,81984096,84140627,98331609,94038233,104746317,108275031,90244531,84442071,71563854,95888598,117997457,138992168,133590475,109333551,104788411,104593837,104734044,94964718,98645167
"95000","Southeast","5","SA40","95","...","  Rental income of persons 2/",2356664,2484665,2632811,2798204,2990714,3164082,3168977,3226052,3308304,3431894,3345888,3660405,3805692,4034689,4186039,4161525,4228022,4084067,3725950,2955184,3144148,3103933,3678997,4876759,5000126,5183852,5194469,5820457,4630881,4427981,5478518,5572205,7091080,9490112,13545765,18922387,22940692,25323199,29154589,30121290,33841052,36854054,38333823,43851525,46483596,50185748,53912253,50271153,43883365,45098516,56528962,71130205,84947278,101715238,109091640,117059640,126983327
"95000","Southeast","5","SA40","96","...","    Imputed rent",1439734,1595639,1742834,1885279,2044634,2150424,2204419,2289744,2408836,2525152,2489869,2818537,2899021,3083220,3065695,2910323,2964634,2751889,2373662,1469431,1586122,1368276,1310055,1441353,725064,638147,217653,-203103,-972300,-924957,332888,624102,1525590,2981516,5663596,9883733,13103576,14331392,17315278,17955268,21365426,24378960,26137685,30725183,33552140,36951508,40198708,35842813,28732784,27937763,35624289,49684946,60334933,72654029,78658088,86700672,95149481
"95000","Southeast","5","SA40","97","...","    Monetary rent",916930,889026,889977,912925,946080,1013658,964558,936308,899468,906742,856019,841868,906671,951469,1120344,1251202,1263388,1332178,1352288,1485753,1558026,1735657,2368942,3435406,4275062,4545705,4976816,6023560,5603181,5352938,5145630,4948103,5565490,6508596,7882169,9038654,9837116,10991807,11839311,12166022,12475626,12475094,12196138,13126342,12931456,13234240,13713545,14428340,15150581,17160753,20904673,21445259,24612345,29061209,30433552,30358968,31833846
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
