"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"50000","Vermont","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",88202,95339,102626,114900,123683,129489,145097,163619,186262,207822,227467,240434,271373,301107,334119,365262,406517,439160,472090,529936,596883,680224,831087,1026974,1185058,1236402,1435231,1519747,1637401,1729439,1937773,2295841,2346808,2331249,2356200,2398320,2558607,2820832,2961668,3135043,3419264,3469232,3685828,3777590,3629926,3794672,4091587,3835227,4506845,4906911,5128888,4584002,4389082,5047474,5389665,5319057,5516912
"50000","Vermont","1","SA40","91","...","  Personal dividend income",26663,29270,31659,34045,34315,38165,45071,52309,57523,64180,74708,65881,69933,75701,85074,87426,90046,86383,103699,119493,140166,162659,177730,201072,239232,241359,273080,269292,287644,304207,344615,427546,432778,450158,454328,492082,552351,601848,699414,826344,872228,890391,962414,932738,926835,1053680,1449151,1181872,1509872,1697824,1790361,1236733,1048330,1396107,1628494,1543543,1586345
"50000","Vermont","1","SA40","92","...","  Personal interest income",44667,48063,51071,57551,63580,65042,73007,83241,99384,112785,122012,140747,167270,187844,208218,234906,275480,312653,332126,380213,425914,486206,615087,775758,891476,939134,1103610,1191219,1292272,1369918,1522426,1793477,1826459,1770420,1732140,1690153,1743013,1938386,1942430,1981619,2190254,2207610,2346805,2414034,2258441,2278058,2118566,2177638,2616402,2865762,2866241,2686568,2483102,2611297,2652263,2619366,2678692
"50000","Vermont","1","SA40","93","...","    Imputed interest receipts 1/",18534,20520,21609,23303,25314,26651,29047,32034,36607,40658,45802,57229,70072,80878,91362,99628,115842,145648,150454,167515,189376,197445,235867,272960,331853,411892,448672,524286,590753,658839,719857,802090,830827,855455,897225,927306,959067,1060428,1058648,1119016,1156588,1205476,1255611,1263723,1279250,1326705,1350948,1281677,1436245,1514356,1596356,1638518,1618295,1677285,1662635,1722914,1748382
"50000","Vermont","1","SA40","94","...","    Monetary interest receipts",26133,27543,29462,34248,38266,38391,43960,51207,62777,72127,76210,83518,97198,106966,116856,135278,159638,167005,181672,212698,236538,288761,379220,502798,559623,527242,654938,666933,701519,711079,802569,991387,995632,914965,834915,762847,783946,877958,883782,862603,1033666,1002134,1091194,1150311,979191,951353,767618,895961,1180157,1351406,1269885,1048050,864807,934012,989628,896452,930310
"50000","Vermont","1","SA40","95","...","  Rental income of persons 2/",16872,18006,19896,23304,25788,26282,27019,28069,29355,30857,30747,33806,34170,37562,40827,42930,40991,40124,36265,30230,30803,31359,38270,50144,54350,55909,58541,59236,57485,55314,70732,74818,87571,110671,169732,216085,263243,280598,319824,327080,356782,371231,376609,430818,444650,462934,523870,475717,380571,343325,472286,660701,857650,1040070,1108908,1156148,1251875
"50000","Vermont","1","SA40","96","...","    Imputed rent",13744,14940,16047,17593,19172,20330,21001,21979,23250,24543,24308,28317,27507,29931,30347,28876,28934,26864,23038,14757,15727,13644,12730,13884,7305,6332,1465,-4124,-14649,-15723,-2686,-1612,6712,21441,50435,90974,117301,123929,145045,146750,171669,192835,204276,250601,268884,298325,330619,280711,222447,162717,257745,403717,544516,678161,738354,786765,864623
"50000","Vermont","1","SA40","97","...","    Monetary rent",3128,3066,3849,5711,6616,5952,6018,6090,6105,6314,6439,5489,6663,7631,10480,14054,12057,13260,13227,15473,15076,17715,25540,36260,47045,49577,57076,63360,72134,71037,73418,76430,80859,89230,119297,125111,145942,156669,174779,180330,185113,178396,172333,180217,175766,164609,193251,195006,158124,180608,214541,256984,313134,361909,370554,369383,387252
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
