"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"08000","Colorado","7","SA4","10","...","Personal income (thousands of dollars)",635288,596454,498097,379940,378119,399173,479858,590209,589259,564357,581245,619492,735820,1038255,1228025,1221172,1349989,1473239,1696758,1865969,1897217,2078836,2471192,2666223,2693070,2773107,3018631,3331238,3656802,3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122405884,132658809,148128340,155992188,157172883,160369195,167793881,179089828,192161658,203034950,213342148,206385419,211419677,227052222,240905431,246447709,261735447,275107294
"08000","Colorado","7","SA4","11","...","  Nonfarm personal income 1/",550124,511998,455844,365200,338678,383779,422103,515185,527026,502878,529813,558221,645380,894214,1038773,1041388,1149073,1259682,1389022,1595553,1658095,1887481,2218613,2422130,2519433,2656530,2911961,3220094,3463529,3566317,3863468,4129350,4459398,4731402,4978293,5276738,5568227,6029215,6523171,7207635,8114189,9161616,10355747,11726828,13338618,14900457,16548538,18381010,20612847,23874896,27429392,31384219,36160269,39806791,42616093,46481475,49173842,51123249,52995251,56007560,60600500,64167344,68086483,74069078,80155482,86661147,94297833,101623156,109400684,121617669,131747919,147371267,154944148,156484028,159640267,166873294,177990392,191396379,202053134,212596958,205841680,210540735,225814746,239785069,245158788,260374215,274097746
"08000","Colorado","7","SA4","12","...","  Farm income 2/",85164,84456,42253,14740,39441,15394,57755,75024,62233,61479,51432,61271,90440,144041,189252,179784,200916,213557,307736,270416,239122,191355,252579,244093,173637,116577,106670,111144,193273,177688,155854,173239,174420,154847,138971,136443,212204,190358,183972,241774,248428,286105,298305,329720,435998,530630,458987,330059,259279,202053,210535,283257,298951,177546,352886,417185,386582,389473,467517,567173,608549,698341,624820,663407,797962,560556,520139,649229,651429,788215,910890,757073,1048040,688855,728928,920587,1099436,765279,981816,745190,543739,878942,1237476,1120362,1288921,1361232,1009548
"08000","Colorado","7","SA4","20","...","Population (persons) 3/",1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086,5355866,5457432
"08000","Colorado","7","SA4","30","...","Per capita personal income (dollars) 4/",630,574,472,356,353,371,445,541,534,508,519,548,655,916,1067,1086,1213,1232,1373,1477,1465,1569,1864,1953,1882,1857,1953,2050,2198,2246,2350,2432,2513,2573,2643,2748,2912,3099,3267,3514,3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29734,31391,34234,35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869,50410
"08000","Colorado","7","SA4","35","...","  Earnings by place of work",505290,467855,369388,276325,284746,301702,375332,453079,469430,449614,459559,490315,594491,886557,1080250,1075548,1181479,1261753,1437728,1507118,1513893,1628196,2001140,2180595,2176767,2194137,2409934,2682320,2960553,3006206,3215331,3467666,3740272,3918864,4109162,4353799,4632730,5036288,5389900,6028673,6724983,7495076,8474660,9702455,11150187,12384129,13407359,14859586,16688001,19387462,22397060,25291786,28774344,31263055,33361250,36517512,38581940,40006327,41440001,44054666,46634670,49768210,53152418,58313435,63401162,67828060,72747004,78681110,85371755,95823477,105835284,118962166,125322139,124991650,126951436,133157836,140922356,149678819,155173888,162258736,156328607,159496988,165821646,175346352,182540370,194861467,204392231
"08000","Colorado","7","SA4","36","...","  Less: Contributions for government social insurance 5/",508,492,465,482,408,424,425,442,8807,9565,11323,11295,13306,18662,24850,26143,36232,54105,45079,34300,33057,34395,42303,48715,48564,56675,64249,72992,87633,94910,108700,132799,149814,163483,190779,197359,197501,262835,294517,333654,387394,427041,498874,606017,797652,905460,967164,1104660,1260596,1506688,1838849,2106381,2598275,2908114,3129876,3538765,3834565,4020794,4121254,4530295,4887616,5333818,5856413,6358540,6986715,7557400,8074506,8625617,9300157,9709411,10548606,11702964,12313813,12726448,12959630,13830692,14686669,15591455,16421402,17107057,16489335,16659955,15765370,16534086,19329841,20699543,21689473
"08000","Colorado","7","SA4","37","...","    Employee and self-employed contributions for government social insurance",440,432,422,414,374,390,382,425,2914,2702,2889,3217,3768,6230,12529,13766,15118,12219,13157,11618,11530,15579,18739,21620,23089,26679,30349,34196,40963,43741,51964,64517,69981,74097,87637,89727,91288,125860,149819,168101,195227,213470,246644,294096,388514,443429,471553,521613,595302,705238,870349,1008675,1256414,1410146,1494050,1659891,1854568,1955555,2012234,2221551,2421020,2630014,2895071,3132118,3422470,3723448,4019368,4309512,4656255,5088644,5540744,6136327,6454529,6443334,6531343,6871451,7280498,7832927,8363997,8746704,8527731,8591724,7082065,7419204,10031748,10803545,11328724
"08000","Colorado","7","SA4","38","...","    Employer contributions for government social insurance",68,60,43,68,34,34,43,17,5893,6863,8434,8078,9538,12432,12321,12377,21114,41886,31922,22682,21527,18816,23564,27095,25475,29996,33900,38796,46670,51169,56736,68282,79833,89386,103142,107632,106213,136975,144698,165553,192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284,6283114,6428287,6959241,7406171,7758528,8057405,8360353,7961604,8068231,8683305,9114882,9298093,9895998,10360749
"08000","Colorado","7","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,126,325,606,1023,1475,1830,2345,3068,3492,1317,1183,1069,741,547,257,28,-308,-771,-1221,-1704,2273,1427,2509,3890,2825,3987,8213,8219,10925,19233,19141,27026,2954,8,-2354,6290,15127,20147,31466,46143,62974,85842,96995,112256,124263,142188,163372,181981,205465,231455,261164,288733,337637,1258854,1175794,1290935,1236696,793799,895336,522290,501470,527467,585420,624896,622959,636793,655727
"08000","Colorado","7","SA4","45","...","  Equals: Net earnings by place of residence",504782,467363,368923,275843,284338,301278,374907,452637,460623,440049,448236,479020,581185,867895,1055400,1049405,1145247,1207648,1392649,1472818,1480962,1594126,1959443,2132903,2129678,2139292,2348030,2612396,2876412,2912613,3107814,3335936,3591199,3755928,3918640,4156468,4434921,4772682,5094162,5693315,6339862,7069462,7978295,9100328,10355360,11482656,12448408,13763145,15438330,17900007,20577352,23212431,26179023,28354949,30229020,32985037,34762502,36005680,37350213,39570514,41810028,44520234,47393000,52067151,56538710,60412848,64835870,70237474,76277063,86345521,95547842,107547935,113345963,113524056,115167600,120618079,127472383,134881163,139647822,145673969,140340742,143364500,150641696,159437162,163833488,174798717,183358485
