"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"24000","Maryland","2","SA4","10","...","Personal income (thousands of dollars)",1256418,1178774,1070577,875245,803423,908054,964784,1093243,1182505,1136351,1207103,1328545,1716514,2327182,2777299,2929691,2895214,3013640,3126558,3511304,3585348,4005631,4621476,5092687,5425315,5456784,5878647,6423191,6837619,6971540,7361845,7740647,8240291,8904690,9541251,10406343,11347454,12521403,13632167,15059507,17270064,19210265,21174070,23219752,25571575,27927911,30272447,32913004,35682786,39666413,43606569,48538857,53951891,58495108,62780435,69611724,75637475,81682411,88108956,96766594,104489827,110720316,114751265,120564540,125464844,131220905,136887889,143275374,151291853,162850990,172886223,187715923,197891287,205228840,214373874,229818315,242154652,258320825,269713692,280305819,279294476,287571318,302712263,312724325,312053581,323778035,337174077
"24000","Maryland","2","SA4","11","...","  Nonfarm personal income 1/",1193169,1140686,1021595,850098,772805,870795,921527,1046190,1128342,1092338,1164035,1283900,1658482,2249055,2686533,2828337,2802237,2887162,3009287,3388929,3483389,3908932,4506494,4982999,5316221,5363875,5803622,6335211,6774016,6868099,7277526,7647214,8151504,8820406,9474853,10321130,11250627,12443463,13538522,14973375,17138736,19089863,21081556,23093235,25364421,27765689,30070445,32740892,35556226,39485468,43449527,48483907,53825679,58354379,62693897,69349868,75363886,81398864,87813897,96406841,104129790,110370597,114449009,120229495,125153111,130921316,136682350,142888814,151020537,162534343,172543120,187307848,197483905,205014219,214069265,229385426,241772066,258021568,269428790,279862534,278964950,287273485,302278274,312153264,311263380,323164340,336553460
"24000","Maryland","2","SA4","12","...","  Farm income 2/",63249,38088,48982,25147,30618,37259,43257,47053,54163,44013,43068,44645,58032,78127,90766,101354,92977,126478,117271,122375,101959,96699,114982,109688,109094,92909,75025,87980,63603,103441,84319,93433,88787,84284,66398,85213,96827,77940,93645,86132,131328,120402,92514,126517,207154,162222,202002,172112,126560,180945,157042,54950,126212,140729,86538,261856,273589,283547,295059,359753,360037,349719,302256,335045,311733,299589,205539,386560,271316,316647,343103,408075,407382,214621,304609,432889,382586,299257,284902,443285,329526,297833,433989,571061,790201,613695,620617
"24000","Maryland","2","SA4","20","...","Population (persons) 3/",1621000,1636000,1657000,1678000,1694000,1710000,1729000,1745000,1754000,1766000,1793000,1839000,1917000,2012000,2097000,2156000,2146000,2227000,2256000,2271000,2329000,2355000,2441000,2500000,2567000,2685000,2742000,2811000,2873000,2982000,3066000,3113000,3176000,3263000,3386000,3492000,3600000,3695000,3757000,3815000,3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737,5976407,6007289
"24000","Maryland","2","SA4","30","...","Per capita personal income (dollars) 4/",775,721,646,522,474,531,558,627,674,643,673,722,895,1157,1324,1359,1349,1353,1386,1546,1539,1701,1893,2037,2113,2032,2144,2285,2380,2338,2401,2487,2595,2729,2818,2980,3152,3389,3628,3947,4465,4878,5264,5690,6223,6757,7282,7889,8507,9418,10325,11481,12659,13658,14555,15947,17139,18204,19299,20775,22103,23068,23574,24488,25235,26124,26999,28027,29335,31291,32902,35345,36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176,56127
"24000","Maryland","2","SA4","35","...","  Earnings by place of work",898921,825271,737734,578693,554187,640740,697582,798929,904710,854604,941945,1050703,1436341,2050793,2507594,2644826,2583569,2660339,2703059,2779165,2768048,3041409,3605294,3989590,4231107,4209994,4556210,4969744,5234019,5282086,5582612,5847994,6179080,6650823,7076738,7695088,8315013,9309951,9914533,10983023,12289156,13374217,14550332,16012774,17819968,19349941,20522000,22504437,24399684,27207179,29963747,32618598,35859671,37692817,40942758,45672672,50107817,54458974,59587182,65882949,70387846,74578585,76265971,79729101,82945358,86914098,90491635,94429046,100737841,109180092,116889005,126473996,134241361,140929027,148008338,159078259,167746673,177544085,183622222,189507919,189592626,194883721,203317526,209268514,211125038,218825355,227762451
"24000","Maryland","2","SA4","36","...","  Less: Contributions for government social insurance 5/",1731,1716,1552,1474,1260,1380,1335,1459,22539,22764,27316,29502,40786,60999,81532,87353,106677,150775,110373,80261,80443,80137,96626,105750,111310,129678,151192,166240,192933,188018,238987,288860,312017,350574,380530,396760,398790,526064,586559,643404,750535,814696,916580,1059767,1354029,1532677,1623792,1807915,1973742,2261688,2611371,2866169,3381335,3616520,4070525,4672487,5284228,5837332,6330824,7214122,7757580,8394635,8670866,9015745,9364300,9915721,10287233,10645148,11306542,11983714,12726043,13595932,14645922,15326367,16030056,17255501,18182996,19378295,20234284,21006892,20983371,21882956,20338498,20911720,23719989,24340668,25086615
"24000","Maryland","2","SA4","37","...","    Employee and self-employed contributions for government social insurance",1625,1624,1486,1367,1206,1326,1267,1432,8825,6740,7341,7930,10751,18360,29561,38647,42335,32589,29917,25335,23770,34029,41418,46252,50017,59318,67896,73859,87913,83636,97738,117979,123767,133743,151000,161609,169391,242757,285698,318807,365374,395010,441728,502634,646933,733662,775461,841513,913641,1039950,1214707,1349287,1610957,1738617,1940962,2187414,2553038,2836632,3079707,3547383,3862059,4176138,4336656,4490861,4680190,4978261,5207726,5416547,5756170,6121837,6544099,6971334,7518088,7887449,8230557,8717670,9269249,9908183,10439832,10863359,10877710,11069074,8964174,9167507,12148137,12676157,13102733
"24000","Maryland","2","SA4","38","...","    Employer contributions for government social insurance",106,92,66,107,54,54,68,27,13714,16024,19975,21572,30035,42639,51971,48706,64342,118186,80456,54926,56673,46108,55208,59498,61293,70360,83296,92381,105020,104382,141249,170881,188250,216831,229530,235151,229399,283307,300861,324597,385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7438918,7799499,8537831,8913747,9470112,9794452,10143533,10105661,10813882,11374324,11744213,11571852,11664511,11983883
"24000","Maryland","2","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",229416,262085,296515,339511,399477,420939,424185,470493,510566,557516,506736,558550,626761,688990,773324,863721,951804,1064556,1185795,1449618,1616847,2320342,2712875,3022962,3279336,3477865,3680326,4056743,4349530,4690920,5092344,5462060,5947670,6284625,6788954,7134018,7802624,8405902,9016283,9641224,10685047,11493665,12094012,12639486,13401101,13623857,14019841,13990826,14364915,14299265,15660342,16738756,18980745,20015930,20017689,20190434,21182767,21627949,22325323,22793496,22110419,23380762,24000147,23687596,23345665,23459538,23021640,24235599
