"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"30000","Montana","7","SA4","10","...","Personal income (thousands of dollars)",310237,269952,208719,180549,161784,198884,261194,264958,284529,284143,294366,315656,384231,469558,557804,557961,578114,673437,784643,888036,814937,994650,1092136,1115826,1134580,1127637,1230507,1293492,1356629,1413607,1388521,1446413,1449885,1696525,1687045,1722985,1852500,1986666,2025582,2122790,2353692,2608573,2791927,3235011,3747805,4073898,4490489,4815011,5207027,6105886,6559567,7210173,8185714,8627306,9090637,9613235,9761494,10152794,10434021,10714600,11815126,12429218,13256187,14106136,15256962,15671892,16533795,17308965,18044406,19377115,19963231,21323584,22448557,23061628,24520021,26207355,27790234,29994534,32195954,34088901,33088389,34410026,36872430,39303801,39461723,40843525,42646600
"30000","Montana","7","SA4","11","...","  Nonfarm personal income 1/",265208,229989,197961,150403,143554,179241,205411,245875,252383,231071,241206,254493,274407,321727,362376,382173,413177,480964,537748,627572,686294,733714,810231,891108,908529,928436,1012770,1094809,1143957,1177106,1242428,1285027,1340818,1420394,1475363,1554823,1663338,1761627,1836811,1928845,2113413,2318896,2542965,2835903,3174878,3611155,4093990,4594518,5141393,5808336,6446388,7095047,7963900,8460293,8968188,9574014,9851065,9919599,10122156,10610049,11401575,12040247,12711850,13624407,14491454,15292447,16205271,17008009,17814978,19086343,19585869,21072096,22109254,22872790,24177891,25664635,27208888,29843543,31791686,33599350,32743352,33881722,36185226,38575711,38441387,40029351,41907647
"30000","Montana","7","SA4","12","...","  Farm income 2/",45029,39963,10758,30146,18230,19643,55783,19083,32146,53072,53160,61163,109824,147831,195428,175788,164937,192473,246895,260464,128643,260936,281905,224718,226051,199201,217737,198683,212672,236501,146093,161386,109067,276131,211682,168162,189162,225039,188771,193945,240279,289677,248962,399108,572927,462743,396499,220493,65634,297550,113179,115126,221814,167013,122449,39221,-89571,233195,311865,104551,413551,388971,544337,481729,765508,379445,328524,300956,229428,290772,377362,251488,339303,188838,342130,542720,581346,150991,404268,489551,345037,528304,687204,728090,1020336,814174,738953
"30000","Montana","7","SA4","20","...","Population (persons) 3/",524000,539000,540000,540000,541000,545000,550000,554000,554000,552000,555000,558000,543000,521000,483000,471000,477000,514000,530000,542000,569000,593000,596000,602000,616000,624000,636000,656000,667000,666000,669000,679000,696000,698000,703000,706000,706000,707000,701000,700000,694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990575,997661,1005163,1014864,1023579,1033112
"30000","Montana","7","SA4","30","...","Per capita personal income (dollars) 4/",592,501,387,334,299,365,475,478,514,515,530,566,708,901,1155,1185,1212,1310,1480,1638,1432,1677,1832,1854,1842,1807,1935,1972,2034,2123,2076,2130,2083,2431,2400,2440,2624,2810,2890,3033,3391,3742,3927,4498,5152,5526,5994,6348,6751,7788,8312,9141,10292,10731,11167,11711,11871,12477,12960,13390,14776,15533,16372,17082,18061,18195,18862,19530,20278,21713,22243,23594,24751,25296,26663,28180,29561,31484,33374,34912,33627,34737,36959,39102,38884,39903,41280
"30000","Montana","7","SA4","35","...","  Earnings by place of work",261150,227315,167628,148958,130764,165528,222542,216939,246207,249117,258395,274594,342907,424028,512926,509651,519474,589585,687594,776992,689045,855366,956655,958224,982525,965099,1051022,1107096,1141307,1159142,1118535,1174718,1170757,1400429,1387248,1397668,1496075,1619374,1623149,1703895,1877706,2049846,2174656,2562953,2985391,3177083,3417253,3651296,3917626,4672856,4934365,5238017,5795775,5889154,6169490,6439838,6445029,6771544,7035017,7264465,7994112,8438168,9188479,9841349,10837264,11042609,11368669,11828799,12227234,13198302,13888030,14654936,15420939,16047192,17012090,18257419,19521636,20667791,21933105,22770563,22059381,22877100,24249484,25575473,26215896,27045468,28302818
"30000","Montana","7","SA4","36","...","  Less: Contributions for government social insurance 5/",392,382,363,361,306,305,296,304,5572,6039,6418,6706,7453,8602,9924,10747,12926,20466,18601,18393,20366,21298,24816,27224,26363,29851,33443,38070,42213,43829,50558,62271,62543,63968,72216,74497,75943,98913,108351,115057,126533,136515,150913,177363,227000,262363,283427,323987,368803,432677,496461,541596,632485,663807,699580,758281,789568,805275,827330,927041,996734,1118433,1219468,1323612,1461680,1547082,1564191,1562744,1585084,1642600,1692480,1792627,1907727,2021543,2123792,2259185,2457001,2655717,2856554,2925173,2872463,2929315,2778804,2864778,3298984,3448422,3600816
"30000","Montana","7","SA4","37","...","    Employee and self-employed contributions for government social insurance",354,349,340,324,287,286,273,295,1702,1597,1779,1906,2093,2486,3542,4268,4650,4923,6086,6728,6879,8700,10292,11397,11775,13522,15120,18088,20177,19667,22790,28658,27069,29461,33720,35350,35027,47286,54296,56890,60064,64901,70197,81686,104734,119022,128123,141128,160200,188078,214960,234513,275458,292708,304230,324053,349920,360710,371684,422512,461534,514672,560310,609218,651656,694473,727131,755496,788650,819146,850469,892478,962603,1006734,1049462,1124995,1224944,1321793,1420994,1466553,1450237,1480390,1239017,1283367,1670948,1760828,1842443
"30000","Montana","7","SA4","38","...","    Employer contributions for government social insurance",38,33,23,37,19,19,23,9,3870,4442,4639,4800,5360,6116,6382,6479,8276,15543,12515,11665,13487,12598,14524,15827,14588,16329,18323,19982,22036,24162,27768,33613,35474,34507,38496,39147,40916,51627,54055,58167,66469,71614,80716,95677,122266,143341,155304,182859,208603,244599,281501,307083,357027,371099,395350,434228,439648,444565,455646,504529,535200,603761,659158,714394,810024,852609,837060,807248,796434,823454,842011,900149,945124,1014809,1074330,1134190,1232057,1333924,1435560,1458620,1422226,1448925,1539787,1581411,1628036,1687594,1758374
"30000","Montana","7","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-75,-222,-152,-452,-513,-507,-795,-911,-955,-931,94,72,62,14,-71,-118,-142,-227,-321,-402,-521,-994,-1061,-724,-306,273,938,2362,3252,4132,3158,5915,13055,24846,17316,9243,5863,3205,-1635,-3338,-722,-2851,-4366,-11360,-1898,947,5544,8892,11938,13638,18568,22025,26925,33207,29388,15130,29282,22580,20451,36064,27639,30324,45956,90728,150491,164713,190860,183701
