"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"46000","South Dakota","4","SA4","10","...","Personal income (thousands of dollars)",286119,247224,167675,130823,93854,129188,205575,164816,210441,205687,219860,228852,287866,450631,500710,548370,620624,659409,752267,921458,709088,851673,997477,884664,961613,987358,920371,984328,1154418,1186491,1079852,1323454,1331620,1517169,1471232,1442610,1623335,1755443,1782696,1909887,2080125,2262517,2478189,2860912,3609714,3621033,4000855,3954043,4485097,5164776,5679834,5719001,6647391,7034068,7326712,8291305,8517981,8896433,9364373,9759935,10516247,11513251,11992985,12991533,13585823,14630902,14934328,16504345,16852186,18215785,19233650,20609638,21556784,21689518,23630561,25087130,25935099,26543123,29493814,32040940,31202233,32813985,36461838,37378789,37855216,38631202,38637376
"46000","South Dakota","4","SA4","11","...","  Nonfarm personal income 1/",170023,163940,152673,116346,104594,134884,136325,158451,158278,158626,160513,168188,183935,236213,289899,300164,350682,369203,406909,488542,517668,569133,615096,658281,691397,728290,760043,805017,836695,876064,939122,999652,1080944,1149366,1172717,1227643,1289740,1362844,1439375,1548537,1723616,1890170,2075478,2297786,2584455,2934831,3295823,3679432,4043218,4551449,5031139,5585490,6206236,6664319,7074642,7606503,7910195,8237582,8526076,9049965,9797283,10496833,11103308,11922064,12646357,13426890,14300632,15048165,15812509,17055501,18075750,19274917,20412786,21192930,22125293,23252950,24336721,25932591,27786915,29705839,29450643,31074067,32694715,34794176,34312270,35983290,37495656
"46000","South Dakota","4","SA4","12","...","  Farm income 2/",116096,83284,15002,14477,-10740,-5696,69250,6365,52163,47061,59347,60664,103931,214418,210811,248206,269942,290206,345358,432916,191420,282540,382381,226383,270216,259068,160328,179311,317723,310427,140730,323802,250676,367803,298515,214967,333595,392599,343321,361350,356509,372347,402711,563126,1025259,686202,705032,274611,441879,613327,648695,133511,441155,369749,252070,684802,607786,658851,838297,709970,718964,1016418,889677,1069469,939466,1204012,633696,1456180,1039677,1160284,1157900,1334721,1143998,496588,1505268,1834180,1598378,610532,1706899,2335101,1751590,1739918,3767123,2584613,3542946,2647912,1141720
"46000","South Dakota","4","SA4","20","...","Population (persons) 3/",690000,693000,694000,692000,690000,682000,674000,666000,656000,649000,645000,641000,613000,597000,587000,562000,573000,588000,600000,612000,631000,655000,655000,651000,648000,655000,663000,670000,666000,656000,667000,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816192,824171,834504,845510,853175,858577
"46000","South Dakota","4","SA4","30","...","Per capita personal income (dollars) 4/",415,357,242,189,136,189,305,247,321,317,341,357,470,755,853,976,1083,1121,1254,1506,1124,1300,1523,1359,1484,1507,1388,1469,1733,1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24416,25631,27267,28440,28538,30941,32564,33443,33898,37257,40095,38661,40204,44241,44792,44772,45279,45002
"46000","South Dakota","4","SA4","35","...","  Earnings by place of work",254230,214219,132001,104059,72075,106360,181213,128566,179185,174856,189825,197924,255538,415906,461146,507912,572730,585848,671060,817286,598695,716405,859770,741201,803881,813064,746925,797338,959862,971755,861442,1076328,1074536,1246374,1189185,1148581,1298702,1424776,1429770,1537548,1646355,1763289,1923417,2250481,2926828,2807048,3027689,2907460,3319894,3883030,4251281,3948092,4493135,4543772,4739232,5566638,5693999,5989519,6494176,6832517,7282121,8166492,8542509,9376653,9818868,10743907,10644217,11930154,12094999,13199883,14056890,15075693,15589983,15682586,17389448,18556104,18985830,18793159,20667235,22276772,21849862,22926458,25794293,26064546,26925737,27316769,26916082
"46000","South Dakota","4","SA4","36","...","  Less: Contributions for government social insurance 5/",290,280,261,261,211,216,210,205,2193,2358,2779,2882,2691,3752,4977,5776,10235,11492,9993,8858,9743,9945,11386,12763,13555,14541,15578,19517,22019,26016,34140,34813,38955,44939,50975,50400,51202,64386,77180,83630,89609,95455,106383,121081,158103,183198,200384,224598,237574,274402,322079,341848,388087,407801,440472,491235,529535,573922,618159,691582,750314,851322,916344,976305,1034719,1117340,1171370,1224403,1292030,1385217,1481938,1567507,1617184,1678186,1755368,1848770,1938986,2082230,2213443,2318406,2317017,2422425,2225631,2329077,2662074,2819857,2929184
"46000","South Dakota","4","SA4","37","...","    Employee and self-employed contributions for government social insurance",243,239,232,216,189,194,183,194,863,765,860,938,992,1622,3079,3586,4747,3087,3564,3649,3581,4871,5710,6759,7284,7865,8386,11729,12890,14878,20615,19388,21355,24415,28067,28661,29226,36309,45741,48188,53291,56213,61052,68529,90693,104603,114118,122871,125191,143866,172383,184170,208129,220719,236208,260313,288802,314032,345339,386995,426320,477650,512621,542154,570847,617803,644488,671764,708562,763480,814927,858554,878499,911550,959809,1010713,1068158,1147852,1224846,1280189,1277727,1310948,1097157,1146332,1458440,1552759,1616382
"46000","South Dakota","4","SA4","38","...","    Employer contributions for government social insurance",47,41,29,45,22,22,27,11,1330,1593,1919,1944,1699,2130,1898,2190,5488,8405,6429,5209,6162,5074,5676,6004,6271,6676,7192,7788,9129,11138,13525,15425,17600,20524,22908,21739,21976,28077,31439,35442,36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766636,795559,838057,870828,934378,988597,1038217,1039290,1111477,1128474,1182745,1203634,1267098,1312802
"46000","South Dakota","4","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,-59,-123,-175,-245,-321,-430,-506,-588,-668,233,402,480,364,577,978,1367,1705,2198,2700,3253,6114,6123,6362,7076,7289,8082,10351,11798,12514,14334,15188,16353,12826,10216,3722,-2261,-5050,-11599,-19256,-26786,-37308,-54310,-67799,-85088,-100475,-130581,-150066,-188986,-185866,-232820,-249571,-267437,-255899,-273227,-282618,-262577,-199458,-189221,-137609,-104500,-77373,-79106,-130525,-104980,-78171,-73574,-82930
"46000","South Dakota","4","SA4","45","...","  Equals: Net earnings by place of residence",253940,213939,131740,103798,71864,106144,181003,128361,176992,172498,187046,195042,252847,412154,456169,502136,562495,574356,661067,808428,588893,706337,848209,728193,790005,798093,730841,777233,937175,945972,827704,1041995,1035945,1202012,1139188,1099548,1249205,1362588,1355290,1457171,1562860,1673957,1823396,2136476,2776014,2631932,2837656,2694660,3094834,3622962,3944390,3622597,4117874,4146187,4302482,5073142,5159414,5403998,5856761,6114149,6494499,7260860,7558366,8315260,8683674,9495986,9322781,10516765,10617103,11581846,12325381,13240749,13716900,13731173,15351462,16444757,16847386,16521708,18316183,19853866,19455472,20424927,23438137,23630489,24185492,24423338,23903969
"46000","South Dakota","4","SA4","46","...","  Plus: Dividends, interest, and rent 7/",26841,28004,24212,19697,15826,17007,18255,19255,19770,19664,21197,23154,25819,29566,35760,35463,39383,52628,58222,84460,80755,96663,111312,117416,131952,147078,136736,151333,152699,167026,170469,195738,201286,215420,226381,234176,255343,263805,273173,275461,323061,366695,399575,442077,506316,606518,706855,756557,860263,966742,1086201,1335670,1657890,1919136,1982011,2116346,2187388,2272715,2247993,2328143,2576939,2712671,2778343,2876078,3007315,3130294,3469567,3725571,3913714,4245051,4424857,4711093,4965866,4894969,5117004,5305996,5512757,6139523,7023244,7450278,6772627,7011877,7553063,8268010,8061464,8381338,8665644
"46000","South Dakota","4","SA4","47","...","  Plus: Personal current transfer receipts",5338,5281,11723,7328,6164,6037,6317,17200,13679,13525,11617,10656,9200,8911,8781,10771,18746,32425,32978,28570,39440,48673,37956,39055,39656,42187,52794,55762,64544,73493,81679,85721,94389,99737,105663,108886,118787,129050,154233,177255,194204,221865,255218,282359,327384,382583,456344,502826,530000,575072,649243,760734,871627,968745,1042219,1101817,1171179,1219720,1259619,1317643,1444809,1539720,1656276,1800195,1894834,2004622,2141980,2262009,2321369,2388888,2483412,2657796,2874018,3063376,3162095,3336377,3574956,3881892,4154387,4736796,4974134,5377181,5470638,5480290,5608260,5826526,6067762
"46000","South Dakota","4","SA4","50","...","  Wages and salaries",123093,119326,102692,82307,76898,97795,97821,103411,106414,108522,109000,111583,123663,159612,202132,210929,240253,225143,263558,314705,329531,346822,378498,404843,422066,434056,452910,476808,496180,510343,552978,582792,637751,674791,679480,696646,721006,768632,811936,884172,963354,1048533,1135789,1236295,1385024,1562847,1688286,1884908,2063329,2357998,2614343,2809589,3009026,3112206,3281520,3536328,3689538,3846012,4073133,4365851,4617796,5030725,5383229,5807790,6198630,6644829,7062743,7427065,7868248,8416334,9029033,9631622,10013729,10342245,10722294,11319376,11813148,12488763,13345538,14047449,13955210,14364809,14975624,15768074,16144676,17030278,17791600
"46000","South Dakota","4","SA4","60","...","  Supplements to wages and salaries",2137,2152,2083,1811,1984,2326,2370,2633,4032,4160,4596,4934,5482,10885,13556,11739,17148,16619,15125,16016,18219,20075,23489,27645,29066,30687,32025,34456,39099,42613,48831,51656,57963,65530,70747,73397,75289,84512,91627,99620,107636,124245,146945,171775,198343,229060,276970,317256,359222,410436,463543,500572,550107,593545,651139,712469,763850,820826,873953,954111,1062371,1195102,1309645,1481545,1585019,1686127,1728958,1758629,1794312,1918733,2061186,2217802,2343342,2534641,2749233,2939018,3124700,3138295,3335492,3493927,3471995,3742143,3983215,3977865,3958025,4194567,4364619
"46000","South Dakota","4","SA4","61","...","    Employer contributions for employee pension and insurance funds 8/",2090,2111,2054,1766,1962,2304,2343,2622,2702,2567,2677,2990,3783,8755,11658,9549,11660,8214,8696,10807,12057,15001,17813,21641,22795,24011,24833,26668,29970,31475,35306,36231,40363,45006,47839,51658,53313,56435,60188,64178,71318,85003,101614,119223,130933,150465,190704,215529,246839,279900,313847,342894,370149,406463,446875,481547,523117,560936,601133,649524,738377,821430,905922,1047394,1121147,1186590,1202076,1205990,1210844,1296996,1394175,1508849,1604657,1768005,1953674,2100961,2253872,2203917,2346895,2455710,2432705,2630666,2854741,2795120,2754391,2927469,3051817
"46000","South Dakota","4","SA4","62","...","    Employer contributions for government social insurance",47,41,29,45,22,22,27,11,1330,1593,1919,1944,1699,2130,1898,2190,5488,8405,6429,5209,6162,5074,5676,6004,6271,6676,7192,7788,9129,11138,13525,15425,17600,20524,22908,21739,21976,28077,31439,35442,36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766636,795559,838057,870828,934378,988597,1038217,1039290,1111477,1128474,1182745,1203634,1267098,1312802
"46000","South Dakota","4","SA4","70","...","  Proprietors' income 9/",129000,92741,27226,19941,-6807,6239,81022,22522,68739,62174,76229,81407,126393,245409,245458,285244,315329,344086,392377,486565,250945,349508,457783,308713,352749,348321,261990,286074,424583,418799,259633,441880,378822,506053,438958,378538,502407,571632,526207,553756,575365,590511,640683,842411,1343461,1015141,1062433,705296,897343,1114596,1173395,637931,934002,838021,806573,1317841,1240611,1322681,1547090,1512555,1601954,1940665,1849635,2087318,2035219,2412951,1852516,2744460,2432439,2864816,2966671,3226269,3232912,2805700,3917921,4297710,4047982,3166101,3986205,4735396,4422657,4819506,6835454,6318607,6823036,6091924,4759864
"46000","South Dakota","4","SA4","71","...","    Farm proprietors' income",93874,62230,2883,6343,-17867,-11786,60238,-1663,43163,37020,49367,50679,88957,194553,186947,220344,245000,262368,311741,395943,156927,251283,351629,198874,242592,234876,138909,159489,293968,288655,119640,301995,227584,342214,273104,190244,308061,366152,315734,334686,323871,339332,370470,529583,981603,631798,653848,228064,393931,544935,574092,56517,365051,288068,173398,606314,528074,584402,762716,629768,638461,928861,810744,993025,859738,1112548,542835,1359608,935429,1041009,1045202,1208954,1001248,364683,1397475,1676038,1440287,452721,1479058,2075250,1556577,1545730,3553978,2263917,3276664,2356468,840461
"46000","South Dakota","4","SA4","72","...","    Nonfarm proprietors' income",35126,30511,24343,13598,11060,18025,20784,24185,25576,25154,26862,30728,37436,50856,58511,64900,70329,81718,80636,90622,94018,98225,106154,109839,110157,113445,123081,126585,130615,130144,139993,139885,151238,163839,165854,188294,194346,205480,210473,219070,251494,251179,270213,312828,361858,383343,408585,477232,503412,569661,599303,581414,568951,549953,633175,711527,712537,738279,784374,882787,963493,1011804,1038891,1094293,1175481,1300403,1309681,1384852,1497010,1823807,1921469,2017315,2231664,2441017,2520446,2621672,2607695,2713380,2507147,2660146,2866080,3273776,3281476,4054690,3546372,3735456,3919403
