"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"48000","Texas","6","SA4","10","...","Personal income (thousands of dollars)",2727475,2380040,2037288,1559658,1529027,1762885,1989187,2301087,2612830,2544915,2652597,2816618,3553072,5022821,6738234,7328287,7379627,7640830,8521621,9307371,10048454,10825042,12361208,13360366,13692547,14103609,15186386,16245464,17374237,17919413,18935469,19437723,20553051,21574399,22519599,24137161,25975703,28420483,31029233,34549609,38443529,42337671,45936073,50972265,57886017,65270692,74303077,83693554,93346447,107770121,124188134,142639001,167739363,184332493,196082087,214972612,231268930,236746076,241509519,256262447,274061924,296204968,309983300,335301604,354794103,375106640,401483332,431653384,470314809,514023760,543695367,594097365,633552727,636107528,661144021,695946540,759204486,830522563,881582784,969740300,918587462,966447597,1057983140,1135225582,1161133804,1231084591,1284262294
"48000","Texas","6","SA4","11","...","  Nonfarm personal income 1/",2214974,2046790,1776190,1384595,1296173,1504533,1634096,1986151,2163261,2211735,2292984,2435904,3055553,4294543,5789607,6382840,6563078,6651513,7141733,8100002,8547485,9637204,11018527,12238889,12786877,13141943,14241233,15432711,16410867,16859293,17945224,18519232,19469290,20631339,21742796,23415550,25117475,27507933,30258533,33648779,37529414,41182908,44935414,49730711,55761635,64138104,73016113,82435618,92103556,106778253,122487191,142057472,165815032,183004730,194365261,213373121,229798110,235498664,239459860,253982870,271857722,293200398,307254602,331966295,350843559,371703007,398747634,429282544,467296606,511223862,539460439,590789018,629601316,632165263,656086647,690639992,754247197,827342277,877933179,968023836,917555415,963194218,1054724432,1131924828,1156530493,1225852672,1280161407
"48000","Texas","6","SA4","12","...","  Farm income 2/",512501,333250,261098,175063,232854,258352,355091,314936,449569,333180,359613,380714,497519,728278,948627,945447,816549,989317,1379888,1207369,1500969,1187838,1342681,1121477,905670,961666,945153,812753,963370,1060120,990245,918491,1083761,943060,776803,721611,858228,912550,770700,900830,914115,1154763,1000659,1241554,2124382,1132588,1286964,1257936,1242891,991868,1700943,581529,1924331,1327763,1716826,1599491,1470820,1247412,2049659,2279577,2204202,3004570,2728698,3335309,3950544,3403633,2735698,2370840,3018203,2799898,4234928,3308347,3951411,3942265,5057374,5306548,4957289,3180286,3649605,1716464,1032047,3253379,3258708,3300754,4603311,5231919,4100887
"48000","Texas","6","SA4","20","...","Population (persons) 3/",5762000,5844000,5907000,5961000,6014000,6053000,6123000,6192000,6250000,6301000,6360000,6425000,6599000,6770000,6944000,6861000,6822000,7199000,7384000,7626000,7623000,7776000,8111000,8314000,8336000,8382000,8660000,8830000,9070000,9252000,9405000,9624000,9820000,10053000,10159000,10270000,10378000,10492000,10599000,10819000,11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25245717,25657477,26094422,26505637,26956958,27473794
"48000","Texas","6","SA4","30","...","Per capita personal income (dollars) 4/",473,407,345,262,254,291,325,372,418,404,417,438,538,742,970,1068,1082,1061,1154,1220,1318,1392,1524,1607,1643,1683,1754,1840,1916,1937,2013,2020,2093,2146,2217,2350,2503,2709,2928,3193,3481,3768,3991,4335,4816,5320,5912,6486,7076,7984,8943,9948,11375,12023,12448,13430,14212,14295,14530,15375,16307,17366,17817,18880,19535,20206,21177,22319,23825,25500,26447,28365,29717,29327,30010,31077,33330,35554,36992,39892,37037,38282,41235,43505,43807,45669,46745
"48000","Texas","6","SA4","35","...","  Earnings by place of work",2200020,1890146,1567745,1180412,1191198,1400540,1612725,1803772,2146272,2043553,2152532,2330484,3057621,4454513,6125533,6670169,6614054,6542920,7241389,7963880,8612123,9075440,10708380,11619540,11788381,12022521,12939994,13885279,14766775,14945464,15750194,16124450,16995159,17799407,18510848,19895341,21415655,23791149,26002157,29099307,32418778,35075807,37748133,41992564,47834741,53346787,60244554,68856844,77683489,90027708,104072730,117885999,137913265,148516730,155552484,170022596,181766007,184516150,188532633,200996431,213179242,231206587,242930987,262345031,279272367,294781192,313294660,337769187,372576481,412554378,442547997,484094152,519607158,519790452,536041762,565987731,603947992,661123107,691187412,743680794,699666625,735007182,794367874,851910214,889031389,949050905,984816155
"48000","Texas","6","SA4","36","...","  Less: Contributions for government social insurance 5/",2200,2109,1922,1984,1600,1790,1608,1594,42137,48831,52093,54057,53982,81656,134895,162870,218037,255382,196319,163012,177987,186625,224990,250417,259594,307901,350062,394135,465278,472030,567423,677293,695775,749001,832101,877355,930002,1259220,1461491,1634205,2012043,2149000,2399309,2782640,3608255,4248908,4720816,5513395,6290150,7500891,9046503,10466423,13077673,14469860,15034877,16887368,18294520,18420100,18487094,20384775,21806091,23239484,25080798,26705205,28325493,30353046,32364691,34406375,37474256,40837125,43356875,46647203,49028237,49563315,51813921,54508201,58043801,62130526,66495255,69850311,69367315,72072436,67872069,71924610,85246142,90649905,93627987
"48000","Texas","6","SA4","37","...","    Employee and self-employed contributions for government social insurance",1818,1775,1683,1600,1408,1597,1367,1497,12848,13183,13790,15326,18601,32498,74938,90529,94297,63297,63178,65071,64651,90699,110508,123089,130634,155652,177859,199192,231859,238722,281307,342358,346255,367120,410913,435103,463224,638838,764265,860165,1017402,1086601,1206157,1372398,1789465,2111097,2338673,2649839,3012638,3559702,4330074,5082598,6410432,7108699,7316452,8044937,9007138,9159931,9261661,10269548,11183368,11930149,12941824,13757072,14616384,15724677,16872382,17911343,19504289,21226764,22605881,24282711,25549897,25932654,26378428,27858117,29877682,32395211,34884847,37152562,36874534,37803333,31407115,33129319,44847684,48105860,49727222
"48000","Texas","6","SA4","38","...","    Employer contributions for government social insurance",382,334,239,384,192,193,241,97,29289,35648,38303,38731,35381,49158,59957,72341,123740,192085,133141,97941,113336,95926,114482,127328,128960,152249,172203,194943,233419,233308,286116,334935,349520,381881,421188,442252,466778,620382,697226,774040,994641,1062399,1193152,1410242,1818790,2137811,2382143,2863556,3277512,3941189,4716429,5383825,6667241,7361161,7718425,8842431,9287382,9260169,9225433,10115227,10622723,11309335,12138974,12948133,13709109,14628369,15492309,16495032,17969967,19610361,20750994,22364492,23478340,23630661,25435493,26650084,28166119,29735315,31610408,32697749,32492781,34269103,36464954,38795291,40398458,42544045,43900765
"48000","Texas","6","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-4145,-15078,-9777,-31179,-34852,-34552,-55150,-61747,-64089,-61756,15718,16229,16421,16447,17156,17676,18441,19329,16547,14611,13876,-87244,-99504,-103088,-127961,-155278,-132503,-130753,-94911,-308841,-430271,-436851,-541531,-337105,-408854,-391584,-450123,-479096,-439684,-436228,-442023,-452474,-492105,-571527,-594718,-616038,-682379,-764381,-835574,-976489,-1073091,-1097876,-1195954,-1352341,-2644408,-2817134,-3113703,-552317,-974784,-468315,-1182873,-1234382,-1256933,-1407833,-1605970,-1589561,-1548295,-1645004
