"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"56000","Wyoming","7","SA4","10","...","Personal income (thousands of dollars)",149807,131518,109266,86297,85459,96364,118077,132492,147181,137775,145292,150399,197278,242500,287977,298149,305704,345446,387005,438799,468827,515557,584586,578071,577930,563439,610922,655266,695732,705200,745157,781263,822130,850868,870801,897870,926790,950027,1016413,1084968,1211800,1340970,1489501,1674888,1955087,2287808,2592763,2866956,3346805,3998754,4673909,5451246,6230971,6552885,6481624,6760300,7066297,7021157,6754137,6890814,7550290,8161335,8564768,9072027,9580114,10022682,10491936,10954402,11730537,12480529,13319698,14314546,15203962,15721758,16815390,18171214,20136198,23094580,24339511,26720035,24159185,25308951,27893467,30087324,30205928,31885231,32417226
"56000","Wyoming","7","SA4","11","...","  Nonfarm personal income 1/",117836,107349,95469,77588,72151,83995,94522,109484,114086,111232,115884,120401,149230,187966,219187,240538,245744,261474,297617,366521,404772,438009,460348,502587,523113,522285,561213,604514,620038,630274,681145,731238,765935,784409,804652,851222,874302,892422,946792,1023780,1142858,1263241,1402448,1549909,1803792,2178984,2527758,2821445,3304513,3936481,4580443,5368091,6182224,6525876,6447249,6748355,7050896,6983593,6697456,6834017,7463217,8011845,8354996,8854298,9336336,9905886,10394613,10875460,11550928,12385838,13158339,14195279,15017932,15625267,16637608,17997732,19911030,23004596,24310720,26663119,24136866,25236827,27587984,30002219,30012479,31553108,32240220
"56000","Wyoming","7","SA4","12","...","  Farm income 2/",31971,24169,13797,8709,13308,12369,23555,23008,33095,26543,29408,29998,48048,54534,68790,57611,59960,83972,89388,72278,64055,77548,124238,75484,54817,41154,49709,50752,75694,74926,64012,50025,56195,66459,66149,46648,52488,57605,69621,61188,68942,77729,87053,124979,151295,108824,65005,45511,42292,62273,93466,83155,48747,27009,34375,11945,15401,37564,56681,56797,87073,149490,209772,217729,243778,116796,97323,78942,179609,94691,161359,119267,186030,96491,177782,173482,225168,89984,28791,56916,22319,72124,305483,85105,193449,332123,177006
"56000","Wyoming","7","SA4","20","...","Population (persons) 3/",223000,226000,229000,230000,230000,233000,237000,240000,243000,246000,248000,250000,249000,249000,246000,240000,240000,253000,256000,269000,277000,290000,291000,293000,290000,293000,307000,312000,314000,315000,320000,331000,337000,333000,336000,339000,332000,323000,322000,324000,329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564358,567631,576893,583223,584153,586176
"56000","Wyoming","7","SA4","30","...","Per capita personal income (dollars) 4/",672,582,477,375,372,414,498,552,606,560,586,602,792,974,1171,1242,1274,1365,1512,1631,1693,1778,2009,1973,1993,1923,1990,2100,2216,2239,2329,2360,2440,2555,2592,2649,2792,2941,3157,3349,3683,4017,4381,4829,5533,6276,6815,7250,8133,9280,10344,11496,12672,12940,12701,13390,14141,14166,14161,14816,16472,17989,18649,19457,20250,20868,21626,22440,23967,25430,27085,28959,30736,31442,33400,35692,39164,44186,45505,48934,43153,44846,49140,52154,51791,54584,55303
"56000","Wyoming","7","SA4","35","...","  Earnings by place of work",130515,115456,90742,70221,70316,81194,101144,110217,129362,121193,125925,129369,174612,219420,263048,272119,277382,308594,345927,385212,400331,423958,505716,498036,494144,476928,509546,551654,580877,580916,616748,654260,675868,694487,713874,738392,751849,773099,827744,893826,982275,1071806,1183318,1354179,1598145,1884743,2128090,2372557,2807597,3399851,4018077,4628585,5201267,5272775,5014361,5209169,5434289,5321264,5013082,5107796,5505855,5960842,6214642,6557567,6968813,7206169,7377909,7627570,8189999,8551374,9126881,9777156,10587274,11029640,11654255,12436303,13532225,15553144,16720991,18578736,17350468,17994613,19266887,20004756,20407156,21415149,21229274
"56000","Wyoming","7","SA4","36","...","  Less: Contributions for government social insurance 5/",211,203,186,182,154,165,155,160,2870,3178,3137,3021,3581,4805,6026,7203,8104,9969,10402,10394,10932,10752,12738,14697,15201,15835,16560,17364,19617,22804,27457,34079,33949,34940,40422,42683,40683,47852,53338,59150,65681,71326,80588,94971,127160,158378,181444,212613,249141,308504,380438,440505,541360,564987,522340,560205,599033,580894,549887,602167,627608,698729,744745,777030,817323,866362,891028,912627,956994,1005592,1054162,1120592,1202040,1226496,1302756,1396252,1508226,1912204,2111905,2242254,2173086,2229728,2125155,2246556,2523148,2627455,2602074
"56000","Wyoming","7","SA4","37","...","    Employee and self-employed contributions for government social insurance",195,189,176,166,146,157,145,156,871,769,756,880,1069,1720,2911,3699,3466,2601,3536,3785,3739,4706,5457,6258,6802,7077,7417,7914,9012,10166,11938,14943,14619,14990,16712,17394,17569,22111,25859,28807,32736,35493,39578,46197,61406,74883,85700,98844,114534,142177,175217,205294,253783,264614,243591,253780,278678,273011,265392,293986,311900,346793,371557,391067,409964,435456,450123,462150,483206,512005,532761,566954,617778,637248,676015,724120,780011,886807,961235,1025249,1003836,1024771,844381,875877,1145039,1219132,1209298
"56000","Wyoming","7","SA4","38","...","    Employer contributions for government social insurance",16,14,10,16,8,8,10,4,1999,2409,2381,2141,2512,3085,3115,3504,4638,7368,6866,6609,7193,6046,7281,8439,8399,8758,9143,9450,10605,12638,15519,19136,19330,19950,23710,25289,23114,25741,27479,30343,32945,35833,41010,48774,65754,83495,95744,113769,134607,166327,205221,235211,287577,300373,278749,306425,320355,307883,284495,308181,315708,351936,373188,385963,407359,430906,440905,450477,473788,493587,521401,553638,584262,589248,626741,672132,728215,1025397,1150670,1217005,1169250,1204957,1280774,1370679,1378109,1408323,1392777
"56000","Wyoming","7","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-75,-297,-374,-877,-1307,-1657,-2260,-2734,-3397,-3622,-1277,-1352,-1502,-1248,-1047,-956,-869,-565,-316,-165,63,36,160,-791,-3051,-7038,-13529,-15993,-22239,-28845,-37597,-53778,-73612,-83145,-80163,-58483,-53349,-52268,-41697,-26543,-21985,-14568,-10580,-988,-6104,-7895,-7447,-4928,483,5370,7839,6976,13863,10194,3090,-18411,-43660,-79625,-132035,-153325,-218321,-193067,-197137,-202657,-216622,-200282,-199313,-184286
