"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"04000","Arizona","6","SA5N 1/","10","...","Personal income (thousands of dollars)",117998818,125530120,137031199,143546204,148881920,156749621,170829432,189357627,210103296,221596785,226573627,216064765,219195775,230920326,241192186,243656863,255092928,266755995
"04000","Arizona","6","SA5N 1/","20","...","Population (persons) 2/",4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997,6731484,6829397
"04000","Arizona","6","SA5N 1/","30","...","Per capita personal income (dollars) 3/",24164,24987,26553,27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895,39060
"04000","Arizona","6","SA5N 1/","35","...","  Earnings by place of work",86829653,93668175,103080322,108006399,111394914,116106947,126180303,138299069,153494901,159928324,159805568,149743543,149712061,156700759,163693449,167827311,175367202,182517285
"04000","Arizona","6","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",9784924,10486179,11417314,11946096,12350254,12830700,13897568,15254256,16728805,17695906,17901056,17067080,17129150,15873181,16422955,19165527,20056303,20749391
"04000","Arizona","6","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",5028861,5430306,5905053,6151764,6363146,6642746,7219625,7987320,8785233,9233500,9326152,8998036,9145084,7577842,7821342,10292595,10821861,11207469
"04000","Arizona","6","SA5N 1/","38","...","    Employer contributions for government social insurance",4756063,5055873,5512261,5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,7984066,8295339,8601613,8872932,9234442,9541922
"04000","Arizona","6","SA5N 1/","42","...","  plus: Adjustment for residence 5/",409613,470075,529067,581224,587691,585636,623469,710172,814165,1059378,1293777,1230677,1250897,1243529,1334499,1281887,1365185,1453720
"04000","Arizona","6","SA5N 1/","45","...","  equals: Net earnings by place of residence",77454342,83652071,92192075,96641527,99632351,103861883,112906204,123754985,137580261,143291796,143198289,133907140,133833808,142071107,148604993,149943671,156676084,163221614
"04000","Arizona","6","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",25414441,25762440,27811236,27589526,27755010,29409711,32221788,36865194,41097869,44187019,43619076,37735676,37045863,40526296,44516394,44511311,46309843,48083476
