"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"06000","California","8","SA5N 1/","10","...","Personal income (thousands of dollars)",961026185,1027198949,1134894388,1175422938,1196317599,1247297158,1324947651,1398952578,1501831207,1565343003,1602748801,1537136355,1583446730,1691002503,1812314643,1849505496,1939527656,2061337141
"06000","California","8","SA5N 1/","20","...","Population (persons) 2/",32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37336011,37701901,38062780,38431393,38802500,39151017
"06000","California","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",29133,30663,33391,34091,34306,35381,37244,39046,41693,43182,43786,41588,42411,44852,47614,48125,49985,52651
"06000","California","8","SA5N 1/","35","...","  Earnings by place of work",733775358,798624107,892561539,920422283,936025088,972098604,1034658757,1079025721,1137403558,1173527488,1180313690,1125167814,1147934864,1207769345,1290567722,1336664796,1406610607,1497445426
"06000","California","8","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",75084912,81356074,90069271,94914950,97817094,102878176,112446011,117533982,120861208,122663444,124914063,120967559,121461140,114122447,118735741,139631593,147644717,156456215
"06000","California","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",39102919,42473103,47153058,49335714,50390872,52003543,56116838,59231723,62097475,64052881,66573942,65498076,66275569,56064824,57735582,76296536,81041540,86001440
"06000","California","8","SA5N 1/","38","...","    Employer contributions for government social insurance",35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58610563,58340121,55469483,55185571,58057623,61000159,63335057,66603177,70454775
"06000","California","8","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-59488,-68807,-240981,-226412,1903225,2138882,2516848,1851453,1111473,-330667,-1767362,-1718584,-1855582,-2024418,-2109195,-2171537,-2292331,-2526437
"06000","California","8","SA5N 1/","45","...","  equals: Net earnings by place of residence",658630958,717199226,802251287,825280921,840111219,871359310,924729594,963343192,1017653823,1050533377,1053632265,1002481671,1024618142,1091622480,1169722786,1194861666,1256673559,1338462775
"06000","California","8","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",190669879,192614245,210465558,214566378,210501595,222008436,238880861,266007600,301894075,322015455,330903905,293529439,291960613,330633045,371014151,372653783,389197658,406281774
"06000","California","8","SA5N 1/","47","...","  plus: Personal current transfer receipts",111725348,117385478,122177543,135575639,145704785,153929412,161337196,169601786,182283309,192794171,218212631,241125245,266867975,268746978,271577706,281990047,293656439,316592593
"06000","California","8","SA5N 1/","50","...","  Wages and salaries",517592617,565624705,638455163,648050300,646099056,666180133,705817557,742559187,791483995,834428905,842860549,799344874,814462982,848495011,903681066,933905600,991162737,1059909193
"06000","California","8","SA5N 1/","60","...","  Supplements to wages and salaries",107906704,116457039,129730291,139903003,148940043,163411750,180348072,189395632,194469921,200565620,204734415,197073594,202859094,218481963,220447346,230694508,235024289,246648012
"06000","California","8","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",71924711,77574068,86814078,94323767,101513821,112537117,124018899,131093373,135706188,141955057,146394294,141604111,147673523,160424340,159447187,167359451,168421112,176193238
"06000","California","8","SA5N 1/","62","...","    Employer contributions for government social insurance",35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58610563,58340121,55469483,55185571,58057623,61000159,63335057,66603177,70454775
"06000","California","8","SA5N 1/","70","...","  Proprietors' income 8/",108276037,116542363,124376085,132468980,140985989,142506721,148493128,147070902,151449642,138532963,132718726,128749346,130612788,140792371,166439310,172064688,180423581,190888222
"06000","California","8","SA5N 1/","71","...","    Farm proprietors' income",3719014,3769374,3601763,3174570,3991871,5145182,6881209,6493342,4855992,7474744,4986567,5767103,6340477,9292976,9974994,12084586,11975684,12911815
"06000","California","8","SA5N 1/","72","...","    Nonfarm proprietors' income",104557023,112772989,120774322,129294410,136994118,137361539,141611919,140577560,146593650,131058219,127732159,122982243,124272311,131499395,156464316,159980102,168447897,177976407
"06000","California","8","SA5N 1/","81","111-112","  Farm earnings",8216972,8987138,8893289,8428698,8957683,10149143,12322433,12293563,10502902,12862117,10766257,11973440,12433312,14373226,15953332,18767437,18560552,19722328
"06000","California","8","SA5N 1/","82","...","  Nonfarm earnings",725558386,789636969,883668250,911993585,927067405,961949461,1022336324,1066732158,1126900656,1160665371,1169547433,1113194374,1135501552,1193396119,1274614390,1317897359,1388050055,1477723098
"06000","California","8","SA5N 1/","90","113-814","    Private nonfarm earnings",607911093,664433456,747067947,762265847,766337996,790938642,841511858,878372477,928693474,949000970,947601448,890066025,908337507,961819482,1043659921,1082428416,1143871543,1221692599
"06000","California","8","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",4068495,4172438,4513131,4561146,4620614,4800313,5294017,5297340,6066166,6233699,6187051,6127860,6688211,6900901,7743716,8076643,8659023,9625284
"06000","California","8","SA5N 1/","101","113","        Forestry and logging",280199,273310,280142,270808,254653,256478,271358,266607,282070,272748,271303,207411,244819,237288,256101,247779,262138,"(NA)"
"06000","California","8","SA5N 1/","102","114","        Fishing, hunting and trapping",123156,128100,139886,113372,108658,108121,104109,98265,103920,107034,114527,117497,159319,142118,175642,172381,184474,"(NA)"
"06000","California","8","SA5N 1/","103","115","        Support activities for agriculture and forestry",3665140,3771028,4093103,4176966,4257303,4435714,4918550,4932468,5680176,5853917,5801221,5802952,6284073,6521495,7311973,7656483,8212411,"(NA)"
"06000","California","8","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2237244,1962768,2149152,2344971,2168655,2454109,3043981,3424432,4165677,4176102,6137953,4001858,5050332,6134672,6911286,7013354,7385126,6974960
"06000","California","8","SA5N 1/","201","211","        Oil and gas extraction",1213359,985698,1132485,1237839,1248884,1539772,2081666,2358056,2891335,2798138,4603342,2730715,3666628,4489742,5107678,5239028,5507971,"(NA)"
"06000","California","8","SA5N 1/","202","212","        Mining (except oil and gas)",466219,497845,486577,492942,447198,458671,480570,501652,529972,516298,506081,447082,454538,509509,522832,528433,560574,"(NA)"
"06000","California","8","SA5N 1/","203","213","        Support activities for mining",557666,479225,530090,614190,472573,455666,481745,564724,744370,861666,1028530,824061,929166,1135421,1280776,1245893,1316581,"(NA)"
"06000","California","8","SA5N 1/","300","22","      Utilities",4382866,4467328,4772919,5728960,5660941,6133380,7093009,7071298,8059336,7962864,8625762,8550602,8443533,9153919,9009191,9613546,9541569,10362363
"06000","California","8","SA5N 1/","400","23","      Construction",42271159,49352444,55772004,59982797,61192892,64368951,71308337,76554171,80928182,76619489,67819957,54666131,50306475,51657555,56919370,61183572,66034974,74264896
"06000","California","8","SA5N 1/","401","236","        Construction of buildings",11745841,14003657,15623949,17052649,18027003,19480301,22242445,24351182,25690690,23077744,19270445,14513975,13489515,13687270,15168205,16443106,17850574,"(NA)"
"06000","California","8","SA5N 1/","402","237","        Heavy and civil engineering construction",5072561,5650410,6206381,6836643,7131704,7165479,7582595,8284938,8664421,8492133,7906879,6647811,6145926,6802462,7937549,8134002,8371320,"(NA)"
"06000","California","8","SA5N 1/","403","238","        Specialty trade contractors",25452757,29698377,33941674,36093505,36034185,37723171,41483297,43918051,46573071,45049612,40642633,33504345,30671034,31167823,33813616,36606464,39813080,"(NA)"
"06000","California","8","SA5N 1/","500","31-33","      Manufacturing",99057797,107923969,123686450,115253421,107508378,107825312,113519462,117178686,122230122,124761057,122428281,113614593,116160042,120509059,125072129,126048200,132615238,137131617
"06000","California","8","SA5N 1/","510","321,327-339","        Durable goods manufacturing",71825399,78910682,92561056,84277515,76846603,75841520,79720372,82217112,86778084,87983955,85097773,76645476,80626940,84368717,86529964,86345318,91610384,94514674
"06000","California","8","SA5N 1/","511","321","          Wood product manufacturing",1633591,1756301,1798481,1765757,1762042,1834636,1977232,2009784,1886649,1722898,1521147,1163305,1088031,1105169,1138630,1262290,1359720,"(NA)"
"06000","California","8","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",2099699,2240169,2394970,2459081,2478608,2539137,2750318,2936796,3024716,2922913,2599910,1988347,1852136,1895191,1968791,2019040,2166649,"(NA)"
"06000","California","8","SA5N 1/","513","331","          Primary metal manufacturing",1495818,1488351,1572991,1467036,1442470,1400307,1530122,1583435,1654099,1644603,1758478,1263835,1284416,1559433,1481914,1410396,1388640,"(NA)"
"06000","California","8","SA5N 1/","514","332","          Fabricated metal product manufacturing",7551734,7643680,8222526,7989007,7332592,7192145,7685996,7985689,8314840,8643327,8974168,7471218,7535474,8119800,8510763,8641732,9103868,"(NA)"
