"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"08000","Colorado","7","SA5N 1/","10","...","Personal income (thousands of dollars)",122405884,132658809,148128340,155992188,157172883,160369195,167793881,179089828,192161658,203034950,213342148,206385419,211419677,227052222,240905431,246447709,261735447,275107294
"08000","Colorado","7","SA5N 1/","20","...","Population (persons) 2/",4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086,5355866,5457432
"08000","Colorado","7","SA5N 1/","30","...","Per capita personal income (dollars) 3/",29734,31391,34234,35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869,50410
"08000","Colorado","7","SA5N 1/","35","...","  Earnings by place of work",95823477,105835284,118962166,125322139,124991650,126951436,133157836,140922356,149678819,155173888,162258736,156328607,159496988,165821646,175346352,182540370,194861467,204392231
"08000","Colorado","7","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",9709411,10548606,11702964,12313813,12726448,12959630,13830692,14686669,15591455,16421402,17107057,16489335,16659955,15765370,16534086,19329841,20699543,21689473
"08000","Colorado","7","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",5088644,5540744,6136327,6454529,6443334,6531343,6871451,7280498,7832927,8363997,8746704,8527731,8591724,7082065,7419204,10031748,10803545,11328724
"08000","Colorado","7","SA5N 1/","38","...","    Employer contributions for government social insurance",4620767,5007862,5566637,5859284,6283114,6428287,6959241,7406171,7758528,8057405,8360353,7961604,8068231,8683305,9114882,9298093,9895998,10360749
"08000","Colorado","7","SA5N 1/","42","...","  plus: Adjustment for residence 5/",231455,261164,288733,337637,1258854,1175794,1290935,1236696,793799,895336,522290,501470,527467,585420,624896,622959,636793,655727
"08000","Colorado","7","SA5N 1/","45","...","  equals: Net earnings by place of residence",86345521,95547842,107547935,113345963,113524056,115167600,120618079,127472383,134881163,139647822,145673969,140340742,143364500,150641696,159437162,163833488,174798717,183358485
"08000","Colorado","7","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",25341750,25707474,28531667,29480325,28805032,29649838,30932566,34085362,38477295,43261344,44173098,39967538,38527598,45883119,50754178,50740299,52895038,55094942
