"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"10000","Delaware","2","SA5N 1/","10","...","Personal income (thousands of dollars)",22096770,23258748,25249368,27048901,28114982,28988395,30958274,32598568,35002633,36065926,37404434,37125168,37593546,39540659,41027716,41468429,43391982,45093172
"10000","Delaware","2","SA5N 1/","20","...","Population (persons) 2/",763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899731,907829,916881,925240,935614,946108
"10000","Delaware","2","SA5N 1/","30","...","Per capita personal income (dollars) 3/",28948,30012,32109,33994,34875,35438,37263,38571,40735,41372,42319,41633,41783,43555,44747,44819,46378,47662
"10000","Delaware","2","SA5N 1/","35","...","  Earnings by place of work",18166887,19708612,21097525,22841886,23664512,24370353,25886023,27252211,28751172,29056286,29499649,28828587,29132463,30366298,31395451,32032303,33712455,34777108
"10000","Delaware","2","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",1996575,2133745,2236861,2294727,2399037,2500439,2690073,2820396,3001715,3084834,3193319,3123660,3139239,2847283,2978322,3466668,3669677,3756534
"10000","Delaware","2","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",1004001,1077693,1130179,1169459,1226918,1282038,1378277,1453696,1551811,1603548,1657891,1626037,1640814,1305521,1372410,1822162,1915277,1954065
"10000","Delaware","2","SA5N 1/","38","...","    Employer contributions for government social insurance",992574,1056052,1106682,1125268,1172119,1218401,1311796,1366700,1449904,1481286,1535428,1497623,1498425,1541762,1605912,1644506,1754400,1802469
"10000","Delaware","2","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-1456559,-1696964,-1791006,-1882654,-1912981,-1973995,-2034816,-2123784,-2180608,-2113886,-2053990,-1567739,-1763357,-2194058,-2207572,-2170355,-2332203,-2371104
"10000","Delaware","2","SA5N 1/","45","...","  equals: Net earnings by place of residence",14713753,15877903,17069658,18664505,19352494,19895919,21161134,22308031,23568849,23857566,24252340,24137188,24229867,25324957,26209557,26395280,27710575,28649470
"10000","Delaware","2","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",4683524,4566487,5109222,5017220,5136326,5198281,5603922,5771401,6539638,6902541,7028883,6338448,6142233,6668800,7085063,6965505,7254888,7545799
"10000","Delaware","2","SA5N 1/","47","...","  plus: Personal current transfer receipts",2699493,2814358,3070488,3367176,3626162,3894195,4193218,4519136,4894146,5305819,6123211,6649532,7221446,7546902,7733096,8107644,8426519,8897903
"10000","Delaware","2","SA5N 1/","50","...","  Wages and salaries",13830613,14764643,15656198,16379849,16737787,17344952,18392822,19543726,20477338,20981908,21102326,20190317,20444665,21354868,22046340,22598494,23631991,24262198
