"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"98000","Far West","8","SA5N 1/","10","...","Personal income (thousands of dollars)",1321435281,1409427765,1546211133,1600031326,1631992351,1703114968,1815692467,1918269531,2062463949,2164249555,2227772991,2140379909,2200115677,2340033622,2500035963,2545123904,2674314694,2832956351
"98000","Far West","8","SA5N 1/","20","...","Population (persons) 2/",45798042,46505506,47188420,47891178,48493357,49053068,49601761,50090268,50570529,51031362,51608614,52167532,52696304,53211066,53736881,54270943,54829661,55413810
"98000","Far West","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",28854,30307,32767,33410,33654,34720,36605,38296,40784,42410,43167,41029,41751,43976,46524,46897,48775,51124
"98000","Far West","8","SA5N 1/","35","...","  Earnings by place of work",1009153343,1094316480,1209765494,1246533995,1270541232,1320991245,1406830697,1473949387,1559819001,1618109385,1632655516,1560515890,1590715552,1667439661,1774470749,1834282823,1930452101,2047956621
"98000","Far West","8","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",108701310,116479950,127413400,132590111,136597927,143112228,155432948,163439141,170460113,174720664,177404504,172434028,174122657,163588413,170227832,199314441,210298215,221830714
"98000","Far West","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",54616515,58928218,64693800,67203475,68877762,71030414,76375679,81027049,86037402,89504938,92543662,90887640,91919929,77113184,79610895,105288521,111924189,118323473
"98000","Far West","8","SA5N 1/","38","...","    Employer contributions for government social insurance",54084795,57551732,62719600,65386636,67720165,72081814,79057269,82412092,84422711,85215726,84860842,81546388,82202728,86475229,90616937,94025920,98374026,103507240
"98000","Far West","8","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-1026284,-1095983,-1198350,-1181361,943275,1154340,2051858,1629363,692062,-627579,-2296264,-2228333,-2298242,-2380942,-2570598,-2598876,-2814464,-3061837
"98000","Far West","8","SA5N 1/","45","...","  equals: Net earnings by place of residence",899425749,976740547,1081153744,1112762523,1134886580,1179033357,1253449607,1312139609,1390050950,1442761142,1452954748,1385853529,1414294653,1501470306,1601672319,1632369506,1717339422,1823064070
"98000","Far West","8","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",267503242,269689569,294207069,297248961,293145283,309508351,338446539,370095538,418952897,451327073,466058719,412624266,408123429,457840225,514796617,516166499,538556551,561658463
"98000","Far West","8","SA5N 1/","47","...","  plus: Personal current transfer receipts",154506290,162997649,170850320,190019842,203960488,214573260,223796321,236034384,253460102,270161340,308759524,341902114,377697595,380723091,383567027,396587899,418418721,448233819
"98000","Far West","8","SA5N 1/","50","...","  Wages and salaries",716888052,780820956,868257072,881885289,883602845,912019279,966883807,1021001328,1091441254,1154271000,1170532518,1113670258,1130442162,1177346437,1248382400,1290989486,1369401894,1458018614
"98000","Far West","8","SA5N 1/","60","...","  Supplements to wages and salaries",154415495,165478210,182633227,194712839,205837548,225095627,247292776,260093826,267175938,278001550,285198110,276821851,285822019,302705605,308943081,319902766,326470989,341752128
"98000","Far West","8","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",100330700,107926478,119913627,129326203,138117383,153013813,168235507,177681734,182753227,192785824,200337268,195275463,203619291,216230376,218326144,225876846,228096963,238244888
"98000","Far West","8","SA5N 1/","62","...","    Employer contributions for government social insurance",54084795,57551732,62719600,65386636,67720165,72081814,79057269,82412092,84422711,85215726,84860842,81546388,82202728,86475229,90616937,94025920,98374026,103507240
"98000","Far West","8","SA5N 1/","70","...","  Proprietors' income 8/",137849796,148017314,158875195,169935867,181100839,183876339,192654114,192854233,201201809,185836835,176924888,170023781,174451371,187387619,217145268,223390571,234579218,248185879
"98000","Far West","8","SA5N 1/","71","...","    Farm proprietors' income",4736200,4291158,4349166,3778277,4783027,6667609,8485200,7541609,5996673,8892396,5743324,6223200,7413074,11387076,12059242,14050793,13996894,14799430
"98000","Far West","8","SA5N 1/","72","...","    Nonfarm proprietors' income",133113596,143726156,154526029,166157590,176317812,177208730,184168914,185312624,195205136,176944439,171181564,163800581,167038297,176000543,205086026,209339778,220582324,233386449
"98000","Far West","8","SA5N 1/","81","111-112","  Farm earnings",11137812,11660145,11822604,11209437,11806126,13789951,16110156,15823579,14044526,16812282,14428637,15417923,16241195,19087694,21213276,24069418,24052361,25208452
"98000","Far West","8","SA5N 1/","82","...","  Nonfarm earnings",998015531,1082656335,1197942890,1235324558,1258735106,1307201294,1390720541,1458125808,1545774475,1601297103,1618226879,1545097967,1574474357,1648351967,1753257473,1810213405,1906399740,2022748169
"98000","Far West","8","SA5N 1/","90","113-814","    Private nonfarm earnings",828645274,902775039,1003422312,1024268000,1032548465,1066407208,1135756697,1192295996,1266811153,1303817592,1304858546,1226418065,1249072502,1316937578,1420992987,1473522175,1558199356,1659388035
"98000","Far West","8","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",6759136,6965287,7607046,"(D)",7622235,7811889,8410391,8401617,9425626,9498397,9401299,9154181,10189470,10392140,11829860,12222124,13066283,14760143
"98000","Far West","8","SA5N 1/","101","113","        Forestry and logging",1649753,1632616,1732316,1658388,"(D)","(D)",1587687,"(D)","(D)","(D)","(D)","(D)",1367803,1386791,"(D)","(D)","(D)","(NA)"
