"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"93000","Great Lakes","3","SA5N 1/","10","...","Personal income (thousands of dollars)",1230225025,1280250944,1363016535,1399057423,1417345283,1453514202,1516177994,1567448389,1653854148,1723628265,1779416567,1713481249,1752729056,1856543819,1932394373,1955680386,2022590080,2097044115
"93000","Great Lakes","3","SA5N 1/","20","...","Population (persons) 2/",44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46436241,46504563,46571965,46674416,46739039,46792968
"93000","Great Lakes","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27505,28469,30145,30815,31116,31800,33072,34113,35897,37318,38453,36964,37745,39922,41493,41900,43274,44815
"93000","Great Lakes","3","SA5N 1/","35","...","  Earnings by place of work",938372967,991152838,1050667160,1075292891,1094275403,1124384997,1176321961,1208164370,1258479864,1288859848,1305787260,1239169298,1262606126,1327871710,1379832655,1417725870,1465853482,1515337614
"93000","Great Lakes","3","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",104858104,110200040,114562258,116267169,117881304,121238091,127508467,132694871,138389302,142461786,145209745,138999156,141100079,132151909,137272373,157884557,164370756,169920928
"93000","Great Lakes","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",52543735,55485800,57926227,58987173,60376644,61591452,64224429,66881324,70420533,73149580,74961523,72004072,73044193,60114515,62018526,82058334,86290547,89325352
"93000","Great Lakes","3","SA5N 1/","38","...","    Employer contributions for government social insurance",52314369,54714240,56636031,57279996,57504660,59646639,63284038,65813547,67968769,69312206,70248222,66995084,68055886,72037394,75253847,75826223,78080209,80595577
"93000","Great Lakes","3","SA5N 1/","42","...","  plus: Adjustment for residence 5/",3024564,3453256,3794669,4008059,2105583,1264644,2413200,2234627,3709121,5807260,6388616,5689283,5668223,5731262,6190828,6237560,6588575,6846590
"93000","Great Lakes","3","SA5N 1/","45","...","  equals: Net earnings by place of residence",836539427,884406054,939899571,963033781,978499682,1004411550,1051226694,1077704126,1123799683,1152205322,1166966131,1105859425,1127174270,1201451063,1248751110,1266078873,1308071301,1352263276
"93000","Great Lakes","3","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",238146213,234185586,251887485,248094094,239252459,240723711,247779555,256251778,284502145,305984217,313424557,274974773,269585228,301875454,330055990,327474152,339418874,353368422
"93000","Great Lakes","3","SA5N 1/","47","...","  plus: Personal current transfer receipts",155539385,161659304,171229479,187929548,199593142,208378941,217171745,233492485,245552320,265438726,299025879,332647051,355969558,353217302,353587273,362127361,375099905,391412417
"93000","Great Lakes","3","SA5N 1/","50","...","  Wages and salaries",703086091,742124523,782688148,791356051,798649033,815205134,847365841,872337369,906517166,939294422,949484540,894538281,909557082,949850030,989787305,1011775801,1055156486,1098645630
"93000","Great Lakes","3","SA5N 1/","60","...","  Supplements to wages and salaries",154613548,162983200,174010934,182044046,188795903,198164476,209648411,219808059,227790101,232990410,235979385,230133826,232794218,240849685,247333124,251047525,255588496,262905975
"93000","Great Lakes","3","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",102299179,108268960,117374903,124764050,131291243,138517837,146364373,153994512,159821332,163678204,165731163,163138742,164738332,168812291,172079277,175221302,177508287,182310399
"93000","Great Lakes","3","SA5N 1/","62","...","    Employer contributions for government social insurance",52314369,54714240,56636031,57279996,57504660,59646639,63284038,65813547,67968769,69312206,70248222,66995084,68055886,72037394,75253847,75826223,78080209,80595577
"93000","Great Lakes","3","SA5N 1/","70","...","  Proprietors' income 8/",80673328,86045115,93968078,101892794,106830467,111015387,119307709,116018942,124172597,116575016,120323335,114497191,120254826,137171995,142712226,154902544,155108500,153786009
"93000","Great Lakes","3","SA5N 1/","71","...","    Farm proprietors' income",3346523,2440839,3123790,3332649,1440100,3893473,7506915,4417963,4097863,5832763,8437660,4720323,6259319,14116768,8530637,19275934,11906614,3773188
"93000","Great Lakes","3","SA5N 1/","72","...","    Nonfarm proprietors' income",77326805,83604276,90844288,98560145,105390367,107121914,111800794,111600979,120074734,110742253,111885675,109776868,113995507,123055227,134181589,135626610,143201886,150012821
"93000","Great Lakes","3","SA5N 1/","81","111-112","  Farm earnings",5584646,4564946,5401826,5654985,3751660,6277150,10208103,6862707,6461771,9030368,11442311,7658505,8833334,16941775,11904048,22557459,15609651,7599733
