"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"15000","Hawaii","8","SA5N 1/","10","...","Personal income (thousands of dollars)",32276378,33252800,35107972,36346822,38046865,39848922,43084829,46110790,49616959,52658521,55477851,55340365,56732435,59179393,61983952,62437294,65347949,68373394
"15000","Hawaii","8","SA5N 1/","20","...","Population (persons) 2/",1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561,1431806
"15000","Hawaii","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",26560,27475,28931,29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034,47753
"15000","Hawaii","8","SA5N 1/","35","...","  Earnings by place of work",23986091,24726119,26130858,27242187,28981469,30867895,33159850,35388335,37538929,39113806,40168500,39600173,40371088,42163800,44201614,45085927,46743776,48919964
"15000","Hawaii","8","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",2671330,2740108,2889203,3047811,3256583,3503497,3679716,3948368,4248387,4440602,4529566,4473557,4716524,4496928,4645613,5408826,5424361,5578653
"15000","Hawaii","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",1343937,1386782,1458778,1541650,1638212,1732187,1857545,1994552,2144631,2278783,2353173,2314984,2337248,1913901,1965315,2580523,2713677,2826688
"15000","Hawaii","8","SA5N 1/","38","...","    Employer contributions for government social insurance",1327393,1353326,1430425,1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2379276,2583027,2680298,2828303,2710684,2751965
"15000","Hawaii","8","SA5N 1/","42","...","  plus: Adjustment for residence 5/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15000","Hawaii","8","SA5N 1/","45","...","  equals: Net earnings by place of residence",21314761,21986011,23241655,24194376,25724886,27364398,29480134,31439967,33290542,34673204,35638934,35126616,35654564,37666872,39556001,39677101,41319415,43341311
"15000","Hawaii","8","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",7195366,7344607,7736148,7702312,7517078,7521733,8313242,8968669,10313587,11384917,12145711,11953920,11819019,11873522,12916294,12921120,13561604,14095693
"15000","Hawaii","8","SA5N 1/","47","...","  plus: Personal current transfer receipts",3766251,3922182,4130169,4450134,4804901,4962791,5291453,5702154,6012830,6600400,7693206,8259829,9258852,9638999,9511657,9839073,10466930,10936390
"15000","Hawaii","8","SA5N 1/","50","...","  Wages and salaries",17621036,18185436,19173030,19831092,20873712,22012166,23663967,25181893,26866956,28382601,29184559,28530057,28625913,29489238,30684867,31515009,32856301,34398943
"15000","Hawaii","8","SA5N 1/","60","...","  Supplements to wages and salaries",4120310,4238715,4500782,4803998,5286517,5948354,6357591,6876945,7028136,7405996,7687143,7607123,8167366,8935017,9115941,9388349,9493856,9790077
"15000","Hawaii","8","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",2792917,2885389,3070357,3297837,3668146,4177044,4535420,4923129,4924380,5244177,5510750,5448550,5788090,6351990,6435643,6560046,6783172,7038112
"15000","Hawaii","8","SA5N 1/","62","...","    Employer contributions for government social insurance",1327393,1353326,1430425,1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2379276,2583027,2680298,2828303,2710684,2751965
"15000","Hawaii","8","SA5N 1/","70","...","  Proprietors' income 8/",2244745,2301968,2457046,2607097,2821240,2907375,3138292,3329497,3643837,3325209,3296798,3462993,3577809,3739545,4400806,4182569,4393619,4730945
"15000","Hawaii","8","SA5N 1/","71","...","    Farm proprietors' income",38283,43843,40387,39138,49891,51775,43780,64496,68269,52113,-25111,-14294,-23220,-18671,-37463,-15959,-8212,27181
"15000","Hawaii","8","SA5N 1/","72","...","    Nonfarm proprietors' income",2206462,2258125,2416659,2567959,2771349,2855600,3094512,3265001,3575568,3273096,3321909,3477287,3601029,3758216,4438269,4198528,4401831,4703764
"15000","Hawaii","8","SA5N 1/","81","111-112","  Farm earnings",218855,246231,241591,236703,250346,250625,251266,261747,259531,248471,183873,192292,174665,170361,244167,269293,298496,344122
"15000","Hawaii","8","SA5N 1/","82","...","  Nonfarm earnings",23767236,24479888,25889267,27005484,28731123,30617270,32908584,35126588,37279398,38865335,39984627,39407881,40196423,41993439,43957447,44816634,46445280,48575842
"15000","Hawaii","8","SA5N 1/","90","113-814","    Private nonfarm earnings",16942109,17312104,18500525,19261531,20217733,21397575,23028917,24583442,26088701,27030667,27443354,26400154,26759164,27986286,29712091,30682222,31817897,33580731
"15000","Hawaii","8","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",53621,55786,59811,50665,50378,50439,50687,49231,54247,47500,47217,48667,53704,56576,64272,66052,70938,80651
"15000","Hawaii","8","SA5N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)",1069,"(D)","(D)",1407,1676,1879,2083,2631,3040,2336,2374,2126,2719,"(NA)"
"15000","Hawaii","8","SA5N 1/","102","114","        Fishing, hunting and trapping",20019,21435,24046,"(D)",17453,"(D)","(D)",14918,15511,14445,14328,13375,16832,15720,18966,19657,19610,"(NA)"
"15000","Hawaii","8","SA5N 1/","103","115","        Support activities for agriculture and forestry",31945,32853,34212,29642,31856,33318,32809,32906,37060,31176,30806,32661,33832,38520,42932,44269,48609,"(NA)"
"15000","Hawaii","8","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",16818,16357,17972,18674,18294,23116,29588,34742,36976,35978,44151,35786,35404,39360,38158,35259,36787,41428
"15000","Hawaii","8","SA5N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",819,803,1100,2289,4254,6443,5134,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","202","212","        Mining (except oil and gas)",16367,15944,17394,17855,17490,"(D)","(D)","(D)","(D)","(D)",33097,32014,30993,33181,31609,28302,29391,"(NA)"
"15000","Hawaii","8","SA5N 1/","203","213","        Support activities for mining","(T)",0,"(T)",0,"(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","300","22","      Utilities",202382,207338,213423,245354,253515,262242,278211,287410,320296,331768,376124,384797,416273,474435,484447,542173,569645,607527
"15000","Hawaii","8","SA5N 1/","400","23","      Construction",1492740,1538726,1741471,1798991,1978351,2230627,2460701,2961500,3265989,3464693,3433292,3036001,2887280,2919643,3055952,3181773,3372643,3843614
"15000","Hawaii","8","SA5N 1/","401","236","        Construction of buildings",427622,453111,535015,577926,652401,748957,826103,959651,1073505,1124204,1087814,979536,908040,913885,941111,962608,1013491,"(NA)"
"15000","Hawaii","8","SA5N 1/","402","237","        Heavy and civil engineering construction",233633,242211,281166,282170,311087,324824,335972,429779,478942,503966,504489,445207,442020,441529,421388,422073,456091,"(NA)"
"15000","Hawaii","8","SA5N 1/","403","238","        Specialty trade contractors",831485,843404,925290,938895,1014863,1156846,1298626,1572070,1713542,1836523,1840989,1611258,1537220,1564229,1693453,1797092,1903061,"(NA)"
"15000","Hawaii","8","SA5N 1/","500","31-33","      Manufacturing",558258,581660,622100,667858,642517,659832,709740,739401,773003,808340,835635,754602,722431,776206,798499,819318,858502,887709
"15000","Hawaii","8","SA5N 1/","510","321,327-339","        Durable goods manufacturing",176508,181460,204423,"(D)","(D)","(D)",245388,263938,279348,297372,317691,276846,252640,277872,254699,259072,265672,278209
"15000","Hawaii","8","SA5N 1/","511","321","          Wood product manufacturing","(T)",12522,13171,"(D)","(D)","(D)","(D)",15756,18122,"(D)","(D)","(D)",12310,10990,10681,12140,"(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",56070,56619,57558,61151,68322,71169,80504,87870,95793,97322,101976,67047,55938,61131,60814,70676,76725,"(NA)"
"15000","Hawaii","8","SA5N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",-105,117,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","514","332","          Fabricated metal product manufacturing",18813,15378,19545,18750,20190,23397,25063,27610,26793,27279,27242,"(D)",21737,21667,22657,23491,22932,"(NA)"
"15000","Hawaii","8","SA5N 1/","515","333","          Machinery manufacturing","(T)","(T)","(T)",2433,2377,2068,2027,2320,2613,2633,2917,3813,4338,4267,"(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","516","334","          Computer and electronic product manufacturing",10334,11714,16174,31178,"(D)","(D)","(D)",4856,4541,4733,9876,12937,11149,11199,11839,15250,17873,"(NA)"
"15000","Hawaii","8","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1847,3388,3106,"(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)",1942,1390,"(D)","(D)","(D)","(D)","(D)",466,570,"(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",15991,17082,21938,"(D)","(D)","(D)","(D)",32040,33753,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","521","337","          Furniture and related product manufacturing",21964,22605,28666,27870,27270,29341,34241,30137,31812,32974,34538,26388,23213,23285,21600,22211,22096,"(NA)"
"15000","Hawaii","8","SA5N 1/","522","339","          Miscellaneous manufacturing",37132,39539,40605,44288,44425,48920,49956,58694,60701,59092,57865,52894,53536,53643,54209,46562,46576,"(NA)"
"15000","Hawaii","8","SA5N 1/","530","311-316,322-326","        Nondurable goods manufacturing",381750,400200,417677,"(D)","(D)","(D)",464352,475463,493655,510968,517944,477756,469791,498334,543800,560246,592830,609500
"15000","Hawaii","8","SA5N 1/","531","311","          Food manufacturing",200304,206094,211217,205385,203753,211064,223004,226920,229721,234060,231819,220837,221007,223189,246074,261749,283583,"(NA)"
"15000","Hawaii","8","SA5N 1/","532","312","          Beverage and tobacco product manufacturing",31487,37141,33789,38135,36644,37851,40151,46060,50582,56146,57045,57449,58655,57667,60642,61570,65243,"(NA)"
"15000","Hawaii","8","SA5N 1/","533","313","          Textile mills","(T)","(T)","(T)",1168,"(D)",1311,1957,1922,1587,1875,1949,"(D)",1507,"(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","SA5N 1/","534","314","          Textile product mills","(T)","(T)","(T)",2650,2667,4710,4429,6579,7336,9350,8959,7870,7038,7218,8279,8111,8753,"(NA)"
"15000","Hawaii","8","SA5N 1/","535","315","          Apparel manufacturing",34595,33472,39418,42452,34330,33741,33579,25005,22727,20456,19045,14949,14316,17631,19821,21454,21766,"(NA)"
