"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"16000","Idaho","7","SA5N 1/","10","...","Personal income (thousands of dollars)",28408448,30266547,32821096,34418598,35419162,36853305,40102203,42583264,46916238,49596069,50408844,48796892,50339512,53126911,55599208,57483763,60040758,62082853
"16000","Idaho","7","SA5N 1/","20","...","Population (persons) 2/",1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570639,1583780,1595590,1612843,1634464,1655167
"16000","Idaho","7","SA5N 1/","30","...","Per capita personal income (dollars) 3/",22684,23726,25258,26075,26425,27031,28813,29815,31945,32952,32854,31392,32050,33544,34846,35641,36734,37509
"16000","Idaho","7","SA5N 1/","35","...","  Earnings by place of work",20780380,22465976,24579013,25474353,26260562,26997757,29390730,31108889,34181763,35671964,35230936,33854393,34781620,35726537,36642359,38581972,40297349,41347385
"16000","Idaho","7","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",2483455,2616310,2847621,2893822,2978310,3100136,3309297,3588069,3998339,4189677,4211008,4122259,4328918,3970258,4081134,4692891,4845871,5014320
"16000","Idaho","7","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",1181938,1260531,1371459,1402679,1451995,1510425,1624926,1766989,1972322,2090047,2130996,2075664,2092871,1712411,1770085,2342381,2486778,2587973
"16000","Idaho","7","SA5N 1/","38","...","    Employer contributions for government social insurance",1301517,1355779,1476162,1491143,1526315,1589711,1684371,1821080,2026017,2099630,2080012,2046595,2236047,2257847,2311049,2350510,2359093,2426348
"16000","Idaho","7","SA5N 1/","42","...","  plus: Adjustment for residence 5/",446988,511747,525886,553901,507722,492578,492742,503563,520736,589542,531220,606139,651437,755269,919921,884637,951884,1002823
"16000","Idaho","7","SA5N 1/","45","...","  equals: Net earnings by place of residence",18743913,20361413,22257278,23134432,23789974,24390199,26574175,28024383,30704160,32071829,31551148,30338273,31104139,32511548,33481146,34773718,36403362,37335888
"16000","Idaho","7","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",6066084,6082002,6419141,6649276,6610020,7126700,7811811,8384301,9507129,10246543,10380394,9140549,8994669,10317910,11677008,11928169,12428569,12975154
"16000","Idaho","7","SA5N 1/","47","...","  plus: Personal current transfer receipts",3598451,3823132,4144677,4634890,5019168,5336406,5716217,6174580,6704949,7277697,8477302,9318070,10240704,10297453,10441054,10781876,11208827,11771811
"16000","Idaho","7","SA5N 1/","50","...","  Wages and salaries",14010223,15090399,16650453,16997504,17448657,17990895,19246327,20655363,22715701,24012576,23954785,22820540,22973575,23495046,24162542,25274323,26704002,27943723
"16000","Idaho","7","SA5N 1/","60","...","  Supplements to wages and salaries",3322043,3517876,3882274,4034248,4225236,4487235,4862963,5259435,5852030,6123901,6187848,6017206,6220262,6114183,6231938,6553858,6439251,6577890
"16000","Idaho","7","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",2020526,2162097,2406112,2543105,2698921,2897524,3178592,3438355,3826013,4024271,4107836,3970611,3984215,3856336,3920889,4203348,4080158,4151542
"16000","Idaho","7","SA5N 1/","62","...","    Employer contributions for government social insurance",1301517,1355779,1476162,1491143,1526315,1589711,1684371,1821080,2026017,2099630,2080012,2046595,2236047,2257847,2311049,2350510,2359093,2426348
"16000","Idaho","7","SA5N 1/","70","...","  Proprietors' income 8/",3448114,3857701,4046286,4442601,4586669,4519627,5281440,5194091,5614032,5535487,5088303,5016647,5587783,6117308,6247879,6753791,7154096,6825773
"16000","Idaho","7","SA5N 1/","71","...","    Farm proprietors' income",605116,650277,616812,719089,642554,450455,907778,667184,550848,948751,1150613,448634,928888,1553031,1469453,1698033,1761180,1122685
"16000","Idaho","7","SA5N 1/","72","...","    Nonfarm proprietors' income",2842998,3207424,3429474,3723512,3944115,4069172,4373662,4526907,5063184,4586736,3937690,4568013,4658895,4564277,4778426,5055758,5392916,5703088
"16000","Idaho","7","SA5N 1/","81","111-112","  Farm earnings",957855,1007358,1014745,1126424,1100870,870315,1374653,1202029,1085571,1591064,1768795,1125822,1528413,2145772,2146805,2460510,2588278,1978691
