"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"25000","Massachusetts","1","SA5N 1/","10","...","Personal income (thousands of dollars)",206185208,219738537,244509478,254460336,255030054,261679425,273639368,285564234,307299784,322243521,334717288,327809225,338985407,359224281,377728405,379381409,396205941,414723656
"25000","Massachusetts","1","SA5N 1/","20","...","Population (persons) 2/",6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564073,6612270,6655829,6708874,6745408,6795177
"25000","Massachusetts","1","SA5N 1/","30","...","Per capita personal income (dollars) 3/",32875,34783,38438,39774,39742,40744,42674,44596,47940,50103,51742,50296,51643,54327,56752,56549,58737,61032
"25000","Massachusetts","1","SA5N 1/","35","...","  Earnings by place of work",160619000,174931687,196093282,202548385,201778527,205005854,217322157,223390153,235354002,246969528,253516795,247809030,257459351,269233098,281101191,287705089,301712100,316839001
"25000","Massachusetts","1","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",17059665,18308020,20252599,20769058,20727978,20942509,22730342,23793659,24647933,25854574,26700198,26325831,26802138,24983183,25816263,30099306,31679936,33059858
"25000","Massachusetts","1","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",8654267,9336163,10310956,10555035,10630982,10773136,11344536,11906933,12467130,13198582,13673318,13443134,13676524,11224222,11589904,15531575,16471945,17205179
"25000","Massachusetts","1","SA5N 1/","38","...","    Employer contributions for government social insurance",8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13125614,13758961,14226359,14567731,15207991,15854679
"25000","Massachusetts","1","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-3607017,-4191426,-5057576,-5089239,-4472651,-3877598,-5131483,-5138617,-5225404,-6053943,-5971698,-5418770,-5676006,-6305122,-6898410,-6770524,-6921603,-7424086
"25000","Massachusetts","1","SA5N 1/","45","...","  equals: Net earnings by place of residence",139952318,152432241,170783107,176690088,176577898,180185747,189460332,194457877,205480665,215061011,220844899,216064429,224981207,237944793,248386518,250835259,263110561,276355057
"25000","Massachusetts","1","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",40681011,40848468,45842157,47284728,45381618,46544419,47811900,52029950,60917574,64560246,65144977,58380309,57832803,64806087,72436724,71196676,74156061,77253344
"25000","Massachusetts","1","SA5N 1/","47","...","  plus: Personal current transfer receipts",25551879,26457828,27884214,30485520,33070538,34949259,36367136,39076407,40901545,42622264,48727412,53364487,56171397,56473401,56905163,57349474,58939319,61115255
"25000","Massachusetts","1","SA5N 1/","50","...","  Wages and salaries",121961433,132671526,149369747,151752080,148728167,150545491,158688618,163386967,172745510,184157030,189735975,181891252,187544777,195827015,203782010,209891041,221842674,233424075
"25000","Massachusetts","1","SA5N 1/","60","...","  Supplements to wages and salaries",23851717,25644914,28561102,29918150,30475813,31472917,34511016,36249943,37553134,39783770,41257059,40667807,43080411,45704080,47314481,47456491,47864804,49436885
"25000","Massachusetts","1","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",15446319,16673057,18619459,19704127,20378817,21303544,23125210,24363217,25372331,27127778,28230179,27785110,29954797,31945119,33088122,32888760,32656813,33582206
"25000","Massachusetts","1","SA5N 1/","62","...","    Employer contributions for government social insurance",8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13125614,13758961,14226359,14567731,15207991,15854679
"25000","Massachusetts","1","SA5N 1/","70","...","  Proprietors' income 8/",14805850,16615247,18162433,20878155,22574547,22987446,24122523,23753243,25055358,23028728,22523761,25249971,26834163,27702003,30004700,30357557,32004622,33978041
"25000","Massachusetts","1","SA5N 1/","71","...","    Farm proprietors' income",4938,14613,23751,-1386,-5275,7187,24984,26432,18164,-1891,31902,1884,14620,35200,28278,33185,-10448,938
"25000","Massachusetts","1","SA5N 1/","72","...","    Nonfarm proprietors' income",14800912,16600634,18138682,20879541,22579822,22980259,24097539,23726811,25037194,23030619,22491859,25248087,26819543,27666803,29976422,30324372,32015070,33977103
"25000","Massachusetts","1","SA5N 1/","81","111-112","  Farm earnings",108310,108796,131619,110012,131214,130997,146310,125354,130425,130862,160286,124193,130579,135851,192670,202031,177836,195408
"25000","Massachusetts","1","SA5N 1/","82","...","  Nonfarm earnings",160510690,174822891,195961663,202438373,201647313,204874857,217175847,223264799,235223577,246838666,253356509,247684837,257328772,269097247,280908521,287503058,301534264,316643593
"25000","Massachusetts","1","SA5N 1/","90","113-814","    Private nonfarm earnings",140517056,153555777,173618912,178627799,176929899,179208971,190132605,195121881,205458854,215654732,220863457,214387354,223104318,234112053,244575279,250238576,262842851,277113233
"25000","Massachusetts","1","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",188430,212696,245492,280135,298001,315335,367085,397897,404301,397280,377389,384229,438961,374041,395367,353506,353577,384129
"25000","Massachusetts","1","SA5N 1/","101","113","        Forestry and logging",19064,18013,20632,21787,24549,28637,37340,41922,49970,37138,30912,26263,31365,24277,23944,22693,25100,"(NA)"
"25000","Massachusetts","1","SA5N 1/","102","114","        Fishing, hunting and trapping",101383,121846,143631,177053,184295,188016,219246,242594,234019,225763,203136,218910,265122,290121,306625,268134,259348,"(NA)"
"25000","Massachusetts","1","SA5N 1/","103","115","        Support activities for agriculture and forestry",67983,72837,81229,81295,89157,98682,110499,113381,120312,134379,143341,139056,142474,59643,64798,62679,69129,"(NA)"
"25000","Massachusetts","1","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",150783,155294,206704,269988,249166,228862,213049,223862,219380,160307,198916,121162,136614,181580,205889,248944,269873,273649
"25000","Massachusetts","1","SA5N 1/","201","211","        Oil and gas extraction",76242,78466,127766,182737,157443,124032,94575,104225,"(D)","(D)","(D)","(D)","(D)",95218,130562,176037,189483,"(NA)"
"25000","Massachusetts","1","SA5N 1/","202","212","        Mining (except oil and gas)",73439,76112,77375,"(D)","(D)",99731,110603,112676,"(D)",102278,84245,79683,72262,71974,62585,56889,62500,"(NA)"
