"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"24000","Maryland","2","SA5N 1/","10","...","Personal income (thousands of dollars)",162850990,172886223,187715923,197891287,205228840,214373874,229818315,242154652,258320825,269713692,280305819,279294476,287571318,302712263,312724325,312053581,323778035,337174077
"24000","Maryland","2","SA5N 1/","20","...","Population (persons) 2/",5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737,5976407,6007289
"24000","Maryland","2","SA5N 1/","30","...","Per capita personal income (dollars) 3/",31291,32902,35345,36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176,56127
"24000","Maryland","2","SA5N 1/","35","...","  Earnings by place of work",109180092,116889005,126473996,134241361,140929027,148008338,159078259,167746673,177544085,183622222,189507919,189592626,194883721,203317526,209268514,211125038,218825355,227762451
"24000","Maryland","2","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",11983714,12726043,13595932,14645922,15326367,16030056,17255501,18182996,19378295,20234284,21006892,20983371,21882956,20338498,20911720,23719989,24340668,25086615
"24000","Maryland","2","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6121837,6544099,6971334,7518088,7887449,8230557,8717670,9269249,9908183,10439832,10863359,10877710,11069074,8964174,9167507,12148137,12676157,13102733
"24000","Maryland","2","SA5N 1/","38","...","    Employer contributions for government social insurance",5861877,6181944,6624598,7127834,7438918,7799499,8537831,8913747,9470112,9794452,10143533,10105661,10813882,11374324,11744213,11571852,11664511,11983883
"24000","Maryland","2","SA5N 1/","42","...","  plus: Adjustment for residence 5/",15660342,16738756,18980745,20015930,20017689,20190434,21182767,21627949,22325323,22793496,22110419,23380762,24000147,23687596,23345665,23459538,23021640,24235599
"24000","Maryland","2","SA5N 1/","45","...","  equals: Net earnings by place of residence",112856720,120901718,131858809,139611369,145620349,152168716,163005525,171191626,180491113,186181434,190611446,191990017,197000912,206666624,211702459,210864587,217506327,226911434
"24000","Maryland","2","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",33706530,34722251,37611158,38380976,38261548,39278593,42805790,45017867,50755644,54220805,56270578,51307378,51399505,55675254,60180483,58959822,61472923,63737462
