"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"26000","Michigan","3","SA5N 1/","10","...","Personal income (thousands of dollars)",268247024,281153326,298801316,302178614,303808936,311876449,322743895,330823096,339674220,348597975,356375474,338229671,347645746,368789981,382064571,387978294,403726369,421043532
"26000","Michigan","3","SA5N 1/","20","...","Population (persons) 2/",9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876498,9875736,9884781,9898193,9909877,9923895
"26000","Michigan","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27239,28408,30023,30245,30333,31060,32097,32914,33845,34855,35828,34159,35199,37343,38652,39197,40740,42427
"26000","Michigan","3","SA5N 1/","35","...","  Earnings by place of work",206843846,219205850,233205965,233778475,235888667,240683907,248103295,252934932,256121995,256629355,254377568,235391113,240692657,252207974,262284207,269749432,281050903,291996384
"26000","Michigan","3","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",24261433,25631302,26849431,26634050,26929175,27315035,28254484,29144093,29868595,30229735,30279414,28301474,28694106,26710664,27807858,32299764,33554996,34706432
"26000","Michigan","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",11990646,12752914,13336626,13380836,13666645,13824809,14286173,14799780,15266597,15541106,15677525,14784322,15016396,12367871,12809613,16942358,17838838,18502594
"26000","Michigan","3","SA5N 1/","38","...","    Employer contributions for government social insurance",12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13677710,14342793,14998245,15357406,15716158,16203838
"26000","Michigan","3","SA5N 1/","42","...","  plus: Adjustment for residence 5/",993502,1081193,1098968,1191367,1009334,647946,1127478,1067905,1445890,1666235,1752083,1509305,1580798,1731590,1903575,1907992,2086503,2160394
"26000","Michigan","3","SA5N 1/","45","...","  equals: Net earnings by place of residence",183575915,194655741,207455502,208335792,209968826,214016818,220976289,224858744,227699290,228065855,225850237,208598944,213579349,227228900,236379924,239357660,249582410,259450346
"26000","Michigan","3","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",49424493,48726042,52302601,50364407,48799307,50561183,52448224,53512901,55952031,59304062,60766527,52171910,51392571,58967411,63433752,64901684,67244642,70066031
"26000","Michigan","3","SA5N 1/","47","...","  plus: Personal current transfer receipts",35246616,37771543,39043213,43478415,45040803,47298448,49319382,52451451,56022899,61228058,69758710,77458817,82673826,82593670,82250895,83718950,86899317,91527155
"26000","Michigan","3","SA5N 1/","50","...","  Wages and salaries",156280307,165325888,174162418,171959344,172329724,175567690,179133746,182334908,183863921,186761034,185408259,170084980,172826424,182145241,189698282,194964782,204476033,213499172
"26000","Michigan","3","SA5N 1/","60","...","  Supplements to wages and salaries",35202155,37207464,40797244,41868946,42372309,43612327,46206867,47866849,48124494,48046593,47481561,45456507,46103111,46493468,46912491,47114352,48244650,49738832
"26000","Michigan","3","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",22931368,24329076,27284439,28615732,29109779,30122101,32238556,33522536,33522496,33357964,32879672,31939355,32425401,32150675,31914246,31756946,32528492,33534994
"26000","Michigan","3","SA5N 1/","62","...","    Employer contributions for government social insurance",12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13677710,14342793,14998245,15357406,15716158,16203838
"26000","Michigan","3","SA5N 1/","70","...","  Proprietors' income 8/",15361384,16672498,18246303,19950185,21186634,21503890,22762682,22733175,24133580,21821728,21487748,19849626,21763122,23569265,25673434,27670298,28330220,28758380
"26000","Michigan","3","SA5N 1/","71","...","    Farm proprietors' income",59467,290280,-6907,-29047,-27393,184857,554744,517166,601828,420952,822493,385342,952008,2208621,846024,1627780,905300,132252
"26000","Michigan","3","SA5N 1/","72","...","    Nonfarm proprietors' income",15301917,16382218,18253210,19979232,21214027,21319033,22207938,22216009,23531752,21400776,20665255,19464284,20811114,21360644,24827410,26042518,27424920,28626128
"26000","Michigan","3","SA5N 1/","81","111-112","  Farm earnings",630723,824180,610160,564117,600929,708292,1146043,1054461,1138210,1205413,1479997,1061029,1490437,2884013,1713021,2455519,1922783,1180138
"26000","Michigan","3","SA5N 1/","82","...","  Nonfarm earnings",206213123,218381670,232595805,233214358,235287738,239975615,246957252,251880471,254983785,255423942,252897571,234330084,239202220,249323961,260571186,267293913,279128120,290816246
"26000","Michigan","3","SA5N 1/","90","113-814","    Private nonfarm earnings",178548696,188910304,201195150,200141158,200792347,204101094,209738926,213340494,215856229,215557127,211895189,192859667,196659500,208026707,219769520,226066375,237258851,248686533
"26000","Michigan","3","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",274086,269404,297490,295135,271450,276727,320883,316794,340070,324439,318610,336929,400650,396044,449505,444519,501116,566389
"26000","Michigan","3","SA5N 1/","101","113","        Forestry and logging",120127,113882,125467,125077,119964,123135,140641,140257,148365,135398,126476,122007,149478,140630,161016,157944,171324,"(NA)"
"26000","Michigan","3","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)",10397,11937,12256,11901,10440,11426,10962,12156,11661,10503,10824,12417,11371,12484,12756,13428,"(NA)"
"26000","Michigan","3","SA5N 1/","103","115","        Support activities for agriculture and forestry",144463,145125,160086,157802,139585,143152,168816,165575,179549,177380,181631,204098,238755,244043,276005,273819,316364,"(NA)"
"26000","Michigan","3","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",539503,535031,711865,876843,804719,752941,702343,824290,938086,787786,1185313,651891,874511,1054301,1071466,1050329,1125676,1060542
"26000","Michigan","3","SA5N 1/","201","211","        Oil and gas extraction",159700,151810,315082,474480,454709,395493,317346,413519,492413,345197,702127,258503,421558,554578,544234,515703,561086,"(NA)"
"26000","Michigan","3","SA5N 1/","202","212","        Mining (except oil and gas)",298815,311564,319451,319407,276981,283826,292916,313748,328238,315068,338893,279123,340164,368978,359585,355658,371751,"(NA)"
"26000","Michigan","3","SA5N 1/","203","213","        Support activities for mining",80988,71657,77332,82956,73029,73622,92081,97023,117435,127521,144293,114265,112789,130745,167647,178968,192839,"(NA)"
"26000","Michigan","3","SA5N 1/","300","22","      Utilities",1574756,1700236,1766814,2145127,2080159,2177907,2239196,2231776,2547156,2609316,2785994,2686075,2700251,2769019,2676926,2802180,3001566,3165524
"26000","Michigan","3","SA5N 1/","400","23","      Construction",11777893,13372074,14993237,14982275,15048909,14783152,15280406,15311768,14888763,13525688,12130886,10206512,10197754,10772780,11855877,12447591,13648142,14520218
"26000","Michigan","3","SA5N 1/","401","236","        Construction of buildings",3098709,3528167,4044139,4147477,4323035,4247106,4337477,4243350,4017902,3471162,2929794,2403239,2428987,2550438,2895049,3133910,3534869,"(NA)"
"26000","Michigan","3","SA5N 1/","402","237","        Heavy and civil engineering construction",1041205,1182269,1441850,1388602,1364728,1279623,1388142,1449451,1390501,1298822,1231954,1061120,1091114,1063966,1158737,1308249,1395496,"(NA)"
