"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"27000","Minnesota","4","SA5N 1/","10","...","Personal income (thousands of dollars)",139769415,147128527,159518259,166059053,170136981,178170811,187859607,193454353,204654240,216410177,226967578,216865991,226049182,241807177,254467614,257058116,267389243,277482539
"27000","Minnesota","4","SA5N 1/","20","...","Population (persons) 2/",4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310418,5348036,5380615,5422060,5457173,5490216
"27000","Minnesota","4","SA5N 1/","30","...","Per capita personal income (dollars) 3/",29037,30190,32332,33326,33899,35256,36924,37787,39634,41560,43256,41064,42567,45214,47293,47410,48998,50541
"27000","Minnesota","4","SA5N 1/","35","...","  Earnings by place of work",110569957,117771818,127789010,132628635,136105153,142012312,150376561,154895713,160285677,167728922,174220255,164352541,170510307,180629925,189024624,194144820,201540231,208762229
"27000","Minnesota","4","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",12711756,13569510,14524661,15034335,15408005,16096627,17007574,17748068,18559969,19328634,19931960,19269240,19537330,18320937,19048488,22383349,23183268,24082127
"27000","Minnesota","4","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6490396,6967065,7433201,7719236,7939265,8204324,8663716,9027867,9507555,9974989,10351473,10037454,10136245,8308511,8591393,11484053,12118515,12643510
"27000","Minnesota","4","SA5N 1/","38","...","    Employer contributions for government social insurance",6221360,6602445,7091460,7315099,7468740,7892303,8343858,8720201,9052414,9353645,9580487,9231786,9401085,10012426,10457095,10899296,11064753,11438617
"27000","Minnesota","4","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-848598,-952762,-1038379,-1131111,-1042537,-1023455,-1083819,-1210134,-900265,-1256135,-1459547,-1228458,-1201644,-1302280,-1177942,-1212554,-1228483,-1397636
"27000","Minnesota","4","SA5N 1/","45","...","  equals: Net earnings by place of residence",97009603,103249546,112225970,116463189,119654611,124892230,132285168,135937511,140825443,147144153,152828748,143854843,149771333,161006708,168798194,170548917,177128480,183282466
"27000","Minnesota","4","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",27553954,27891437,30164022,30374337,29612284,31385621,32566914,33406723,37270402,40201626,41150374,36815171,37251326,41423706,46237896,45705780,47507553,49447953
