"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29000","Missouri","4","SA5N 1/","10","...","Personal income (thousands of dollars)",141002097,146848802,157090658,162433481,165959167,172773178,181836913,188782927,201038598,211022590,221796452,216420305,219685657,228654880,240440942,243591814,252482438,260122599
"29000","Missouri","4","SA5N 1/","20","...","Population (persons) 2/",5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996085,6010544,6025281,6044917,6063589,6084455
"29000","Missouri","4","SA5N 1/","30","...","Per capita personal income (dollars) 3/",25536,26402,28015,28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639,42752
"29000","Missouri","4","SA5N 1/","35","...","  Earnings by place of work",107447594,113579898,121050885,124841890,128517380,133281335,140711027,145906919,153604159,158516795,165356252,160447125,160886714,164697970,170887240,176262426,182779966,187524604
"29000","Missouri","4","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",12009887,12636965,13300912,13688520,14018741,14448967,14984870,15741444,16727944,17506069,18264304,17734781,17704331,16310305,16744575,19463297,20122048,20791168
"29000","Missouri","4","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6237846,6579390,6906619,7120400,7325808,7521296,7841221,8221702,8786075,9237884,9616514,9374065,9408262,7715168,7884890,10380062,10798208,11165193
"29000","Missouri","4","SA5N 1/","38","...","    Employer contributions for government social insurance",5772041,6057575,6394293,6568120,6692933,6927671,7143649,7519742,7941869,8268185,8647790,8360716,8296069,8595137,8859685,9083235,9323840,9625975
"29000","Missouri","4","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-3556366,-3686530,-3970922,-3951143,-4568717,-4578628,-4451899,-4681231,-4684960,-4369197,-5795972,-5336248,-5156704,-4567620,-5137211,-4993478,-5086635,-5372259
"29000","Missouri","4","SA5N 1/","45","...","  equals: Net earnings by place of residence",91881341,97256403,103779051,107202227,109929922,114253740,121274258,125484244,132191255,136641529,141295976,137376096,138025679,143820045,149005454,151805651,157571283,161361178
"29000","Missouri","4","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",29183519,28717706,31013938,30636716,29783648,31104794,31638795,32352642,35930415,39212033,40962964,36188761,36054824,38360923,44394281,43774955,45677810,47596194
"29000","Missouri","4","SA5N 1/","47","...","  plus: Personal current transfer receipts",19937237,20874693,22297669,24594538,26245597,27414644,28923860,30946041,32916928,35169028,39537512,42855448,45605154,46473912,47041207,48011208,49233345,51165228
"29000","Missouri","4","SA5N 1/","50","...","  Wages and salaries",80026069,84349291,89504202,91859770,93506501,95754230,99438536,103902707,108850824,113849300,118961245,113779984,114025700,116652991,121476667,123931008,128795225,134198893
"29000","Missouri","4","SA5N 1/","60","...","  Supplements to wages and salaries",17004245,18335744,19593663,20290608,21630015,22927558,24388972,25711318,27175972,27919068,28747192,29008801,29375091,28761789,29591114,30950350,30919114,31636822
"29000","Missouri","4","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",11232204,12278169,13199370,13722488,14937082,15999887,17245323,18191576,19234103,19650883,20099402,20648085,21079022,20166652,20731429,21867115,21595274,22010848
"29000","Missouri","4","SA5N 1/","62","...","    Employer contributions for government social insurance",5772041,6057575,6394293,6568120,6692933,6927671,7143649,7519742,7941869,8268185,8647790,8360716,8296069,8595137,8859685,9083235,9323840,9625975
"29000","Missouri","4","SA5N 1/","70","...","  Proprietors' income 8/",10417280,10894863,11953020,12691512,13380864,14599547,16883519,16292894,17577363,16748427,17647815,17658340,17485923,19283190,19819459,21381068,23065627,21688889
"29000","Missouri","4","SA5N 1/","71","...","    Farm proprietors' income",266301,-19433,532787,560676,148780,788182,2040162,1148669,1050156,1051237,1744289,1354281,1009558,1902059,1077336,2714207,3375433,1045221
"29000","Missouri","4","SA5N 1/","72","...","    Nonfarm proprietors' income",10150979,10914296,11420233,12130836,13232084,13811365,14843357,15144225,16527207,15697190,15903526,16304059,16476365,17381131,18742123,18666861,19690194,20643668
"29000","Missouri","4","SA5N 1/","81","111-112","  Farm earnings",544891,240732,787726,836300,405736,1062833,2267334,1406220,1266767,1372412,2033268,1659466,1300706,2195256,1514562,3018700,3786857,1468940
"29000","Missouri","4","SA5N 1/","82","...","  Nonfarm earnings",106902703,113339166,120263159,124005590,128111644,132218502,138443693,144500699,152337392,157144383,163322984,158787659,159586008,162502714,169372678,173243726,178993109,186055663
"29000","Missouri","4","SA5N 1/","90","113-814","    Private nonfarm earnings",90789893,96038152,101862963,104734566,107838167,110743752,115835969,121005706,127723615,131321675,136170055,130494858,130946758,134055579,140978625,144657431,150103965,156765023
"29000","Missouri","4","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",219442,211596,255366,278716,280822,299562,291165,277431,301382,280972,289592,287864,347275,317141,373778,369181,394686,461065
"29000","Missouri","4","SA5N 1/","101","113","        Forestry and logging",49617,47640,51577,"(D)",49190,54746,59445,62038,68029,62069,58408,53518,76771,67265,80079,73490,79516,"(NA)"
"29000","Missouri","4","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",2614,2887,3132,3191,3777,3764,3623,3480,4939,4431,5569,5725,6310,"(NA)"
"29000","Missouri","4","SA5N 1/","103","115","        Support activities for agriculture and forestry",167982,161984,201233,225360,229018,241929,228588,212202,229576,215139,227561,230866,265565,245445,288130,289966,308860,"(NA)"
"29000","Missouri","4","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",345975,311558,323474,299882,306171,342718,426090,580979,461546,482645,527565,388209,392591,507229,483315,440165,450247,459529
"29000","Missouri","4","SA5N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",11251,10970,14769,17550,25930,34399,27836,63946,21696,34217,58979,65207,66750,71655,"(NA)"
"29000","Missouri","4","SA5N 1/","202","212","        Mining (except oil and gas)",330088,297567,305868,285858,289781,318318,390355,532760,395744,391666,379916,344286,341693,426320,393074,349690,354859,"(NA)"
"29000","Missouri","4","SA5N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",2773,5420,9631,18185,22289,31403,63143,83703,22227,16681,21930,25034,23725,23733,"(NA)"
"29000","Missouri","4","SA5N 1/","300","22","      Utilities",781103,807053,858213,1149324,1257802,1060883,1130586,1088015,1223508,1253518,1362005,1382332,1434630,1454928,1384490,1467235,1498363,1551801
"29000","Missouri","4","SA5N 1/","400","23","      Construction",6945989,7973404,8645263,9021324,9158434,9510802,10045273,10578315,11272701,11293893,10962777,9949480,9167330,9044019,9640387,9924205,10541441,11295293
"29000","Missouri","4","SA5N 1/","401","236","        Construction of buildings",1747304,2008671,2141448,2175564,2278273,2362521,2520442,2653057,2874398,2926975,2820975,2549162,2350065,2200693,2314831,2343383,2556494,"(NA)"
"29000","Missouri","4","SA5N 1/","402","237","        Heavy and civil engineering construction",866731,940002,1030648,1056115,998786,998203,1010723,1082710,1125960,1163154,1240702,1369271,1226466,1236028,1247901,1291875,1337730,"(NA)"
"29000","Missouri","4","SA5N 1/","403","238","        Specialty trade contractors",4331954,5024731,5473167,5789645,5881375,6150078,6514108,6842548,7272343,7203764,6901100,6031047,5590799,5607298,6077655,6288947,6647217,"(NA)"
"29000","Missouri","4","SA5N 1/","500","31-33","      Manufacturing",16784660,16940912,17600082,17270129,17210462,17299374,18115282,18486885,19045666,19123935,19702843,17451030,16692442,17228616,17975238,18495914,19405898,20054393
"29000","Missouri","4","SA5N 1/","510","321,327-339","        Durable goods manufacturing",10903451,10861911,11317652,10942785,10874718,10968553,11560030,11852352,12189000,12037453,11474570,10069545,9601799,9957062,10239509,10926677,11644156,12000424
"29000","Missouri","4","SA5N 1/","511","321","          Wood product manufacturing",303317,323843,326605,323711,320588,327411,348270,370258,400422,376118,352964,286410,294879,306939,327623,334937,360972,"(NA)"
"29000","Missouri","4","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",516250,541552,549152,488951,491225,494206,516323,547307,583663,563892,561635,455933,444729,453464,468118,417783,435615,"(NA)"
"29000","Missouri","4","SA5N 1/","513","331","          Primary metal manufacturing",569188,593805,596675,506838,484634,468593,500543,531855,560444,547765,537032,421939,397649,482081,511013,499072,500351,"(NA)"
"29000","Missouri","4","SA5N 1/","514","332","          Fabricated metal product manufacturing",1542257,1597813,1630525,1549480,1533168,1559573,1688188,1747584,1799226,1891826,1952115,1757011,1744034,1786691,1877907,1954508,1774072,"(NA)"
"29000","Missouri","4","SA5N 1/","515","333","          Machinery manufacturing",1501267,1523241,1669168,1579064,1564056,1525846,1507839,1615754,1745581,1758789,1769023,1592639,1576342,1607143,1659325,1657976,1680420,"(NA)"
"29000","Missouri","4","SA5N 1/","516","334","          Computer and electronic product manufacturing",591803,523863,546439,554891,514515,500719,497195,549686,556739,632560,530193,448545,395278,385230,464823,527495,858583,"(NA)"
"29000","Missouri","4","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",790973,839547,858894,842914,790232,790650,800969,822002,844528,862384,804058,713717,702264,772743,799068,805634,794243,"(NA)"
"29000","Missouri","4","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",2400759,2298499,2505310,2414980,2433184,2552844,2507982,2505978,2420421,2298031,1873110,1422406,"(D)","(D)","(D)","(D)","(D)","(NA)"
"29000","Missouri","4","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",1366559,1225281,1111693,1264340,1381940,1437791,1843479,1853162,1992573,1874699,1905472,1896131,"(D)","(D)","(D)","(D)","(D)","(NA)"
