"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"38000","North Dakota","4","SA5N 1/","10","...","Personal income (thousands of dollars)",15134099,15269856,16609159,16960441,17331641,18842774,19158764,20306050,21317995,23607161,26909746,26214054,28972608,32796406,38866125,39358192,41264895,41165870
"38000","North Dakota","4","SA5N 1/","20","...","Population (persons) 2/",647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674345,685242,701705,723857,739482,757059
"38000","North Dakota","4","SA5N 1/","30","...","Per capita personal income (dollars) 3/",23372,23701,25870,26540,27158,29496,29717,31429,32826,36162,40923,39422,42964,47861,55388,54373,55802,54376
"38000","North Dakota","4","SA5N 1/","35","...","  Earnings by place of work",11297244,11469306,12511310,12804792,13169273,14764584,15098364,16062492,16765180,18401319,20681044,20237065,22433076,25368805,30808576,31381864,33213541,32292480
"38000","North Dakota","4","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",1438458,1478326,1549617,1591339,1648574,1737801,1839797,1919226,2011778,2113049,2258722,2420406,2494198,2628047,2847588,3497290,3849645,3767603
"38000","North Dakota","4","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",675670,704478,732995,782989,804351,849686,902960,953019,1020873,1109806,1200857,1226929,1290425,1159504,1282537,1764421,1945723,1900272
"38000","North Dakota","4","SA5N 1/","38","...","    Employer contributions for government social insurance",762788,773848,816622,808350,844223,888115,936837,966207,990905,1003243,1057865,1193477,1203773,1468543,1565051,1732869,1903922,1867331
"38000","North Dakota","4","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-343740,-370171,-403622,-445150,-490119,-540585,-589840,-629932,-677018,-710205,-765489,-750957,-809696,-918429,-1047310,-1116256,-1223600,-1170075
"38000","North Dakota","4","SA5N 1/","45","...","  equals: Net earnings by place of residence",9515046,9620809,10558071,10768303,11030580,12486198,12668727,13513334,14076384,15578065,17656833,17065702,19129182,21822329,26913678,26768318,28140296,27354803
"38000","North Dakota","4","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",3409762,3344809,3578877,3629837,3612887,3589134,3564142,3649466,3947886,4478195,5230615,4947995,5296539,6315097,7243165,7729795,8069708,8475812
"38000","North Dakota","4","SA5N 1/","47","...","  plus: Personal current transfer receipts",2209291,2304238,2472211,2562301,2688174,2767442,2925895,3143250,3293725,3550901,4022298,4200357,4546887,4658980,4709282,4860079,5054891,5335254
"38000","North Dakota","4","SA5N 1/","50","...","  Wages and salaries",7635944,7968517,8359598,8782468,9111234,9560774,10268897,10791970,11510473,12346874,13389549,13635020,14761631,16997597,20195149,21703318,24022111,23677332
"38000","North Dakota","4","SA5N 1/","60","...","  Supplements to wages and salaries",1672512,1716982,1873742,2009443,2138524,2310849,2453400,2587229,2752578,2892060,3083823,3336330,3585119,3966550,4245820,4560587,4916278,4896599
"38000","North Dakota","4","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",909724,943134,1057120,1201093,1294301,1422734,1516563,1621022,1761673,1888817,2025958,2142853,2381346,2498007,2680769,2827718,3012356,3029268
"38000","North Dakota","4","SA5N 1/","62","...","    Employer contributions for government social insurance",762788,773848,816622,808350,844223,888115,936837,966207,990905,1003243,1057865,1193477,1203773,1468543,1565051,1732869,1903922,1867331
"38000","North Dakota","4","SA5N 1/","70","...","  Proprietors' income 8/",1988788,1783807,2277970,2012881,1919515,2892961,2376067,2683293,2502129,3162385,4207672,3265715,4086326,4404658,6367607,5117959,4275152,3718550
"38000","North Dakota","4","SA5N 1/","71","...","    Farm proprietors' income",834287,561775,956742,639231,454909,1377940,775074,1023131,577634,1391143,2374917,1484821,2093605,2067511,3523212,2029674,989862,318190
"38000","North Dakota","4","SA5N 1/","72","...","    Nonfarm proprietors' income",1154501,1222032,1321228,1373650,1464606,1515021,1600993,1660162,1924495,1771242,1832755,1780894,1992721,2337147,2844395,3088285,3285290,3400360
"38000","North Dakota","4","SA5N 1/","81","111-112","  Farm earnings",972245,691896,1100228,800799,603205,1495345,944534,1189959,738396,1620534,2636533,1679490,2290646,2283392,3837145,2332479,1358042,699545
"38000","North Dakota","4","SA5N 1/","82","...","  Nonfarm earnings",10324999,10777410,11411082,12003993,12566068,13269239,14153830,14872533,16026784,16780785,18044511,18557575,20142430,23085413,26971431,29049385,31855499,31592935
"38000","North Dakota","4","SA5N 1/","90","113-814","    Private nonfarm earnings",8082040,8465297,8985410,9405411,9731046,10203558,10925903,11512056,12552563,13164448,14240744,14486073,15770441,18591404,22369997,24300853,26935626,26451357
"38000","North Dakota","4","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",60828,61148,75203,66307,66527,74058,86670,92988,105730,102507,107749,107047,138681,129252,156353,153156,164590,185624
"38000","North Dakota","4","SA5N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
