"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"33000","New Hampshire","1","SA5N 1/","10","...","Personal income (thousands of dollars)",36173197,38145169,42519712,44127354,45071574,46328922,49527453,51431409,55098802,57276199,59052313,57824018,59648845,63276057,66786803,66839054,70020358,72947535
"33000","New Hampshire","1","SA5N 1/","20","...","Population (persons) 2/",1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316517,1318109,1321297,1322616,1326813,1330748
"33000","New Hampshire","1","SA5N 1/","30","...","Per capita personal income (dollars) 3/",29996,31215,34293,35147,35515,36199,38390,39609,42112,43638,44876,43936,45308,48005,50546,50535,52773,54817
"33000","New Hampshire","1","SA5N 1/","35","...","  Earnings by place of work",25175408,26857834,29747297,31016142,31909132,33189444,35386101,36908432,38987334,39796313,40407936,39825126,41028451,42170565,43441932,44114867,46322141,47903699
"33000","New Hampshire","1","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",2734310,2903872,3190015,3323809,3386985,3552509,3811939,3979208,4150365,4322642,4461100,4433958,4554356,4229326,4331131,4964447,5163362,5280681
"33000","New Hampshire","1","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",1462980,1559780,1708437,1787966,1835607,1923428,2047491,2159243,2269337,2379771,2455965,2411997,2448723,2010387,2053050,2694957,2848179,2919446
"33000","New Hampshire","1","SA5N 1/","38","...","    Employer contributions for government social insurance",1271330,1344092,1481578,1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2105633,2218939,2278081,2269490,2315183,2361235
"33000","New Hampshire","1","SA5N 1/","42","...","  plus: Adjustment for residence 5/",2909990,3382530,4028537,4070651,3967141,3962790,4235731,4396932,4667538,4799830,4837689,4284580,4708064,5251514,5664536,5507091,5524521,5853085
"33000","New Hampshire","1","SA5N 1/","45","...","  equals: Net earnings by place of residence",25351088,27336492,30585819,31762984,32489288,33599725,35809893,37326156,39504507,40273501,40784525,39675748,41182159,43192753,44775337,44657511,46683300,48476102
"33000","New Hampshire","1","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",6942085,6850525,7672716,7711447,7517694,7534131,8035780,8176822,9262957,10132465,10310263,9571627,9334719,11002671,12780093,12616490,13175214,13672502
"33000","New Hampshire","1","SA5N 1/","47","...","  plus: Personal current transfer receipts",3880024,3958152,4261177,4652923,5064592,5195066,5681780,5928431,6331338,6870233,7957525,8576643,9131967,9080633,9231373,9565053,10161844,10798931
"33000","New Hampshire","1","SA5N 1/","50","...","  Wages and salaries",18348810,19560012,21673479,22310997,22565486,23377194,24861228,25963958,27444014,28496230,29097474,28036362,28491292,29496301,30490101,31226280,33048404,34146718
"33000","New Hampshire","1","SA5N 1/","60","...","  Supplements to wages and salaries",3706649,3922336,4330325,4702113,4929694,5269240,5648745,5985033,6225380,6479209,6736253,7078882,7531577,7542715,7269751,7273682,7338949,7457331
"33000","New Hampshire","1","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",2435319,2578244,2848747,3166270,3378316,3640159,3884297,4165068,4344352,4536338,4731118,5056921,5425944,5323776,4991670,5004192,5023766,5096096
"33000","New Hampshire","1","SA5N 1/","62","...","    Employer contributions for government social insurance",1271330,1344092,1481578,1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2105633,2218939,2278081,2269490,2315183,2361235
"33000","New Hampshire","1","SA5N 1/","70","...","  Proprietors' income 8/",3119949,3375486,3743493,4003032,4413952,4543010,4876128,4959441,5317940,4820874,4574209,4709882,5005582,5131549,5682080,5614905,5934788,6299650
"33000","New Hampshire","1","SA5N 1/","71","...","    Farm proprietors' income",4396,12322,8089,5195,-1648,9619,19618,18589,5949,1904,-6195,-18164,-6622,-3150,4507,27130,3895,15815
"33000","New Hampshire","1","SA5N 1/","72","...","    Nonfarm proprietors' income",3115553,3363164,3735404,3997837,4415600,4533391,4856510,4940852,5311991,4818970,4580404,4728046,5012204,5134699,5677573,5587775,5930893,6283835
"33000","New Hampshire","1","SA5N 1/","81","111-112","  Farm earnings",40314,44668,44530,42046,42506,49229,58127,49642,40067,42124,32125,18288,27981,26582,56762,80902,64074,78042
"33000","New Hampshire","1","SA5N 1/","82","...","  Nonfarm earnings",25135094,26813166,29702767,30974096,31866626,33140215,35327974,36858790,38947267,39754189,40375811,39806838,41000470,42143983,43385170,44033965,46258067,47825657
"33000","New Hampshire","1","SA5N 1/","90","113-814","    Private nonfarm earnings",22132818,23622084,26322342,27311420,27933067,28779750,30715583,32034694,33886485,34428419,34786389,34041119,34722774,36220141,37465783,38210731,40292490,41763512
"33000","New Hampshire","1","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",90529,94177,108726,111171,104671,107099,119248,124186,142011,125639,109272,96031,116091,97660,116365,108416,120506,143768
"33000","New Hampshire","1","SA5N 1/","101","113","        Forestry and logging",61874,62798,73940,75383,71142,73972,85867,92280,105632,88117,75698,65367,79452,65562,74516,69940,76905,"(NA)"
"33000","New Hampshire","1","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",9749,10254,11005,11014,10660,13413,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33000","New Hampshire","1","SA5N 1/","103","115","        Support activities for agriculture and forestry",22170,24070,25452,26039,23275,22122,22367,21246,22966,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"33000","New Hampshire","1","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",11477,12754,12514,27526,28730,28915,34284,38721,43163,47748,50551,37470,41550,47141,48612,45051,46435,48359
"33000","New Hampshire","1","SA5N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",1301,1453,2333,2942,4187,6064,5066,11587,3718,6922,"(D)",11362,8277,8918,"(NA)"
"33000","New Hampshire","1","SA5N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",28128,30508,29788,31599,"(NA)"
"33000","New Hampshire","1","SA5N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6742,6986,5918,"(NA)"
"33000","New Hampshire","1","SA5N 1/","300","22","      Utilities",215816,209543,216961,251488,258628,253829,289306,275998,307987,299397,368910,343133,357380,377140,335465,343178,346927,336353
"33000","New Hampshire","1","SA5N 1/","400","23","      Construction",1696954,1906670,2107172,2428946,2630581,2761663,3005886,3116494,3252546,2918692,2669516,2474083,2467646,2598820,2767759,2803911,3003333,3237959
