"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"35000","New Mexico","6","SA5N 1/","10","...","Personal income (thousands of dollars)",38191628,39357560,42686217,46275986,47823648,49287198,52230034,56045461,59840045,63348816,67102829,65773493,68182725,71821138,74180920,73571354,77356150,80200588
"35000","New Mexico","6","SA5N 1/","20","...","Population (persons) 2/",1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064950,2078407,2084594,2086895,2085572,2085487
"35000","New Mexico","6","SA5N 1/","30","...","Per capita personal income (dollars) 3/",21295,21768,23438,25264,25777,26250,27435,29005,30497,31832,33374,32293,33019,34556,35585,35254,37091,38457
"35000","New Mexico","6","SA5N 1/","35","...","  Earnings by place of work",27295727,28413472,31116388,33632184,35225503,36437792,38542997,40854047,43355086,45172080,47026026,45292411,46651773,48408316,49591952,49670804,51684101,52603934
"35000","New Mexico","6","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",3082371,3202182,3384756,3623760,3806748,3996797,4207778,4470782,4875915,5132508,5407635,5354734,5477268,5069728,5176888,5939760,6159107,6251372
"35000","New Mexico","6","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",1599109,1672821,1767313,1892068,1983178,2081984,2214621,2366722,2588011,2738425,2869518,2837647,2871355,2340254,2387958,3102881,3242078,3297052
"35000","New Mexico","6","SA5N 1/","38","...","    Employer contributions for government social insurance",1483262,1529361,1617443,1731692,1823570,1914813,1993157,2104060,2287904,2394083,2538117,2517087,2605913,2729474,2788930,2836879,2917029,2954320
"35000","New Mexico","6","SA5N 1/","42","...","  plus: Adjustment for residence 5/",202456,231587,257689,242633,129098,35666,16878,3714,111642,157706,52868,54828,34340,28001,48220,51340,56400,81322
"35000","New Mexico","6","SA5N 1/","45","...","  equals: Net earnings by place of residence",24415812,25442877,27989321,30251057,31547853,32476661,34352097,36386979,38590813,40197278,41671259,39992505,41208845,43366589,44463284,43782384,45581394,46433884
"35000","New Mexico","6","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",8056743,7864020,8273924,8855579,8405397,8379183,8885168,9953021,10657346,11634374,12180566,11118938,11106494,12394040,13690572,13600847,14089383,14652223
"35000","New Mexico","6","SA5N 1/","47","...","  plus: Personal current transfer receipts",5719073,6050663,6422972,7169350,7870398,8431354,8992769,9705461,10591886,11517164,13251004,14662050,15867386,16060509,16027064,16188123,17685373,19114481
"35000","New Mexico","6","SA5N 1/","50","...","  Wages and salaries",19828841,20521192,21943058,23288778,24327708,25462850,27008934,28709341,30784224,32513068,34005059,33259758,33539114,34211690,35006147,35391182,36645202,37464147
"35000","New Mexico","6","SA5N 1/","60","...","  Supplements to wages and salaries",4532382,4673966,5017407,5299497,5763010,6270246,6795215,7335945,7666850,8028999,8357230,8275359,8725748,9167003,9552260,9195830,9344467,9520315
"35000","New Mexico","6","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",3049120,3144605,3399964,3567805,3939440,4355433,4802058,5231885,5378946,5634916,5819113,5758272,6119835,6437529,6763330,6358951,6427438,6565995
"35000","New Mexico","6","SA5N 1/","62","...","    Employer contributions for government social insurance",1483262,1529361,1617443,1731692,1823570,1914813,1993157,2104060,2287904,2394083,2538117,2517087,2605913,2729474,2788930,2836879,2917029,2954320
"35000","New Mexico","6","SA5N 1/","70","...","  Proprietors' income 8/",2934504,3218314,4155923,5043909,5134785,4704696,4738848,4808761,4904012,4630013,4663737,3757294,4386911,5029623,5033545,5083792,5694432,5619473
"35000","New Mexico","6","SA5N 1/","71","...","    Farm proprietors' income",405450,501245,347113,590910,328095,374946,661169,640298,371196,592391,376502,27162,527052,799158,700300,654634,975291,701089
"35000","New Mexico","6","SA5N 1/","72","...","    Nonfarm proprietors' income",2529054,2717069,3808810,4452999,4806690,4329750,4077679,4168463,4532816,4037622,4287235,3730132,3859859,4230465,4333245,4429158,4719141,4918384
"35000","New Mexico","6","SA5N 1/","81","111-112","  Farm earnings",584521,678994,541695,788905,548572,573219,876447,882677,605953,861090,636858,313160,780919,1050525,978509,970031,1294067,1030075
"35000","New Mexico","6","SA5N 1/","82","...","  Nonfarm earnings",26711206,27734478,30574693,32843279,34676931,35864573,37666550,39971370,42749133,44310990,46389168,44979251,45870854,47357791,48613443,48700773,50390034,51573860
"35000","New Mexico","6","SA5N 1/","90","113-814","    Private nonfarm earnings",19158744,19907451,22287834,23923608,24971410,25494236,26512761,28193838,30881845,32347377,33869405,31938255,32455501,33703800,34814316,35056575,36508306,37438514
"35000","New Mexico","6","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",87549,87625,116867,127197,125248,114037,115217,112193,121704,112512,107127,106227,114344,110461,119581,119173,134200,150478
"35000","New Mexico","6","SA5N 1/","101","113","        Forestry and logging","(T)","(T)",22998,"(D)","(D)","(D)",18353,16865,16626,13227,11216,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"35000","New Mexico","6","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",3307,2581,2981,2830,2574,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"35000","New Mexico","6","SA5N 1/","103","115","        Support activities for agriculture and forestry",77496,77305,88901,94331,93611,87659,93557,92747,102097,96455,93337,94586,99759,98813,106295,107860,122016,"(NA)"
"35000","New Mexico","6","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",797309,734821,905764,1117301,1021184,1076417,1166860,1446240,1822218,1770997,2454057,1617229,2005131,2413993,2732006,2922166,3222601,3035009
"35000","New Mexico","6","SA5N 1/","201","211","        Oil and gas extraction",232560,229245,326061,448813,441639,465342,472594,620521,791196,684675,1163286,648690,968375,1087984,1146391,1204947,1304363,"(NA)"
"35000","New Mexico","6","SA5N 1/","202","212","        Mining (except oil and gas)",305469,278689,273585,293842,264042,249074,271975,298092,319970,325888,403342,350923,349306,411555,466876,480274,464297,"(NA)"
"35000","New Mexico","6","SA5N 1/","203","213","        Support activities for mining",259280,226887,306118,374646,315503,362001,422291,527627,711052,760434,887429,617616,687450,914454,1118739,1236945,1453941,"(NA)"
"35000","New Mexico","6","SA5N 1/","300","22","      Utilities",238877,250304,260298,318314,305592,305988,319976,332909,361289,402425,452890,463491,462201,471180,457267,470135,483125,502854
"35000","New Mexico","6","SA5N 1/","400","23","      Construction",1824227,1933973,2295153,2546107,2526141,2551676,2684526,2986203,3371809,3417028,3494430,3049574,2876970,2822941,2849903,2868262,3011942,3124150
"35000","New Mexico","6","SA5N 1/","401","236","        Construction of buildings",523944,564219,657650,736129,735436,736361,774485,873920,954916,955321,1006113,855358,794054,779140,741360,706101,740280,"(NA)"
"35000","New Mexico","6","SA5N 1/","402","237","        Heavy and civil engineering construction",341050,350271,393274,405584,383266,367040,391327,442433,520642,548470,560831,488819,470993,459143,486318,551353,557053,"(NA)"
"35000","New Mexico","6","SA5N 1/","403","238","        Specialty trade contractors",959233,1019483,1244229,1404394,1407439,1448275,1518714,1669850,1896251,1913237,1927486,1705397,1611923,1584658,1622225,1610808,1714609,"(NA)"
"35000","New Mexico","6","SA5N 1/","500","31-33","      Manufacturing",1756670,1795700,2003379,2039117,1988965,1977744,1970371,2050336,2223207,2350359,2285065,2019102,2025044,2113459,2201734,2128228,2117168,2067297
"35000","New Mexico","6","SA5N 1/","510","321,327-339","        Durable goods manufacturing",1395519,1416666,1587989,1577556,1522486,1505918,1487713,1544526,1665773,1733343,1654197,1381606,1418518,1466763,1520657,1436801,1400674,1326751
"35000","New Mexico","6","SA5N 1/","511","321","          Wood product manufacturing",45677,52556,50360,43698,43521,46714,53721,60114,62780,53758,48460,36124,33787,33564,34049,32203,33392,"(NA)"
"35000","New Mexico","6","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",96936,94808,103943,103835,106065,105119,104412,117866,132329,138601,131637,108492,103691,97768,95670,92517,97815,"(NA)"
"35000","New Mexico","6","SA5N 1/","513","331","          Primary metal manufacturing",63568,58605,44587,32903,28628,20865,25053,24167,25923,28082,30554,20827,21690,21812,22878,21317,18437,"(NA)"
"35000","New Mexico","6","SA5N 1/","514","332","          Fabricated metal product manufacturing",100806,102682,110188,119090,114644,105854,115823,123653,132581,141654,151508,126499,133361,139359,152721,154823,152894,"(NA)"
"35000","New Mexico","6","SA5N 1/","515","333","          Machinery manufacturing",57733,60018,71000,80628,78840,66748,62559,69784,76828,84434,85411,81696,80423,72723,80289,79399,80120,"(NA)"
"35000","New Mexico","6","SA5N 1/","516","334","          Computer and electronic product manufacturing",729900,737800,874584,877395,834977,851728,804850,799881,829492,851892,758820,701493,741142,797869,837613,764811,719149,"(NA)"
"35000","New Mexico","6","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",23066,28998,37340,27836,17675,18036,17938,18331,21246,20018,23217,24048,33809,33941,31060,32960,33725,"(NA)"
"35000","New Mexico","6","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",36951,36693,41639,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
