"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"32000","Nevada","8","SA5N 1/","10","...","Personal income (thousands of dollars)",52980391,57511142,63045138,66706027,69304833,74992766,83863518,94083491,100692076,106484725,106789330,99146193,99806470,102612459,108656566,109489671,115671839,121973291
"32000","Nevada","8","SA5N 1/","20","...","Population (persons) 2/",1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703493,2718586,2755245,2791494,2839099,2891398
"32000","Nevada","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",28589,29726,31230,31789,31882,33347,35744,38683,39915,40939,40243,36931,36918,37745,39436,39223,40742,42185
"32000","Nevada","8","SA5N 1/","35","...","  Earnings by place of work",40618940,44821506,48512126,51492070,53276093,57029351,63478183,70262925,75930420,79772468,78174961,71502353,70933226,71283324,73883067,75239805,80042152,84302408
"32000","Nevada","8","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",4784583,5085302,4985974,5291595,5536888,5603854,6126676,6726420,7750392,8172747,7699414,7420278,7307814,6894961,7247540,8002946,8836238,9366878
"32000","Nevada","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",2137226,2341626,2493137,2666427,2791931,2838074,3116052,3423068,3947451,4175413,3964806,3839058,3826322,3139695,3253017,4099633,4570700,4853618
"32000","Nevada","8","SA5N 1/","38","...","    Employer contributions for government social insurance",2647357,2743676,2492837,2625168,2744957,2765780,3010624,3303352,3802941,3997334,3734608,3581220,3481492,3755266,3994523,3903313,4265538,4513260
"32000","Nevada","8","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-350135,-382377,-338537,-293249,-322181,-354833,-376990,-385222,-410939,-440466,-403165,-283027,-195102,-56223,-33114,12754,-28412,-20691
"32000","Nevada","8","SA5N 1/","45","...","  equals: Net earnings by place of residence",35484222,39353827,43187615,45907226,47417024,51070664,56974517,63151283,67769089,71159255,70072382,63799048,63430310,64332140,66602413,67249613,71177502,74914840
"32000","Nevada","8","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",12144647,12574713,13856593,14010429,14241124,15704346,18014099,21337142,22554887,23996679,23326199,20062043,19538613,21212655,24834800,24667475,25604214,26570108
