"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"40000","Oklahoma","6","SA5N 1/","10","...","Personal income (thousands of dollars)",75390398,78356415,85672158,92129048,93531526,96553912,102194709,109855330,120480971,125613351,138461962,128545841,135151223,147813207,158595958,161685876,169227826,173186712
"40000","Oklahoma","6","SA5N 1/","20","...","Population (persons) 2/",3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759481,3786527,3817059,3853118,3878051,3911921
"40000","Oklahoma","6","SA5N 1/","30","...","Per capita personal income (dollars) 3/",22140,22797,24801,26572,26807,27548,28989,30957,33522,34563,37739,34578,35949,39037,41549,41962,43637,44272
"40000","Oklahoma","6","SA5N 1/","35","...","  Earnings by place of work",54274813,56706433,61965642,67268623,68536573,71010879,75426539,81111689,87969763,89019989,98516444,89220552,94483982,103400543,111528691,115948070,121808813,123623372
"40000","Oklahoma","6","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",6032787,6218043,6599565,7047315,7253066,7471455,7992500,8470982,9118353,9591618,10040499,9850525,10039640,9688957,10287027,11924087,12220780,12280706
"40000","Oklahoma","6","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",3158271,3293315,3479357,3683285,3761427,3823928,4037686,4321144,4735816,5041870,5335633,5235178,5355853,4459162,4653591,6148312,6481326,6550016
"40000","Oklahoma","6","SA5N 1/","38","...","    Employer contributions for government social insurance",2874516,2924728,3120208,3364030,3491639,3647527,3954814,4149838,4382537,4549748,4704866,4615347,4683787,5229795,5633436,5775775,5739454,5730691
"40000","Oklahoma","6","SA5N 1/","42","...","  plus: Adjustment for residence 5/",893589,939863,1019843,1014889,701356,605106,461552,382058,317109,797017,791932,727259,706841,717728,773217,741890,793053,841912
"40000","Oklahoma","6","SA5N 1/","45","...","  equals: Net earnings by place of residence",49135615,51428253,56385920,61236197,61984863,64144530,67895591,73022765,79168519,80225388,89267877,80097286,85151183,94429314,102014881,104765873,110381086,112184577
"40000","Oklahoma","6","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",14666137,14823126,16489417,16765328,16383745,16434180,17309135,18527075,21292551,23920754,25092118,22486467,22321597,25335075,27905630,27664893,28650643,29771208
"40000","Oklahoma","6","SA5N 1/","47","...","  plus: Personal current transfer receipts",11588646,12105036,12796821,14127523,15162918,15975202,16989983,18305490,20019901,21467209,24101967,25962088,27678443,28048818,28675447,29255110,30196097,31230927
"40000","Oklahoma","6","SA5N 1/","50","...","  Wages and salaries",38191567,39820646,42486440,44622573,45171865,46249197,48469989,51110208,56336973,59578877,63280222,61188190,62413254,66233157,70175803,72443062,75617733,76802594
"40000","Oklahoma","6","SA5N 1/","60","...","  Supplements to wages and salaries",8436539,8698739,9624149,10364441,10874357,11431015,12368481,13188702,13738383,14097542,14477080,14733901,15873473,16552191,17066825,17794320,18335968,18501309
"40000","Oklahoma","6","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",5562023,5774011,6503941,7000411,7382718,7783488,8413667,9038864,9355846,9547794,9772214,10118554,11189686,11322396,11433389,12018545,12596514,12770618
"40000","Oklahoma","6","SA5N 1/","62","...","    Employer contributions for government social insurance",2874516,2924728,3120208,3364030,3491639,3647527,3954814,4149838,4382537,4549748,4704866,4615347,4683787,5229795,5633436,5775775,5739454,5730691
"40000","Oklahoma","6","SA5N 1/","70","...","  Proprietors' income 8/",7646707,8187048,9855053,12281609,12490351,13330667,14588069,16812779,17894407,15343570,20759142,13298461,16197255,20615195,24286063,25710688,27855112,28319469
"40000","Oklahoma","6","SA5N 1/","71","...","    Farm proprietors' income",330853,626517,625110,581396,809834,771055,982123,1053848,413144,287152,461771,-257769,546790,1067311,1446754,1567831,1923283,1806874
"40000","Oklahoma","6","SA5N 1/","72","...","    Nonfarm proprietors' income",7315854,7560531,9229943,11700213,11680517,12559612,13605946,15758931,17481263,15056418,20297371,13556230,15650465,19547884,22839309,24142857,25931829,26512595
"40000","Oklahoma","6","SA5N 1/","81","111-112","  Farm earnings",518153,838697,831330,815251,978861,968016,1259928,1320647,664694,636858,863799,40821,845799,1387594,1848531,1909759,2305541,2197177
"40000","Oklahoma","6","SA5N 1/","82","...","  Nonfarm earnings",53756660,55867736,61134312,66453372,67557712,70042863,74166611,79791042,87305069,88383131,97652645,89179731,93638183,102012949,109680160,114038311,119503272,121426195
"40000","Oklahoma","6","SA5N 1/","90","113-814","    Private nonfarm earnings",43004093,44530393,48993326,53487908,53814468,55659005,59047648,63777341,70317897,70222563,78480025,69237021,72799533,81157506,88888343,92790641,97848232,99259194
"40000","Oklahoma","6","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",137992,137566,156518,150756,150514,159056,177947,185298,204947,195678,194755,198219,252356,230712,262301,264856,290541,335593
"40000","Oklahoma","6","SA5N 1/","101","113","        Forestry and logging",36999,36555,38911,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"40000","Oklahoma","6","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"40000","Oklahoma","6","SA5N 1/","103","115","        Support activities for agriculture and forestry",98992,98842,115305,112360,112187,118428,136590,143123,162860,158385,159757,165509,206928,191346,214763,220057,241786,"(NA)"
"40000","Oklahoma","6","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2360777,2274000,3296169,4797464,4859078,5928562,6446161,8559020,10554423,8801865,14537994,7047286,8805560,12686766,14365154,16048223,17073396,16552150
"40000","Oklahoma","6","SA5N 1/","201","211","        Oil and gas extraction",1778467,1689207,2591985,3894754,4004249,4983704,5314165,7130920,8512240,6547077,11542296,5144310,6691268,9712656,11202615,12731127,13457119,"(NA)"
"40000","Oklahoma","6","SA5N 1/","202","212","        Mining (except oil and gas)",81829,84343,128444,130925,162734,140745,163310,190299,195257,200577,170079,148209,137583,157970,153713,145156,152527,"(NA)"
"40000","Oklahoma","6","SA5N 1/","203","213","        Support activities for mining",500481,500450,575740,771785,692095,804113,968686,1237801,1846926,2054211,2825619,1754767,1976709,2816140,3008826,3171940,3463750,"(NA)"
"40000","Oklahoma","6","SA5N 1/","300","22","      Utilities",559317,575386,635039,912821,913959,896058,960529,965659,1153525,1284282,1494171,1381657,1362314,1358171,1470366,1578646,1897710,1646102
"40000","Oklahoma","6","SA5N 1/","400","23","      Construction",2918694,3286680,3626046,3951672,3933953,4077195,4236879,4570933,5130093,5074535,5307475,5198282,5522854,5843697,6564134,7040506,7402978,7878569
"40000","Oklahoma","6","SA5N 1/","401","236","        Construction of buildings",624171,708865,822362,936111,1057430,1000133,992765,1054919,1179929,1190100,1279985,1348402,1471915,1616288,1788051,1798433,1882706,"(NA)"
"40000","Oklahoma","6","SA5N 1/","402","237","        Heavy and civil engineering construction",443301,502126,540266,626973,551291,532082,525453,577952,638348,659211,718015,720289,797185,801988,952350,1242180,1235111,"(NA)"
"40000","Oklahoma","6","SA5N 1/","403","238","        Specialty trade contractors",1851222,2075689,2263418,2388588,2325232,2544980,2718661,2938062,3311816,3225224,3309475,3129591,3253754,3425421,3823733,3999893,4285161,"(NA)"
"40000","Oklahoma","6","SA5N 1/","500","31-33","      Manufacturing",7793812,7693614,8312534,8957531,7983161,7790706,8213558,8705230,9373124,9438740,9982952,8355307,8246294,9195633,10278811,10191146,10805691,10576429
"40000","Oklahoma","6","SA5N 1/","510","321,327-339","        Durable goods manufacturing",4641217,4696233,5058245,5198752,4932225,4807483,4971556,5204259,5703484,5970757,6268466,5375719,5255353,5771092,6537160,6862111,7260512,6984854
"40000","Oklahoma","6","SA5N 1/","511","321","          Wood product manufacturing",123165,133813,153789,170544,174832,179320,180413,187037,179306,172865,154385,118698,103217,103913,106322,114221,121768,"(NA)"
"40000","Oklahoma","6","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",336852,349517,380373,377572,375545,391574,414815,430664,450284,460108,466165,407617,396955,390435,405493,420886,441507,"(NA)"
