"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"42000","Pennsylvania","2","SA5N 1/","10","...","Personal income (thousands of dollars)",335214486,349812106,374577398,387707869,395919744,409038437,430008872,447084171,477939178,503610624,525622733,516623328,532816761,560970586,584630441,588296421,609679210,629709649
"42000","Pennsylvania","2","SA5N 1/","20","...","Population (persons) 2/",12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711077,12743995,12770043,12781296,12787209,12804290
"42000","Pennsylvania","2","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27374,28524,30493,31524,32108,33055,34648,35910,38202,40084,41675,40785,41918,44018,45781,46028,47679,49180
"42000","Pennsylvania","2","SA5N 1/","35","...","  Earnings by place of work",242578254,256611907,273343488,284591290,291906291,301840972,319205170,331204014,348505598,359971408,370904963,363383254,373988756,390203485,403024629,413325394,428659352,441779711
"42000","Pennsylvania","2","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",28147510,29401994,30864614,31934185,32818784,33614426,35334681,37130992,39010549,40572741,41806173,41282397,42500221,39676333,40555763,46977719,48699964,49899463
"42000","Pennsylvania","2","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",14002082,14768815,15483787,16110140,16687769,17077294,18092956,18902327,20008147,21031856,21755381,21557582,22062386,18164908,18481458,24255772,25309119,25980402
"42000","Pennsylvania","2","SA5N 1/","38","...","    Employer contributions for government social insurance",14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20437835,21511425,22074305,22721947,23390845,23919061
"42000","Pennsylvania","2","SA5N 1/","42","...","  plus: Adjustment for residence 5/",3278472,3565027,4065999,3961670,3664997,3888896,4804844,5917872,7237124,8492572,9418151,7756230,8417968,8365178,8834105,8680552,9120252,9549356
"42000","Pennsylvania","2","SA5N 1/","45","...","  equals: Net earnings by place of residence",217709216,230774940,246544873,256618775,262752504,272115442,288675333,299990894,316732173,327891239,338516941,329857087,339906503,358892330,371302971,375028227,389079640,401429604
"42000","Pennsylvania","2","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",65276181,64458606,70118888,69203394,67551680,68651949,70521764,70983423,81258722,90316833,91952022,83122622,81899260,90452961,101489454,99677343,103602263,107860874
"42000","Pennsylvania","2","SA5N 1/","47","...","  plus: Personal current transfer receipts",52229089,54578560,57913637,61885700,65615560,68271046,70811775,76109854,79948283,85402552,95153770,103643619,111010998,111625295,111838016,113590851,116997307,120419171
"42000","Pennsylvania","2","SA5N 1/","50","...","  Wages and salaries",175755250,184861731,195893879,201372357,204950151,210536131,220406488,228659646,240671105,253472297,260291028,254506876,259820810,270031901,280135639,285130539,296487215,306492024
"42000","Pennsylvania","2","SA5N 1/","60","...","  Supplements to wages and salaries",40271840,43121273,46591860,49859235,51771627,54532102,58367475,61700087,64810149,66347205,67708491,67291235,70431932,73455054,72865156,76078232,76561196,78014382
"42000","Pennsylvania","2","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",26126412,28488094,31211033,34035190,35640612,37994970,41125750,43471422,45807747,46806320,47657699,47566420,49994097,51943629,50790851,53356285,53170351,54095321
"42000","Pennsylvania","2","SA5N 1/","62","...","    Employer contributions for government social insurance",14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20437835,21511425,22074305,22721947,23390845,23919061
"42000","Pennsylvania","2","SA5N 1/","70","...","  Proprietors' income 8/",26551164,28628903,30857749,33359698,35184513,36772739,40431207,40844281,43024344,40151906,42905444,41585143,43736014,46716530,50023834,52116623,55610941,57273305
"42000","Pennsylvania","2","SA5N 1/","71","...","    Farm proprietors' income",421268,386311,612424,506024,26319,673906,964267,912428,569417,612620,579018,203512,612385,1166286,1167873,1584951,1981035,1475362
"42000","Pennsylvania","2","SA5N 1/","72","...","    Nonfarm proprietors' income",26129896,28242592,30245325,32853674,35158194,36098833,39466940,39931853,42454927,39539286,42326426,41381631,43123629,45550244,48855961,50531672,53629906,55797943
"42000","Pennsylvania","2","SA5N 1/","81","111-112","  Farm earnings",895573,818685,1105801,1011296,640203,1239726,1536105,1388993,1107523,1283996,1210123,786511,1181194,1655726,1834482,2258707,2700213,2219468
"42000","Pennsylvania","2","SA5N 1/","82","...","  Nonfarm earnings",241682681,255793222,272237687,283579994,291266088,300601246,317669065,329815021,347398075,358687412,369694840,362596743,372807562,388547759,401190147,411066687,425959139,439560243
"42000","Pennsylvania","2","SA5N 1/","90","113-814","    Private nonfarm earnings",208303322,220830748,235227700,244286708,249605248,256439603,270612509,281482853,296989061,306346587,315528448,306815190,314680112,330761749,344368189,353037019,367223750,379695788
"42000","Pennsylvania","2","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",373228,362075,431143,429884,396123,392601,423334,429248,476616,439427,424113,413243,493503,450507,527029,528255,566838,636159
"42000","Pennsylvania","2","SA5N 1/","101","113","        Forestry and logging",152126,144523,163940,"(D)","(D)","(D)","(D)",163687,"(D)","(D)",139556,121281,162528,143213,180734,182010,191186,"(NA)"
"42000","Pennsylvania","2","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)",10464,14612,"(D)","(D)","(D)","(D)",8735,"(D)","(D)",8058,7140,8380,7346,7630,7522,8077,"(NA)"
"42000","Pennsylvania","2","SA5N 1/","103","115","        Support activities for agriculture and forestry",211388,207088,252591,261925,244498,236927,251388,256826,288651,273326,276499,284822,322595,299948,338665,338723,367575,"(NA)"
"42000","Pennsylvania","2","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1312183,1226264,1275898,1399172,1383918,1498078,1751129,2178138,2506346,2269240,3332095,2246514,3044255,4434464,5121847,5556477,6073391,5663971
"42000","Pennsylvania","2","SA5N 1/","201","211","        Oil and gas extraction",201303,196692,267674,379428,399504,541737,664725,984528,1164711,921142,1836863,764051,1197781,1849114,2258797,2830600,3062397,"(NA)"
"42000","Pennsylvania","2","SA5N 1/","202","212","        Mining (except oil and gas)",1012667,932306,885649,894922,837703,817712,913773,994553,1086753,1041416,1122947,1062323,1121985,1339480,1362421,1239520,1234068,"(NA)"
