"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"97000","Rocky Mountain","7","SA5N 1/","10","...","Personal income (thousands of dollars)",231223452,247738571,272208610,286782074,291728471,300666443,318427019,341851465,372442063,396561758,416466045,400743699,411961409,441833580,468667844,479671697,505346846,529246260
"97000","Rocky Mountain","7","SA5N 1/","20","...","Population (persons) 2/",8918147,9094461,9268926,9430982,9567277,9675332,9807510,9972107,10189958,10406301,10609537,10793888,10948493,11084057,11224549,11385803,11540964,11728200
"97000","Rocky Mountain","7","SA5N 1/","30","...","Per capita personal income (dollars) 3/",25927,27241,29368,30409,30492,31076,32468,34281,36550,38108,39254,37127,37627,39862,41754,42129,43787,45126
"97000","Rocky Mountain","7","SA5N 1/","35","...","  Earnings by place of work",177536711,193459344,213208601,224608123,227089539,232594708,247017573,263030816,284694131,298897643,309935417,298072407,304768037,318291792,335222074,349594626,369430800,386131547
"97000","Rocky Mountain","7","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",19324664,20640960,22509364,23609045,24372646,25135285,26919552,28873929,31442032,33411672,34508065,33426641,33981377,32087088,33566792,39139502,41406748,43233084
"97000","Rocky Mountain","7","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",9833330,10565556,11498248,12074469,12233941,12536907,13321443,14270648,15587651,16750507,17382552,16985371,17194264,14147902,14788182,19876566,21258826,22245320
"97000","Rocky Mountain","7","SA5N 1/","38","...","    Employer contributions for government social insurance",9491334,10075404,11011116,11534576,12138705,12598378,13598109,14603281,15854381,16661165,17125513,16441270,16787113,17939186,18778610,19262936,20147922,20987764
"97000","Rocky Mountain","7","SA5N 1/","42","...","  plus: Adjustment for residence 5/",701005,800537,860245,943916,1802860,1675047,1796137,1674032,1232202,1418712,903755,951220,1016720,1203054,1445260,1424953,1534119,1601702
"97000","Rocky Mountain","7","SA5N 1/","45","...","  equals: Net earnings by place of residence",158913052,173618921,191559482,201942994,204519753,209134470,221894158,235830919,254484301,266904683,276331107,265596986,271803380,287407758,303100542,311880077,329558171,344500164
"97000","Rocky Mountain","7","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",48559982,49147464,53851314,55486835,54967841,57503621,60622485,67297118,76181391,84721515,87838340,77490449,75914534,88689009,99396727,99340122,103829282,108330188
"97000","Rocky Mountain","7","SA5N 1/","47","...","  plus: Personal current transfer receipts",23750418,24972186,26797814,29352245,32240877,34028352,35910376,38723428,41776371,44935560,52296598,57656264,64243495,65736813,66170575,68451498,71959393,76415908
"97000","Rocky Mountain","7","SA5N 1/","50","...","  Wages and salaries",127635125,138045340,152762071,158114221,158951711,162403345,171596818,182615417,198157405,212644885,219729731,211472655,214307987,223192173,234944920,243498975,258764878,272543232
"97000","Rocky Mountain","7","SA5N 1/","60","...","  Supplements to wages and salaries",27027924,29081623,32135038,34282283,35445252,37573182,40282358,43391333,46360259,48459564,50124905,50094842,51098421,52496208,54405012,57143627,58498370,60682099
"97000","Rocky Mountain","7","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",17536590,19006219,21123922,22747707,23306547,24974804,26684249,28788052,30505878,31798399,32999392,33653572,34311308,34557022,35626402,37880691,38350448,39694335
"97000","Rocky Mountain","7","SA5N 1/","62","...","    Employer contributions for government social insurance",9491334,10075404,11011116,11534576,12138705,12598378,13598109,14603281,15854381,16661165,17125513,16441270,16787113,17939186,18778610,19262936,20147922,20987764
"97000","Rocky Mountain","7","SA5N 1/","70","...","  Proprietors' income 8/",22873662,26332381,28311492,32211619,32692576,32618181,35138397,37024066,40176467,37793194,40080781,36504910,39361629,42603411,45872142,48952024,52167552,52906215
"97000","Rocky Mountain","7","SA5N 1/","71","...","    Farm proprietors' income",1379023,1706538,1232151,1874524,990693,1189645,2075933,1973595,871236,1589783,1713978,426381,1700027,3210957,2583545,3475846,3605529,2354425
