"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"96000","Southwest","6","SA5N 1/","10","...","Personal income (thousands of dollars)",745604604,786939462,859486939,915503965,926344622,963734752,1021200715,1114462904,1220946875,1292141736,1401878718,1328971561,1388977320,1508537811,1609194646,1640047897,1732761495,1804405589
"96000","Southwest","6","SA5N 1/","20","...","Population (persons) 2/",30239551,30827272,31380654,31891889,32430969,32923761,33475468,34098071,34944948,35624083,36269039,36899289,37482147,37995278,38552311,39080647,39652065,40300598
"96000","Southwest","6","SA5N 1/","30","...","Per capita personal income (dollars) 3/",24657,25527,27389,28706,28564,29272,30506,32684,34939,36272,38652,36016,37057,39703,41741,41966,43699,44774
"96000","Southwest","6","SA5N 1/","35","...","  Earnings by place of work",580954571,621336077,680256504,728514364,734947442,759597380,806137570,864212797,945942857,985307805,1049028832,983923131,1025854998,1102877492,1176724306,1222477574,1297911021,1343560746
"96000","Southwest","6","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",59737207,63263279,68048838,71645408,72973383,76112873,80606047,86239821,92853599,98915287,103199501,101639654,104718494,98503935,103811480,122275516,129086095,132909456
"96000","Southwest","6","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",31013005,33002323,35434434,37277014,38040405,38927086,41330049,44552868,48504271,51898642,54683865,53945395,55175625,45784373,47992210,64391472,68651125,70781758
"96000","Southwest","6","SA5N 1/","38","...","    Employer contributions for government social insurance",28724202,30260956,32614404,34368394,34932978,37185787,39275998,41686953,44349328,47016645,48515636,47694259,49542869,52719562,55819270,57884044,60434970,62127698
"96000","Southwest","6","SA5N 1/","42","...","  plus: Adjustment for residence 5/",432567,543649,610645,486405,-1226263,-1590726,-2011804,543627,268132,1545786,955704,778382,735145,581425,549966,485556,666343,731949
"96000","Southwest","6","SA5N 1/","45","...","  equals: Net earnings by place of residence",521649931,558616447,612818311,657355361,660747796,681893781,723519719,778516603,853357390,887938304,946785035,883061859,921871649,1004954982,1073462792,1100687614,1169491269,1211383239
"96000","Southwest","6","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",132121341,132917160,145633874,146576034,143043934,150232217,157814778,181769098,201365783,222639392,247692832,218064829,216747908,246849392,279030228,274870724,285166738,296104152
"96000","Southwest","6","SA5N 1/","47","...","  plus: Personal current transfer receipts",91833332,95405855,101034754,111572570,122552892,131608754,139866218,154177203,166223702,181564040,207400851,227844873,250357763,256733437,256701626,264489559,278103488,296918198
"96000","Southwest","6","SA5N 1/","50","...","  Wages and salaries",413345338,440229257,480035685,499767920,502611865,514825653,545105432,584630724,640313408,688499692,718133493,691731678,707070348,747297413,793463193,821412886,873422024,907354910
