"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"48000","Texas","6","SA5N 1/","10","...","Personal income (thousands of dollars)",514023760,543695367,594097365,633552727,636107528,661144021,695946540,759204486,830522563,881582784,969740300,918587462,966447597,1057983140,1135225582,1161133804,1231084591,1284262294
"48000","Texas","6","SA5N 1/","20","...","Population (persons) 2/",20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25245717,25657477,26094422,26505637,26956958,27473794
"48000","Texas","6","SA5N 1/","30","...","Per capita personal income (dollars) 3/",25500,26447,28365,29717,29327,30010,31077,33330,35554,36992,39892,37037,38282,41235,43505,43807,45669,46745
"48000","Texas","6","SA5N 1/","35","...","  Earnings by place of work",412554378,442547997,484094152,519607158,519790452,536041762,565987731,603947992,661123107,691187412,743680794,699666625,735007182,794367874,851910214,889031389,949050905,984816155
"48000","Texas","6","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",40837125,43356875,46647203,49028237,49563315,51813921,54508201,58043801,62130526,66495255,69850311,69367315,72072436,67872069,71924610,85246142,90649905,93627987
"48000","Texas","6","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",21226764,22605881,24282711,25549897,25932654,26378428,27858117,29877682,32395211,34884847,37152562,36874534,37803333,31407115,33129319,44847684,48105860,49727222
"48000","Texas","6","SA5N 1/","38","...","    Employer contributions for government social insurance",19610361,20750994,22364492,23478340,23630661,25435493,26650084,28166119,29735315,31610408,32697749,32492781,34269103,36464954,38795291,40398458,42544045,43900765
"48000","Texas","6","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-1073091,-1097876,-1195954,-1352341,-2644408,-2817134,-3113703,-552317,-974784,-468315,-1182873,-1234382,-1256933,-1407833,-1605970,-1589561,-1548295,-1645004
"48000","Texas","6","SA5N 1/","45","...","  equals: Net earnings by place of residence",370644162,398093246,436250995,469226580,467582729,481410707,508365827,545351874,598017797,624223842,672647610,629064928,661677813,725087972,778379634,802195686,856852705,889543164
"48000","Texas","6","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",83984020,84467574,93059297,93365601,90499782,96009143,99398687,116423808,128318017,142897245,166801072,146723748,146273954,168593981,192917632,189093673,196116869,203597246
"48000","Texas","6","SA5N 1/","47","...","  plus: Personal current transfer receipts",59395578,61134547,64787073,70960546,78025017,83724171,88182026,97428804,104186749,114461697,130291618,142798786,158495830,164301187,163928316,169844445,178115017,191121885
"48000","Texas","6","SA5N 1/","50","...","  Wages and salaries",291035692,310514965,339022925,352372323,351923795,358084160,377446298,403668832,441697637,479127525,503645005,487554120,501828526,533189953,569239796,590980410,633343875,660015036
"48000","Texas","6","SA5N 1/","60","...","  Supplements to wages and salaries",57354953,61071325,66939592,71681488,74519560,80260412,83632538,88609324,94761552,98341012,100861168,103839027,108973929,111468743,118737845,124500699,129527997,133670317
"48000","Texas","6","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",37744592,40320331,44575100,48203148,50888899,54824919,56982454,60443205,65026237,66730604,68163419,71346246,74704826,75003789,79942554,84102241,86983952,89769552
"48000","Texas","6","SA5N 1/","62","...","    Employer contributions for government social insurance",19610361,20750994,22364492,23478340,23630661,25435493,26650084,28166119,29735315,31610408,32697749,32492781,34269103,36464954,38795291,40398458,42544045,43900765
