"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"49000","Utah","7","SA5N 1/","10","...","Personal income (thousands of dollars)",48551476,51530286,55621044,58718769,60353040,62108532,66152366,72251941,80275053,87395274,91906117,88313814,90483243,96888550,102772080,106072574,110841885,116992288
"49000","Utah","7","SA5N 1/","20","...","Population (persons) 2/",2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2774346,2815324,2855194,2902787,2942902,2996314
"49000","Utah","7","SA5N 1/","30","...","Per capita personal income (dollars) 3/",22416,23386,24781,25712,25960,26316,27545,29398,31786,33643,34512,32428,32614,34415,35995,36542,37664,39045
"49000","Utah","7","SA5N 1/","35","...","  Earnings by place of work",39183178,42143173,45235330,47803418,48760495,49979170,53775285,57945710,64612614,69397695,71096446,68479558,69617716,73227238,77653134,81849232,85811367,90859840
"49000","Utah","7","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",4483606,4729402,5045560,5291643,5419849,5648971,6124126,6633964,7284317,7832134,8022573,7769498,7833461,7447501,7840238,9294638,9785457,10326401
"49000","Utah","7","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",2231597,2381051,2531030,2636880,2694630,2769662,2975951,3218206,3573802,3914234,4013050,3927903,4004508,3270028,3439649,4686450,4988543,5276883
"49000","Utah","7","SA5N 1/","38","...","    Employer contributions for government social insurance",2252009,2348351,2514530,2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3828953,4177473,4400589,4608188,4796914,5049518
"49000","Utah","7","SA5N 1/","42","...","  plus: Adjustment for residence 5/",-3845,-1375,4838,8977,3806,9956,26838,-9182,29251,51095,40927,6354,-11003,-25706,-33426,-47074,-46105,-56262
"49000","Utah","7","SA5N 1/","45","...","  equals: Net earnings by place of residence",34695727,37412396,40194608,42520752,43344452,44340155,47677997,51302564,57357548,61616656,63114800,60716414,61773252,65754031,69779470,72507520,75979805,80477177
"49000","Utah","7","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",9008469,8998954,9927229,10171358,10416658,10740483,11038341,12855534,14099738,16184155,17565912,15183761,14939242,16884147,18837732,18926051,19748826,20603327
"49000","Utah","7","SA5N 1/","47","...","  plus: Personal current transfer receipts",4847280,5118936,5499207,6026659,6591930,7027894,7436028,8093843,8817767,9594463,11225405,12413639,13770749,14250372,14154878,14639003,15113254,15911784
"49000","Utah","7","SA5N 1/","50","...","  Wages and salaries",28814471,30632372,32974823,34266548,34855773,35698404,38118249,40878126,45076805,49191003,50575794,48890584,49652799,52007828,55111673,57361661,60628109,64549413
"49000","Utah","7","SA5N 1/","60","...","  Supplements to wages and salaries",6274186,6735917,7209048,7832101,8135416,8670849,9577861,10431186,11608758,12328654,12776969,12462261,12527976,13586433,13773637,14797629,14787952,15384313
"49000","Utah","7","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",4022177,4387566,4694518,5177338,5410197,5791540,6429686,7015428,7898243,8410754,8767446,8620666,8699023,9408960,9373048,10189441,9991038,10334794
"49000","Utah","7","SA5N 1/","62","...","    Employer contributions for government social insurance",2252009,2348351,2514530,2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3828953,4177473,4400589,4608188,4796914,5049518
"49000","Utah","7","SA5N 1/","70","...","  Proprietors' income 8/",4094521,4774884,5051459,5704769,5769306,5609917,6079175,6636398,7927051,7878038,7743683,7126713,7436941,7632977,8767824,9689942,10395306,10926114
"49000","Utah","7","SA5N 1/","71","...","    Farm proprietors' income",127369,132552,86402,191845,59383,87447,164044,108244,-12354,-5738,16202,-108225,13000,149659,75986,282816,361837,366592
"49000","Utah","7","SA5N 1/","72","...","    Nonfarm proprietors' income",3967152,4642332,4965057,5512924,5709923,5522470,5915131,6528154,7939405,7883776,7727481,7234938,7423941,7483318,8691838,9407126,10033469,10559522
"49000","Utah","7","SA5N 1/","81","111-112","  Farm earnings",232376,240219,206937,317352,200984,217139,306572,270499,147391,183160,200803,92713,188757,321705,276413,510235,592300,604607
"49000","Utah","7","SA5N 1/","82","...","  Nonfarm earnings",38950802,41902954,45028393,47486066,48559511,49762031,53468713,57675211,64465223,69214535,70895643,68386845,69428959,72905533,77376721,81338997,85219067,90255233
"49000","Utah","7","SA5N 1/","90","113-814","    Private nonfarm earnings",31855018,34351999,36897203,38678356,39140854,39824096,42868499,46491774,52724839,56881341,57975194,55008199,55502175,58593397,63107984,67015118,70543582,75009517
"49000","Utah","7","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",54149,54369,54827,43050,40827,44210,47399,50258,62645,68192,63042,59156,60243,62620,71275,79070,86786,91759
"49000","Utah","7","SA5N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",5187,4541,3708,3407,3272,3971,4257,4406,3519,4476,3760,3973,"(D)",4818,"(NA)"
"49000","Utah","7","SA5N 1/","102","114","        Fishing, hunting and trapping",14877,14774,13378,10682,8028,8836,7272,8202,10875,12687,12920,12353,14713,14450,16346,"(D)",18841,"(NA)"
"49000","Utah","7","SA5N 1/","103","115","        Support activities for agriculture and forestry",32761,33227,34412,27181,28258,31666,36720,38784,47799,51248,45716,43284,41054,44410,50956,56591,63127,"(NA)"
"49000","Utah","7","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",426924,402301,442045,487090,459146,506963,626299,851452,1185152,1259331,1686927,1025196,1064792,1270238,1449476,1488131,1525564,1368447
"49000","Utah","7","SA5N 1/","201","211","        Oil and gas extraction",37793,38285,47663,82466,85734,141351,201763,333672,505094,485858,779337,310554,340467,386381,480594,556359,597328,"(NA)"
"49000","Utah","7","SA5N 1/","202","212","        Mining (except oil and gas)",306448,296873,301685,277760,258236,247780,264518,293779,349194,361929,400454,392724,400849,461992,463038,433312,431716,"(NA)"
"49000","Utah","7","SA5N 1/","203","213","        Support activities for mining",82683,67143,92697,126864,115176,117832,160018,224001,330864,411544,507136,321918,323476,421865,505844,498460,496520,"(NA)"
"49000","Utah","7","SA5N 1/","300","22","      Utilities",312881,303192,311573,411394,444205,341900,362389,386888,468570,468019,511004,489572,507200,519335,489180,509579,517845,553097
"49000","Utah","7","SA5N 1/","400","23","      Construction",3270387,3674593,3952282,3960575,3855755,3825167,4161907,4776543,5972457,6524081,5876064,4894059,4784169,4880905,5479271,5749752,6279797,6956080
"49000","Utah","7","SA5N 1/","401","236","        Construction of buildings",911251,1011141,1115603,1138385,1110821,1079069,1154174,1321972,1631093,1734552,1543329,1262647,1234435,1228315,1518138,1618170,1765837,"(NA)"
"49000","Utah","7","SA5N 1/","402","237","        Heavy and civil engineering construction",469174,503636,507937,476185,497299,442903,488926,556225,694214,813382,714562,625418,682241,713081,698718,687832,715541,"(NA)"
"49000","Utah","7","SA5N 1/","403","238","        Specialty trade contractors",1889962,2159816,2328742,2346005,2247635,2303195,2518807,2898346,3647150,3976147,3618173,3005994,2867493,2939509,3262415,3443750,3798419,"(NA)"
"49000","Utah","7","SA5N 1/","500","31-33","      Manufacturing",5269500,5603323,5685629,5924027,5598609,5709635,6119161,6395894,7001247,7608123,7974703,7239943,7284538,7672522,8056828,8372774,8644565,9026259
"49000","Utah","7","SA5N 1/","510","321,327-339","        Durable goods manufacturing",3681508,3713143,3935284,4064587,3813703,3934464,4188702,4425337,4844006,5385934,5593959,4994659,4979369,5248751,5546576,5751729,5923672,6178233
"49000","Utah","7","SA5N 1/","511","321","          Wood product manufacturing",66137,73860,76703,77004,78174,89783,98611,113991,138990,167932,145514,82786,"(D)","(D)",75786,87465,97670,"(NA)"
"49000","Utah","7","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",198601,202784,214662,213748,200428,210291,228493,258761,312620,363687,346414,278769,264814,283946,301598,310039,328083,"(NA)"
"49000","Utah","7","SA5N 1/","513","331","          Primary metal manufacturing",368038,275115,302479,291783,203174,189453,205906,221778,248751,270576,323666,255132,280323,324140,352411,356903,343290,"(NA)"
"49000","Utah","7","SA5N 1/","514","332","          Fabricated metal product manufacturing",417004,446646,465888,478224,469632,468332,506604,561646,624974,656915,698081,642603,630681,664376,737916,768603,791030,"(NA)"
"49000","Utah","7","SA5N 1/","515","333","          Machinery manufacturing",286854,282727,291921,305576,288786,278414,279689,312848,342225,372569,397809,366489,360958,381478,381839,394539,413019,"(NA)"
"49000","Utah","7","SA5N 1/","516","334","          Computer and electronic product manufacturing",681673,737519,821843,896119,742327,701194,732478,737434,804414,1010550,1111863,1032057,1118910,1181845,1279446,1261426,1212890,"(NA)"
"49000","Utah","7","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",54813,59771,57158,55198,55754,56399,62862,70482,79943,94293,105569,99042,105699,116011,131163,144637,170148,"(NA)"
"49000","Utah","7","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",388835,347381,369003,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",321972,334386,354767,"(NA)"
"49000","Utah","7","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",488018,482382,481426,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",685264,648839,664455,702702,736410,"(NA)"
"49000","Utah","7","SA5N 1/","521","337","          Furniture and related product manufacturing",211930,238600,251889,248202,261430,267654,291677,307530,352161,383690,347561,241342,216246,223038,216869,228174,239828,"(NA)"
"49000","Utah","7","SA5N 1/","522","339","          Miscellaneous manufacturing",519605,566358,602312,640740,687954,827946,866382,902079,926983,968228,1011760,958364,978432,1047703,1083121,1162855,1236537,"(NA)"
"49000","Utah","7","SA5N 1/","530","311-316,322-326","        Nondurable goods manufacturing",1587992,1890180,1750345,1859440,1784906,1775171,1930459,1970557,2157241,2222189,2380744,2245284,2305169,2423771,2510252,2621045,2720893,2848026
"49000","Utah","7","SA5N 1/","531","311","          Food manufacturing",417194,449931,465103,482836,545033,562020,589979,579806,593700,645302,726231,740913,747502,794168,829629,849353,896594,"(NA)"
"49000","Utah","7","SA5N 1/","532","312","          Beverage and tobacco product manufacturing",19945,22627,24486,26179,25153,26114,27919,28684,32058,36020,37875,39666,43587,45414,51795,51675,49730,"(NA)"
"49000","Utah","7","SA5N 1/","533","313","          Textile mills","(T)","(T)","(T)",8309,6455,6641,7445,8566,10738,14414,12532,10154,13659,15368,17127,15354,17012,"(NA)"
"49000","Utah","7","SA5N 1/","534","314","          Textile product mills",33857,30498,28255,24851,23563,24033,27393,30601,32990,33198,35031,30252,29644,28913,32232,36143,37134,"(NA)"
"49000","Utah","7","SA5N 1/","535","315","          Apparel manufacturing",30370,28046,26275,21714,23088,18933,19496,17608,18558,16421,16732,16262,15468,14946,18330,18591,20655,"(NA)"
"49000","Utah","7","SA5N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)",5355,5315,5607,5046,5322,6126,5473,4886,4557,5311,5192,5814,6744,7557,"(NA)"
"49000","Utah","7","SA5N 1/","537","322","          Paper manufacturing",105125,108428,116045,123692,129770,133972,142156,142913,152435,156951,162462,165971,170599,183024,184216,201560,197877,"(NA)"
