"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"50000","Vermont","1","SA5N 1/","10","...","Personal income (thousands of dollars)",15243736,16144857,17408180,18346953,18811949,19634905,20861783,21336918,22796077,23979255,25035599,24535499,25073118,26771396,27729733,28107555,29090044,29967864
"50000","Vermont","1","SA5N 1/","20","...","Population (persons) 2/",600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625792,626450,626138,626855,626562,626107
"50000","Vermont","1","SA5N 1/","30","...","Per capita personal income (dollars) 3/",25389,26700,28556,29968,30567,31779,33652,34347,36597,38460,40111,39268,40066,42735,44287,44839,46428,47864
"50000","Vermont","1","SA5N 1/","35","...","  Earnings by place of work",10800869,11560961,12494537,13174899,13641264,14235306,15093412,15623333,16096049,16573850,16995743,16587083,17047650,17955200,18497338,18998987,19608483,20119382
"50000","Vermont","1","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",1266186,1343310,1434683,1522650,1553544,1621840,1709998,1796115,1884118,1991077,2053812,2031973,2056464,1929118,2002016,2313661,2408790,2474325
"50000","Vermont","1","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",659362,703732,749029,800736,825696,863410,915009,967267,1021407,1086465,1110290,1094798,1102806,911084,926525,1208873,1266981,1303660
"50000","Vermont","1","SA5N 1/","38","...","    Employer contributions for government social insurance",606824,639578,685654,721914,727848,758430,794989,828848,862711,904612,943522,937175,953658,1018034,1075491,1104788,1141809,1170665
"50000","Vermont","1","SA5N 1/","42","...","  plus: Adjustment for residence 5/",172708,194009,225288,244596,239817,237502,264222,271143,292967,310533,301923,336541,346152,297614,312925,318337,343364,359822
"50000","Vermont","1","SA5N 1/","45","...","  equals: Net earnings by place of residence",9707391,10411660,11285142,11896845,12327537,12850968,13647636,14098361,14504898,14893306,15243854,14891651,15337338,16323696,16808247,17003663,17543057,18004880
"50000","Vermont","1","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",3419264,3469232,3685828,3777590,3629926,3794672,4091587,3835227,4506845,4906911,5128888,4584002,4389082,5047474,5389665,5319057,5516912,5729652
"50000","Vermont","1","SA5N 1/","47","...","  plus: Personal current transfer receipts",2117081,2263965,2437210,2672518,2854486,2989265,3122560,3403330,3784334,4179038,4662857,5059846,5346698,5400226,5531821,5784835,6030075,6233333
"50000","Vermont","1","SA5N 1/","50","...","  Wages and salaries",7750545,8247312,8892966,9346529,9562295,9875081,10383822,10723977,11224891,11663959,12066713,11812026,12032882,12383122,12799748,13203795,13652827,14097244
"50000","Vermont","1","SA5N 1/","60","...","  Supplements to wages and salaries",1726626,1889517,2051829,2193994,2353799,2554783,2753839,2921250,2872010,3040002,3182400,3045300,3091427,3431220,3483527,3608348,3587207,3647587
"50000","Vermont","1","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",1119802,1249939,1366175,1472080,1625951,1796353,1958850,2092402,2009299,2135390,2238878,2108125,2137769,2413186,2408036,2503560,2445398,2476922
"50000","Vermont","1","SA5N 1/","62","...","    Employer contributions for government social insurance",606824,639578,685654,721914,727848,758430,794989,828848,862711,904612,943522,937175,953658,1018034,1075491,1104788,1141809,1170665
"50000","Vermont","1","SA5N 1/","70","...","  Proprietors' income 8/",1323698,1424132,1549742,1634376,1725170,1805442,1955751,1978106,1999148,1869889,1746630,1729757,1923341,2140858,2214063,2186844,2368449,2374552
"50000","Vermont","1","SA5N 1/","71","...","    Farm proprietors' income",80835,93161,87413,80871,27907,69324,116080,139322,48859,135210,69200,-18417,54576,144375,88685,145818,199903,83070
"50000","Vermont","1","SA5N 1/","72","...","    Nonfarm proprietors' income",1242863,1330971,1462329,1553505,1697263,1736118,1839671,1838784,1950289,1734679,1677430,1748174,1868765,1996483,2125378,2041026,2168546,2291482
"50000","Vermont","1","SA5N 1/","81","111-112","  Farm earnings",136386,146175,150538,149201,115000,147958,193038,201542,117737,218440,146060,54514,123511,203652,181800,241947,307631,194478
