"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"55000","Wisconsin","3","SA5N 1/","10","...","Personal income (thousands of dollars)",142484680,148286535,157900833,164764680,169128407,174812203,183894824,190293393,202289270,211378404,219886069,217246585,220826360,233131994,243096269,245437590,254404802,263301072
"55000","Wisconsin","3","SA5N 1/","20","...","Population (persons) 2/",5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5689268,5708785,5724888,5742953,5757564,5771984
"55000","Wisconsin","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",26896,27807,29382,30473,31060,31905,33350,34311,36268,37674,38980,38320,38815,40837,42463,42737,44186,45617
"55000","Wisconsin","3","SA5N 1/","35","...","  Earnings by place of work",106574610,112671109,119032414,123995579,128346136,133696159,141386842,145745006,152207065,157093118,160967926,156670221,158212235,166203395,171999825,176477450,182687024,188492734
"55000","Wisconsin","3","SA5N 1/","36","...","  less: Contributions for government social insurance 4/",12475865,13251549,13900556,14201539,14588449,15069893,15872703,16516902,17407080,17981134,18532672,18012711,18428101,17293989,17813810,20622338,21344568,22108982
"55000","Wisconsin","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6287117,6722710,7040555,7250837,7499471,7731182,8137937,8489691,9021241,9403558,9683946,9395977,9521612,7818057,8045938,10623734,11102872,11527960
"55000","Wisconsin","3","SA5N 1/","38","...","    Employer contributions for government social insurance",6188748,6528839,6860001,6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8906489,9475932,9767872,9998604,10241696,10581022
"55000","Wisconsin","3","SA5N 1/","42","...","  plus: Adjustment for residence 5/",2308788,2479867,2710600,2850866,2652908,2570663,2915058,3090766,3366456,3696256,3769024,3387347,3428994,3641984,3669781,3753723,3930612,4117550
"55000","Wisconsin","3","SA5N 1/","45","...","  equals: Net earnings by place of residence",96407533,101899427,107842458,112644906,116410595,121196929,128429197,132318870,138166441,142808240,146204278,142044857,143213128,152551390,157855796,159608835,165273068,170501302
"55000","Wisconsin","3","SA5N 1/","46","...","  plus: Dividends, interest, and rent 6/",28830179,28432950,30764215,30591135,29560792,29761830,30910766,31663246,36201458,38330675,39792381,36015002,35576051,39901192,43763503,43433151,45103691,46987456
"55000","Wisconsin","3","SA5N 1/","47","...","  plus: Personal current transfer receipts",17246968,17954158,19294160,21528639,23157020,23853444,24554861,26311277,27921371,30239489,33889410,39186726,42037181,40679412,41476970,42395604,44028043,45812314
