"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"09000","Connecticut","1","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",82151835,86970781,93817693,97495092,97040556,99863177,106191881,110764270,115423561,122699847,124350263,118711054,120863171,125189473,127915811,129713534,134197450,137011639
"09000","Connecticut","1","SA6N","5","...","  Wages and salaries",68510384,72496956,78195987,80744831,79836332,81440706,85981990,89732775,94442932,100659186,101501573,96206697,97848445,101598704,104278374,105442854,109035644,111425449
"09000","Connecticut","1","SA6N","6","...","  Supplements to wages and salaries",13641451,14473825,15621706,16750261,17204224,18422471,20209891,21031495,20980629,22040661,22848690,22504357,23014726,23590769,23637437,24270680,25161806,25586190
"09000","Connecticut","1","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",8969212,9628374,10460354,11444510,11558223,12655008,14160375,14850773,14707225,15498243,16093842,15882011,16374300,16635251,16454330,16952661,17672348,18010073
"09000","Connecticut","1","SA6N","8","...","    Employer contributions for government social insurance",4672239,4845451,5161352,5305751,5646001,5767463,6049516,6180722,6273404,6542418,6754848,6622346,6640426,6955518,7183107,7318019,7489458,7576118
"09000","Connecticut","1","SA6N","9","...","Average compensation per job (dollars) 3/",48059,50188,53400,55606,55762,58096,61559,63864,65902,69425,70259,69861,72238,74156,74974,75504,77379,"(NA)"
"09000","Connecticut","1","SA6N","81","111-112","  Farm compensation",121748,113802,132961,140593,175828,157453,152658,122381,136009,159848,152589,145081,137338,119827,174361,179838,201144,207833
"09000","Connecticut","1","SA6N","82","...","  Nonfarm compensation",82030087,86856979,93684732,97354499,96864728,99705724,106039223,110641889,115287552,122539999,124197674,118565973,120725833,125069646,127741450,129533696,133996306,136803806
"09000","Connecticut","1","SA6N","90","113-814","    Private nonfarm compensation",70161007,74192472,80125310,82831071,81601460,83841095,89301893,93146168,97567117,103833354,104580768,98783674,100703046,104594688,107481266,108929085,112895688,115375013
"09000","Connecticut","1","SA6N","100","113-115","      Forestry, fishing, and related activities",22510,22074,24303,17661,17949,18661,21596,19958,23715,23525,22196,24363,22269,21845,22749,23046,25612,26673
"09000","Connecticut","1","SA6N","101","113","        Forestry and logging","(T)","(T)",2221,968,989,1158,1384,881,832,418,253,148,156,250,106,"(D)",147,"(NA)"
"09000","Connecticut","1","SA6N","102","114","        Fishing, hunting and trapping",5637,"(T)",3973,2914,2588,2630,3116,2810,3303,3368,2874,3536,3717,4304,4813,"(D)",4279,"(NA)"
"09000","Connecticut","1","SA6N","103","115","        Support activities for agriculture and forestry",15013,15644,18109,13779,14372,14873,17096,16267,19580,19739,19069,20679,18396,17291,17830,18520,21186,"(NA)"
"09000","Connecticut","1","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",41524,46429,45340,45632,44846,48269,49260,49648,55737,53528,58721,49820,47356,44883,43966,43628,47439,50498
"09000","Connecticut","1","SA6N","201","211","        Oil and gas extraction",474,441,597,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,"(NA)"
"09000","Connecticut","1","SA6N","202","212","        Mining (except oil and gas)",38254,42906,42162,"(D)",43333,47175,47388,48275,53029,50795,54926,47050,43063,39052,39231,38702,41890,"(NA)"
"09000","Connecticut","1","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)",1513,1094,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",5831,4735,4926,5549,"(NA)"
"09000","Connecticut","1","SA6N","300","22","      Utilities",780980,819396,864759,968553,908481,945226,1125051,1009127,896471,950876,1009140,966440,905348,952089,860799,910074,906538,928574
"09000","Connecticut","1","SA6N","400","23","      Construction",3051644,3322145,3708444,3859959,3775890,3719959,4084858,4214240,4348678,4699476,4650687,3926264,3658081,3731305,3798136,3972071,4271366,4620068
"09000","Connecticut","1","SA6N","401","236","        Construction of buildings",668676,759953,810062,847654,859042,869191,949516,976840,1011187,1084891,1045712,852334,777953,800172,809759,829426,888747,"(NA)"
