"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"18000","Indiana","3","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",105680855,111579510,117518007,118809187,121029977,124796186,131056236,135591047,141287068,145751142,147851612,138752332,142851097,148433278,155449561,158029833,164793074,171722039
"18000","Indiana","3","SA6N","5","...","  Wages and salaries",87044130,91587831,95775772,96496186,98009747,100524218,105582202,108670096,113132985,116663683,118169279,111500175,114449316,119250104,124676083,127632526,132381851,137834005
"18000","Indiana","3","SA6N","6","...","  Supplements to wages and salaries",18636725,19991679,21742235,22313001,23020230,24271968,25474034,26920951,28154083,29087459,29682333,27252157,28401781,29183174,30773478,30397307,32411223,33888034
"18000","Indiana","3","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",12319427,13382184,14846343,15365849,15929519,16883693,17704189,18778823,19684526,20427111,20874554,18847729,19807275,20119002,21313264,20699416,22380425,23523001
"18000","Indiana","3","SA6N","8","...","    Employer contributions for government social insurance",6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8594506,9064172,9460214,9697891,10030798,10365033
"18000","Indiana","3","SA6N","9","...","Average compensation per job (dollars) 3/",35177,36461,37997,39213,40372,41737,43454,44674,46170,47379,48568,48191,49645,50830,52194,52481,53896,"(NA)"
"18000","Indiana","3","SA6N","81","111-112","  Farm compensation",275994,263293,261571,286869,268544,303997,342840,320697,301946,351027,331401,366035,390237,363656,431090,446104,506113,526116
"18000","Indiana","3","SA6N","82","...","  Nonfarm compensation",105404861,111316217,117256436,118522318,120761433,124492189,130713396,135270350,140985122,145400115,147520211,138386297,142460860,148069622,155018471,157583729,164286961,171195923
"18000","Indiana","3","SA6N","90","113-814","    Private nonfarm compensation",90960933,95909752,100810113,101381366,102896882,105578348,110697437,114412425,119777653,123339744,124452314,114757513,118578001,123909065,131000612,133937147,140299083,146710815
"18000","Indiana","3","SA6N","100","113-115","      Forestry, fishing, and related activities",67839,70735,74524,69505,65140,69481,84180,81848,96876,99958,86231,90887,93541,93601,105394,107117,156342,142816
"18000","Indiana","3","SA6N","101","113","        Forestry and logging",10022,10979,11729,"(D)",13083,13396,17542,17161,17628,18758,15691,13174,13447,"(D)","(D)","(D)",13262,"(NA)"
"18000","Indiana","3","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",744,751,774,526,509,430,426,464,322,"(D)","(D)","(D)",546,"(NA)"
"18000","Indiana","3","SA6N","103","115","        Support activities for agriculture and forestry",56286,58253,61248,55575,51313,55334,65864,64161,78739,80770,70114,77249,79772,82310,93503,95104,142534,"(NA)"
"18000","Indiana","3","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",381408,375478,386805,385307,380078,392956,412821,406239,454239,471821,471357,447044,474397,508800,537375,554901,589390,561752
"18000","Indiana","3","SA6N","201","211","        Oil and gas extraction",5148,4892,4777,5851,4384,4956,5689,5542,7400,12382,10183,9929,14428,15093,20388,19799,22544,"(NA)"
"18000","Indiana","3","SA6N","202","212","        Mining (except oil and gas)",370953,365727,377525,372985,368694,381762,399138,390880,439632,449147,445707,423461,445364,476020,493570,502423,525431,"(NA)"
"18000","Indiana","3","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)",6471,7000,6238,7994,9817,7207,10292,15467,13654,14605,17687,23417,32679,41415,"(NA)"
"18000","Indiana","3","SA6N","300","22","      Utilities",993688,1034557,1043809,1251745,1257062,1226604,1294310,1324851,1487509,1479037,1604312,1618284,1671473,1720095,1650837,1726757,1784725,1898182
"18000","Indiana","3","SA6N","400","23","      Construction",6165844,6505303,6785312,6799547,6846325,7061933,7369388,7605212,7910100,8428405,8498233,7110870,7225356,7737367,8466718,8271026,8195352,8645982
"18000","Indiana","3","SA6N","401","236","        Construction of buildings",1626444,1775472,1815249,1856940,1881066,1991604,2050200,2084263,2174743,2308373,2225004,1750119,1852064,1921908,2096753,1982109,1988755,"(NA)"
