"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"27000","Minnesota","4","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",100256974,106850165,115681875,120034239,122576738,127344649,134481450,138455817,143158628,151642948,156530980,149065462,153280066,160411810,165456874,170343658,178382966,187023165
"27000","Minnesota","4","SA6N","5","...","  Wages and salaries",83033201,88595038,95704176,98980854,100662677,103499892,109164047,111852874,116907328,123653666,127172794,121111366,124258116,129121233,135388731,139573509,145925536,153118029
"27000","Minnesota","4","SA6N","6","...","  Supplements to wages and salaries",17223773,18255127,19977699,21053385,21914061,23844757,25317403,26602943,26251300,27989282,29358186,27954096,29021950,31290577,30068143,30770149,32457430,33905137
"27000","Minnesota","4","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",11002413,11652682,12886239,13738286,14445321,15952454,16973545,17882742,17198886,18635637,19777699,18722310,19620865,21278151,19611048,19870853,21392677,22466520
"27000","Minnesota","4","SA6N","8","...","    Employer contributions for government social insurance",6221360,6602445,7091460,7315099,7468740,7892303,8343858,8720201,9052414,9353645,9580487,9231786,9401085,10012426,10457095,10899296,11064753,11438617
"27000","Minnesota","4","SA6N","9","...","Average compensation per job (dollars) 3/",37950,39517,41968,43514,44725,46561,48758,49530,50638,53331,55285,54624,56552,58309,59274,60096,61991,"(NA)"
"27000","Minnesota","4","SA6N","81","111-112","  Farm compensation",512914,488701,576375,566547,612207,540562,511948,486646,474341,601828,533393,732997,629984,492533,794906,609939,642303,660584
"27000","Minnesota","4","SA6N","82","...","  Nonfarm compensation",99744060,106361464,115105500,119467692,121964531,126804087,133969502,137969171,142684287,151041120,155997587,148332465,152650082,159919277,164661968,169733719,177740663,186362581
"27000","Minnesota","4","SA6N","90","113-814","    Private nonfarm compensation",84652553,90505978,98142734,101709554,103112372,107171371,113401136,116668402,120624827,128071246,131930481,123680898,127673955,135138385,139804797,144114216,151299321,159331514
"27000","Minnesota","4","SA6N","100","113-115","      Forestry, fishing, and related activities",96428,101545,107628,107347,115577,121359,146088,141483,155741,160479,170307,182256,188000,202456,219197,219115,234999,262188
"27000","Minnesota","4","SA6N","101","113","        Forestry and logging",28474,29862,31750,29486,30360,31767,38551,36108,35628,36133,36259,38207,39374,44342,42923,40339,45135,"(NA)"
"27000","Minnesota","4","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",1367,1541,1723,2519,2291,2904,3423,3463,2830,2978,3232,3930,3492,4171,"(NA)"
"27000","Minnesota","4","SA6N","103","115","        Support activities for agriculture and forestry",65646,69569,73548,76494,83676,87869,105018,103084,117209,120923,130585,141219,145648,154882,172344,175284,185693,"(NA)"
"27000","Minnesota","4","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",425165,406370,415458,367359,333956,351930,365296,376362,407162,413528,485601,342329,467919,571833,624788,634211,656506,596183
"27000","Minnesota","4","SA6N","201","211","        Oil and gas extraction","(T)","(T)",345,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27000","Minnesota","4","SA6N","202","212","        Mining (except oil and gas)",424464,405443,414315,366142,332848,350588,363688,374246,403914,407964,477286,331278,448945,532375,589482,605061,629184,"(NA)"
"27000","Minnesota","4","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27000","Minnesota","4","SA6N","300","22","      Utilities",851989,892546,930736,1140239,1157381,1103329,1221535,1215676,1298184,1333742,1454086,1440226,1532836,1670590,1572917,1708775,1739132,1850171
"27000","Minnesota","4","SA6N","400","23","      Construction",5055776,5905725,6544852,6697181,6892333,7116399,7489378,7476953,7508614,7551152,7257170,6147505,5795542,6248330,6649044,7255320,7995220,8951882
"27000","Minnesota","4","SA6N","401","236","        Construction of buildings",1179888,1366667,1536037,1625541,1695660,1741703,1842447,1900629,1881525,1892411,1789754,1397521,1334069,1430528,1500642,1638063,1844834,"(NA)"
"27000","Minnesota","4","SA6N","402","237","        Heavy and civil engineering construction",748830,853083,897977,915008,986272,1007065,1063753,1025618,1056589,1093965,1120107,1133510,1067058,1114165,1210006,1321124,1418914,"(NA)"
"27000","Minnesota","4","SA6N","403","238","        Specialty trade contractors",3127058,3685975,4110838,4156632,4210401,4367631,4583178,4550706,4570500,4564776,4347309,3616474,3394415,3703637,3938396,4296133,4731472,"(NA)"
"27000","Minnesota","4","SA6N","500","31-33","      Manufacturing",18063725,18776883,19778607,19707495,19518746,20141513,21074706,21388518,21696824,22367978,22525516,20252895,20747553,22008957,22476416,22714510,23807721,24918651
