"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"34000","New Jersey","2","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",182285287,191700198,209700203,214128301,219530014,226450598,237178914,247813726,258448767,269445759,274437101,266172592,268872224,274475425,283064701,289075181,298490294,309839203
"34000","New Jersey","2","SA6N","5","...","  Wages and salaries",150785679,159052400,174304126,177042075,179841170,184583153,192465013,199878257,210426497,219786983,224109424,214843730,217259794,221689298,228107102,233950734,240627536,249982604
"34000","New Jersey","2","SA6N","6","...","  Supplements to wages and salaries",31499608,32647798,35396077,37086226,39688844,41867445,44713901,47935469,48022270,49658776,50327677,51328862,51612430,52786127,54957599,55124447,57862758,59856599
"34000","New Jersey","2","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",20262260,20948023,22779323,23984322,26398536,28513531,30745123,33384995,33115676,33733786,33957257,35345056,35227003,35726156,37369650,37055472,39437225,40891746
"34000","New Jersey","2","SA6N","8","...","    Employer contributions for government social insurance",11237348,11699775,12616754,13101904,13290308,13353914,13968778,14550474,14906594,15924990,16370420,15983806,16385427,17059971,17587949,18068975,18425533,18964853
"34000","New Jersey","2","SA6N","9","...","Average compensation per job (dollars) 3/",47029,48814,51683,52748,54176,55992,58226,60357,62414,64882,66512,67068,68731,70221,71841,72631,74211,"(NA)"
"34000","New Jersey","2","SA6N","81","111-112","  Farm compensation",176794,165658,195429,206757,258284,235289,235781,195370,225412,273874,257729,245060,233736,202901,272359,277929,311675,322531
"34000","New Jersey","2","SA6N","82","...","  Nonfarm compensation",182108493,191534540,209504774,213921544,219271730,226215309,236943133,247618356,258223355,269171885,274179372,265927532,268638488,274272524,282792342,288797252,298178619,309516672
"34000","New Jersey","2","SA6N","90","113-814","    Private nonfarm compensation",151953425,160019450,176342404,178562245,181752802,186133761,194128908,202703565,211922596,220659752,223732104,213819771,216093579,222755050,231200834,236399025,244917149,256148822
"34000","New Jersey","2","SA6N","100","113-115","      Forestry, fishing, and related activities",65233,66355,76979,65912,69299,68561,79690,75741,81319,85725,88695,102288,110485,108625,119795,106120,135032,145121
"34000","New Jersey","2","SA6N","101","113","        Forestry and logging","(T)","(T)","(T)",1970,1912,1895,1758,1988,1418,1973,2162,2128,1915,1979,2440,2309,1586,"(NA)"
"34000","New Jersey","2","SA6N","102","114","        Fishing, hunting and trapping",19460,19243,20248,12817,11938,11417,13612,11775,11161,10888,12848,14272,15316,12575,12752,12080,12407,"(NA)"
"34000","New Jersey","2","SA6N","103","115","        Support activities for agriculture and forestry",41770,43113,52498,51125,55449,55249,64320,61978,68740,72864,73685,85888,93254,94071,104603,91731,121039,"(NA)"
"34000","New Jersey","2","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",141629,129247,122181,116692,90257,98471,109875,118948,119570,118412,123518,117454,112921,106455,110117,118265,125831,139397
"34000","New Jersey","2","SA6N","201","211","        Oil and gas extraction",873,1024,1191,"(D)",1171,1159,3222,6886,2984,"(D)","(D)",8230,5843,5372,5681,5469,6209,"(NA)"
"34000","New Jersey","2","SA6N","202","212","        Mining (except oil and gas)",136695,124468,117402,110825,82992,92222,101314,104524,110265,107511,108567,94711,95052,84675,86919,93738,100132,"(NA)"
"34000","New Jersey","2","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)",6094,5090,5339,7538,6321,"(D)","(D)",14513,12026,16408,17517,19058,19490,"(NA)"
"34000","New Jersey","2","SA6N","300","22","      Utilities",1260088,1298732,1491140,1577101,1609028,1580834,1645728,1609868,1694838,1629665,1574627,1540698,1964725,2012359,2006310,1995984,2115936,2370818
"34000","New Jersey","2","SA6N","400","23","      Construction",7459459,8152896,9218274,9715182,10100539,10052696,10635555,10992702,11726138,12133124,12112285,10464725,9883923,10000230,10222378,11015415,11632409,12719627
"34000","New Jersey","2","SA6N","401","236","        Construction of buildings",1735609,1866829,2099082,2141499,2272367,2404737,2619064,2804429,2928359,2926652,2766897,2352503,2153170,2109720,2156374,2319735,2536934,"(NA)"
"34000","New Jersey","2","SA6N","402","237","        Heavy and civil engineering construction",1050847,1140843,1274081,1359288,1417507,1267731,1335324,1350428,1448595,1546994,1712805,1649266,1642522,1665516,1773323,2020879,2125241,"(NA)"
"34000","New Jersey","2","SA6N","403","238","        Specialty trade contractors",4673003,5145224,5845111,6214395,6410665,6380228,6681167,6837845,7349184,7659478,7632583,6462956,6088231,6224994,6292681,6674801,6970234,"(NA)"
"34000","New Jersey","2","SA6N","500","31-33","      Manufacturing",23970351,24311234,26059866,25582645,24513938,24833975,25275709,25805750,26372038,26437524,26450410,24128100,24165995,24025728,23736721,23645157,24631199,23343916
"34000","New Jersey","2","SA6N","510","321,327-339","        Durable goods manufacturing",10009651,10149883,10982152,10913273,10190422,10197254,10357677,10377561,10698437,10826802,10750623,9727399,9558525,9884636,9883674,9766459,9998321,10314528
