"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"94000","Plains","4","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",338216867,358358983,382255221,395524616,405422930,419640448,441820158,459798900,481371504,507785051,528218747,512247507,521996865,540798873,564425925,580275493,606062963,629208595
"94000","Plains","4","SA6N","5","...","  Wages and salaries",278627435,295033309,313938351,323892371,330151581,339201484,356062752,369353233,388762364,410366145,426206972,411255402,418291793,433919886,456094090,468671705,490860919,510530069
"94000","Plains","4","SA6N","6","...","  Supplements to wages and salaries",59589432,63325674,68316870,71632245,75271349,80438964,85757406,90445667,92609140,97418906,102011775,100992105,103705072,106878987,108331835,111603788,115202044,118678526
"94000","Plains","4","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",38382868,41038693,44752883,47398865,50499425,54569601,58673020,62110668,62829923,66599282,70022571,69708359,71666330,73121279,73356682,75573107,78155037,80614274
"94000","Plains","4","SA6N","8","...","    Employer contributions for government social insurance",21206564,22286981,23563987,24233380,24771924,25869363,27084386,28334999,29779217,30819624,31989204,31283746,32038742,33757708,34975153,36030681,37047007,38064253
"94000","Plains","4","SA6N","9","...","Average compensation per job (dollars) 3/",33997,35404,37280,38649,39892,41426,43243,44505,45956,47983,49802,49847,51273,52593,54015,54799,56406,"(NA)"
"94000","Plains","4","SA6N","81","111-112","  Farm compensation",2107535,1998230,2172999,2349624,2266915,2362939,2474722,2276084,2225797,3090037,3002105,2979202,2819584,2807065,3753290,3184905,3783955,3904532
"94000","Plains","4","SA6N","82","...","  Nonfarm compensation",336109332,356360753,380082222,393174992,403156015,417277509,439345436,457522816,479145707,504695014,525216642,509268305,519177281,537991808,560672635,577090588,602279008,625304063
"94000","Plains","4","SA6N","90","113-814","    Private nonfarm compensation",277954219,294934266,314871653,324490896,330549411,340726442,358731408,373775923,391455536,412845197,428561379,408799278,416157784,434591475,456921737,471778808,494706831,515605401
"94000","Plains","4","SA6N","100","113-115","      Forestry, fishing, and related activities",451158,473459,516875,492406,512383,579096,665769,660903,723824,750445,816104,915835,955075,1020869,1155158,1197052,1261003,1297386
"94000","Plains","4","SA6N","101","113","        Forestry and logging",49406,54750,54778,43306,44906,45684,54897,52908,53142,53182,51137,51448,52722,59940,58495,54407,60778,"(NA)"
"94000","Plains","4","SA6N","102","114","        Fishing, hunting and trapping",15379,16750,19424,2864,3304,3561,4776,4381,5379,6115,6016,5291,5375,5809,6766,6562,7981,"(NA)"
"94000","Plains","4","SA6N","103","115","        Support activities for agriculture and forestry",386373,401959,442673,446236,464173,529851,606096,603614,665303,691148,758951,859096,896978,955120,1089897,1136083,1192244,"(NA)"
"94000","Plains","4","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",1338158,1288546,1344825,1388210,1243972,1354019,1501564,1714170,1819897,1971024,2343319,1953153,2483208,3399108,4526592,4790431,5475299,4496100
"94000","Plains","4","SA6N","201","211","        Oil and gas extraction",169761,148213,168778,174876,"(D)",163628,166714,176109,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA6N","202","212","        Mining (except oil and gas)",1006253,989388,1001094,995699,"(D)",966789,1040563,1169335,1089859,1114259,1223855,1024873,1159345,1299468,1402708,"(D)","(D)","(NA)"
"94000","Plains","4","SA6N","203","213","        Support activities for mining",162144,150945,174953,217635,189520,223602,294287,368726,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA6N","300","22","      Utilities",2990995,3151701,3226729,4027572,4285710,3917505,4217130,4189619,4525894,4774762,5137498,5143309,5276292,5601494,5304870,5557116,5746372,5896898
"94000","Plains","4","SA6N","400","23","      Construction",17924242,20330926,21734929,22045437,22360772,23032653,24172865,25122853,26289482,27449278,27864780,24875808,23256717,23804133,25717413,27616998,30460446,32952045
"94000","Plains","4","SA6N","401","236","        Construction of buildings",4281520,4837525,5145662,5157877,"(D)",5405348,5728037,6008570,6301054,6669582,6667587,5568524,5154958,5211637,5494191,5928223,6663800,"(NA)"
"94000","Plains","4","SA6N","402","237","        Heavy and civil engineering construction",2994943,3345063,3429425,3460187,"(D)",3601132,3761002,3911532,4060384,4287128,4535423,4575471,4295174,4433903,4967777,5276711,5875943,"(NA)"
"94000","Plains","4","SA6N","403","238","        Specialty trade contractors",10647779,12148338,13159842,13427373,13603404,14026173,14683826,15202751,15928044,16492568,16661770,14731813,13806585,14158593,15255445,16412064,17920703,"(NA)"
"94000","Plains","4","SA6N","500","31-33","      Manufacturing",59574509,61214744,63923947,64212831,63404794,64242070,67607163,69581236,71890747,74120314,75329183,67467517,67887955,70681518,73232879,74667532,77903235,80115588
"94000","Plains","4","SA6N","510","321,327-339","        Durable goods manufacturing",38819855,39558729,41555612,41429288,40504410,41006281,44016452,45583370,47404878,48760329,48621442,42659155,42625039,45082982,46684607,47805864,49801118,50914496
"94000","Plains","4","SA6N","511","321","          Wood product manufacturing",1566260,1716483,1831971,1845267,1882049,1980845,2096179,2253706,2240988,2170463,1990940,1603914,1576412,"(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA6N","512","327","          Nonmetallic mineral product manufacturing",1596729,1697480,1831072,1840012,1846318,1842213,1940276,2018072,2070414,2097802,2051531,1770835,1759856,1819590,1914718,1914994,2024775,"(NA)"
"94000","Plains","4","SA6N","513","331","          Primary metal manufacturing",1541180,1597442,1593952,"(D)","(D)","(D)","(D)",1712213,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA6N","514","332","          Fabricated metal product manufacturing",5724718,5826822,6093252,5817544,5643225,5674668,6041652,6339823,6618029,7012647,7180752,6288245,6277686,6706352,7214140,7467560,7582601,"(NA)"
"94000","Plains","4","SA6N","515","333","          Machinery manufacturing",7219142,7185383,7598366,7359552,6942610,7032092,7520934,7960464,8330674,8777720,9163383,8014054,8260272,9148660,9806414,9863406,10202604,"(NA)"
"94000","Plains","4","SA6N","516","334","          Computer and electronic product manufacturing",6054144,6258739,6567084,6514966,6371385,6508931,6869882,7073871,7337340,7542044,7684262,7074229,7100127,7437203,7580545,7694863,8108585,"(NA)"
"94000","Plains","4","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",2089526,2276223,2447874,2440604,2270954,2262364,2337918,2385123,2478452,2491742,2379402,2127522,2107046,2234199,2257755,2264870,2308533,"(NA)"
"94000","Plains","4","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",4543901,4356076,4804156,"(D)","(D)","(D)","(D)",4878680,"(D)","(D)","(D)",3274940,"(D)",3419715,3411546,"(D)",3899913,"(NA)"
"94000","Plains","4","SA6N","519","3364-3369","          Other transportation equipment manufacturing",4567260,4567850,4457540,5103799,5002685,"(D)","(D)",5623243,6233809,6393829,6455554,"(D)","(D)",5834837,5944097,6471981,6563652,"(NA)"
"94000","Plains","4","SA6N","521","337","          Furniture and related product manufacturing",1587958,1702653,1846364,1798165,1813873,1868955,1990329,2074655,2104237,2101981,1969587,1537256,1486392,1431406,1493789,1541121,"(D)","(NA)"
"94000","Plains","4","SA6N","522","339","          Miscellaneous manufacturing",2329037,2373578,2483981,2674345,2675384,2907029,3288987,3263520,3366441,3592653,3667705,3641466,3696667,3702463,3593387,3633639,3827763,"(NA)"
"94000","Plains","4","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",20754654,21656015,22368335,22783543,22900384,23235789,23590711,23997866,24485869,25359985,26707741,24808362,25262916,25598536,26548272,26861668,28102117,29201093
"94000","Plains","4","SA6N","531","311","          Food manufacturing",7823811,8243157,8562045,8789980,8924248,9231352,9295420,9348061,9572726,9991669,10300009,10454444,10845291,10821147,11309863,11535188,12061448,"(NA)"
"94000","Plains","4","SA6N","532","312","          Beverage and tobacco product manufacturing",556880,631632,653097,733026,775741,762490,774700,781269,768387,858632,1548985,853754,760350,797817,859975,866704,963480,"(NA)"
"94000","Plains","4","SA6N","533","313","          Textile mills",71548,79883,83323,"(D)","(D)","(D)","(D)",58338,66780,74207,76827,66209,62030,59021,53872,57514,61238,"(NA)"
"94000","Plains","4","SA6N","534","314","          Textile product mills",253057,278885,292835,277951,280760,272559,266777,274444,285322,315542,327233,288362,285557,291270,303281,303623,314364,"(NA)"
"94000","Plains","4","SA6N","535","315","          Apparel manufacturing",456243,427612,359895,323489,"(D)","(D)",291513,274870,267779,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA6N","536","316","          Leather and allied product manufacturing",231831,235952,230778,239819,"(D)",239279,"(D)","(D)","(D)",247468,213046,191310,116720,141159,146097,"(D)",169520,"(NA)"
"94000","Plains","4","SA6N","537","322","          Paper manufacturing",1773174,1879439,1923522,"(D)","(D)","(D)","(D)","(D)","(D)",1870791,"(D)","(D)","(D)","(D)",1841008,1811364,1767769,"(NA)"
"94000","Plains","4","SA6N","538","323","          Printing and related support activities",3404600,3507715,3550931,3488936,3489743,3568240,3597916,3716141,3714980,"(D)",3722760,3206167,3073249,3107647,3097520,3143363,3211288,"(NA)"
"94000","Plains","4","SA6N","539","324","          Petroleum and coal products manufacturing",416066,417043,463293,587659,535889,566905,575535,636939,732236,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA6N","541","325","          Chemical manufacturing",2857594,2952329,3140822,3267139,3310420,3245324,3435361,3567904,3704906,3961370,4294482,4211907,4371367,4398417,4596749,4567613,4907613,"(NA)"
"94000","Plains","4","SA6N","542","326","          Plastics and rubber products manufacturing",2909850,3002368,3107794,3008833,3078440,3099008,3171742,3277982,3293759,3326359,3346959,2822188,2955084,3118464,3307140,3379538,3540459,"(NA)"
"94000","Plains","4","SA6N","600","42","      Wholesale trade",20667979,21260351,22406279,23491866,23858561,24260685,25673302,27247310,28483396,30000941,31739778,30236830,30896612,32475958,34291889,35197662,36976890,37697582
"94000","Plains","4","SA6N","700","44-45","      Retail trade",25466073,27036411,28522771,27974498,28807003,29808218,30539852,31088991,31620156,32397866,32845340,31930901,32079239,33107125,33937123,34983952,36260762,37801750
