"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"44000","Rhode Island","1","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",17528741,18493169,19844272,20686999,21665966,22934358,24030398,24887843,26205605,26986592,27358908,26413744,27463868,27910602,28565424,29266261,30493654,31525553
"44000","Rhode Island","1","SA6N","5","...","  Wages and salaries",14274936,15051651,16137163,16763538,17463954,18460044,19224409,19816580,20806755,21408585,21666837,20927208,21505404,22042256,22677732,23426034,24528224,25404145
"44000","Rhode Island","1","SA6N","6","...","  Supplements to wages and salaries",3253805,3441518,3707109,3923461,4202012,4474314,4805989,5071263,5398850,5578007,5692071,5486536,5958464,5868346,5887692,5840227,5965430,6121408
"44000","Rhode Island","1","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",2054631,2196628,2385591,2567903,2816480,3015761,3276314,3476105,3723476,3873275,3971898,3776336,4206231,4060790,4022083,3920515,3968210,4070059
"44000","Rhode Island","1","SA6N","8","...","    Employer contributions for government social insurance",1199174,1244890,1321518,1355558,1385532,1458553,1529675,1595158,1675374,1704732,1720173,1710200,1752233,1807556,1865609,1919712,1997220,2051349
"44000","Rhode Island","1","SA6N","9","...","Average compensation per job (dollars) 3/",36615,37936,39874,41492,43414,45633,47441,49134,51491,52993,54823,55305,57873,58625,59787,60453,61994,"(NA)"
"44000","Rhode Island","1","SA6N","81","111-112","  Farm compensation",13073,11941,13968,14738,18285,16617,16208,13256,15408,17573,17223,16385,15896,13738,19571,20239,22652,23402
"44000","Rhode Island","1","SA6N","82","...","  Nonfarm compensation",17515668,18481228,19830304,20672261,21647681,22917741,24014190,24874587,26190197,26969019,27341685,26397359,27447972,27896864,28545853,29246022,30471002,31502150
"44000","Rhode Island","1","SA6N","90","113-814","    Private nonfarm compensation",14173282,14919088,15979711,16640054,17383839,18393221,19217172,19942914,21042333,21631819,21845880,20918538,21715448,22088521,22763952,23518524,24670283,25580881
"44000","Rhode Island","1","SA6N","100","113-115","      Forestry, fishing, and related activities",24496,26911,30735,"(D)","(D)",24618,27774,26210,29698,27962,26399,27691,"(D)","(D)",31107,"(D)","(D)","(D)"
"44000","Rhode Island","1","SA6N","101","113","        Forestry and logging","(T)","(T)","(T)",97,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",148,"(D)","(D)","(NA)"
"44000","Rhode Island","1","SA6N","102","114","        Fishing, hunting and trapping",18825,21164,25069,"(D)",22389,22010,24625,23403,26793,25398,23907,25097,27905,27401,28120,26136,26517,"(NA)"
"44000","Rhode Island","1","SA6N","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)",2379,2493,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2839,2948,"(D)","(NA)"
"44000","Rhode Island","1","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",11138,11931,12938,"(D)","(D)",10745,10970,14040,16087,17259,15509,12237,"(D)","(D)",12508,"(D)","(D)","(D)"
"44000","Rhode Island","1","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"44000","Rhode Island","1","SA6N","202","212","        Mining (except oil and gas)","(T)","(T)",9639,"(D)",11546,9929,"(D)",13980,16026,16990,15310,"(D)",11596,"(D)","(D)",12253,14334,"(NA)"
"44000","Rhode Island","1","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,"(NA)"
"44000","Rhode Island","1","SA6N","300","22","      Utilities",101005,94494,116553,"(D)","(D)",113303,102247,107154,121278,118715,127964,132042,139472,142229,130979,138636,139317,150400
"44000","Rhode Island","1","SA6N","400","23","      Construction",715111,834787,906145,963807,"(D)",1156351,1172947,1235718,1337815,1352701,1300650,1144840,1069835,1059302,1098971,1115805,1159210,1212223
"44000","Rhode Island","1","SA6N","401","236","        Construction of buildings",177580,203334,218035,237810,261056,277313,299633,328293,342668,346108,340750,287675,266703,265719,278703,299150,304735,"(NA)"
"44000","Rhode Island","1","SA6N","402","237","        Heavy and civil engineering construction",103620,101501,98250,112359,"(D)",159670,162874,158092,158776,158948,151708,140206,146792,144653,158041,162247,167726,"(NA)"
"44000","Rhode Island","1","SA6N","403","238","        Specialty trade contractors",433911,529952,589860,613638,629877,719368,710440,749333,836371,847645,808192,716959,656340,648930,662227,654408,686749,"(NA)"
"44000","Rhode Island","1","SA6N","500","31-33","      Manufacturing",3005887,3080816,3203955,3254753,3134556,3052329,3106724,3090038,3093539,3162602,3026622,2685672,2727003,2763147,2752085,2827958,2950755,3024107
"44000","Rhode Island","1","SA6N","510","321,327-339","        Durable goods manufacturing",2004179,2054771,2170123,2253248,2128626,2032539,"(D)",2073440,2054833,2094618,2014990,1788508,1807622,1836557,1820738,1868495,1934211,1957036
"44000","Rhode Island","1","SA6N","511","321","          Wood product manufacturing",27786,29841,33990,34473,"(D)",37559,"(D)","(D)","(D)",33704,"(D)",31859,27105,28710,30677,32557,"(D)","(NA)"
"44000","Rhode Island","1","SA6N","512","327","          Nonmetallic mineral product manufacturing",47427,52288,55033,46601,44052,41014,33996,36426,40925,38614,37462,35387,37728,40036,40176,40379,45471,"(NA)"
"44000","Rhode Island","1","SA6N","513","331","          Primary metal manufacturing",138594,149519,144682,124228,106519,99981,97549,94208,"(D)","(D)","(D)","(D)",101315,"(D)",114114,118472,110299,"(NA)"
"44000","Rhode Island","1","SA6N","514","332","          Fabricated metal product manufacturing",432612,432820,450712,423873,402933,372200,376778,374954,376974,367265,355196,317984,326161,331551,336849,334853,354251,"(NA)"
"44000","Rhode Island","1","SA6N","515","333","          Machinery manufacturing",169534,166115,174824,161666,136911,131692,137383,138123,138560,134304,128228,111712,116350,123723,129872,129905,136071,"(NA)"
"44000","Rhode Island","1","SA6N","516","334","          Computer and electronic product manufacturing",294553,316983,371045,364649,342878,352736,386467,362231,362737,355825,354372,330137,329713,310901,309153,310004,306506,"(NA)"
"44000","Rhode Island","1","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",114638,131900,140284,171442,"(D)",163288,161284,165483,148899,170107,124867,115431,110638,121389,114193,135511,132145,"(NA)"
