"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"08000","Colorado","7","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",69857397,76636393,86411500,89129887,88089377,89280694,93569091,98787261,105664224,112506406,116677545,112297127,113786263,118558239,125014182,129509356,138654268,146397314
"08000","Colorado","7","SA7N 1/","81","111-112","  Farm wages and salaries",299842,295882,340392,348791,402358,344476,361219,403814,378466,425779,405261,454211,399473,403564,460451,520168,529356,547463
"08000","Colorado","7","SA7N 1/","82","...","  Nonfarm wages and salaries",69557555,76340511,86071108,88781096,87687019,88936218,93207872,98383447,105285758,112080627,116272284,111842916,113386790,118154675,124553731,128989188,138124912,145849851
"08000","Colorado","7","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",58266963,64414200,73272812,75062538,72832820,73386225,77053940,81344485,87608158,93550246,96369995,91013404,91872135,96365044,102505678,106223798,114495992,121335283
"08000","Colorado","7","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",54663,62795,65006,74162,76124,82533,84298,91336,96464,104500,115907,127201,137977,144473,154758,167569,177624,191077
"08000","Colorado","7","SA7N 1/","101","113","        Forestry and logging",3899,4141,6166,4415,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5719,4282,4463,4486,4683,"(NA)"
"08000","Colorado","7","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",441,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",268,252,233,250,196,"(NA)"
"08000","Colorado","7","SA7N 1/","103","115","        Support activities for agriculture and forestry",50158,57568,57872,69306,71094,78076,80193,87340,92091,99908,111760,122589,131990,139939,150062,162833,172745,"(NA)"
"08000","Colorado","7","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",762917,805462,772661,975313,838717,875619,1201608,1409652,1738411,2181648,2779768,2183227,2411231,2922067,3154833,3327374,3835488,3674555
"08000","Colorado","7","SA7N 1/","201","211","        Oil and gas extraction",305071,284863,311900,451110,320623,382177,603728,612366,709170,860881,1135371,1028654,1170386,1372322,1395759,1593496,1774766,"(NA)"
"08000","Colorado","7","SA7N 1/","202","212","        Mining (except oil and gas)",329459,400361,315424,326728,331497,280292,300563,328923,372798,401707,432391,384230,404235,436624,465210,445623,423525,"(NA)"
"08000","Colorado","7","SA7N 1/","203","213","        Support activities for mining",128387,120238,145337,197475,186597,213150,297317,468363,656443,919060,1212006,770343,836610,1113121,1293864,1288255,1637197,"(NA)"
"08000","Colorado","7","SA7N 1/","300","22","      Utilities",438917,450137,465563,532363,535605,520916,584414,587628,768477,637391,669486,683089,712808,746624,809706,711728,760981,806222
"08000","Colorado","7","SA7N 1/","400","23","      Construction",4706185,5373716,6357509,6819539,6597595,6227421,6452429,6972837,7583262,7973440,8063566,6595011,5819889,5776727,6098071,6842658,8006017,8640018
"08000","Colorado","7","SA7N 1/","401","236","        Construction of buildings",1088177,1245256,1479069,1582987,1521924,1480237,1552746,1671361,1864333,1922453,1845644,1477619,1264525,1232599,1279756,1441089,1711940,"(NA)"
"08000","Colorado","7","SA7N 1/","402","237","        Heavy and civil engineering construction",742176,827818,918727,1058461,1041653,939803,960411,1048079,1185141,1268872,1391345,1139387,1028852,1101013,1135589,1331940,1529896,"(NA)"
"08000","Colorado","7","SA7N 1/","403","238","        Specialty trade contractors",2875832,3300642,3959713,4178091,4034018,3807381,3939272,4253397,4533788,4782115,4826577,3978005,3526512,3443115,3682726,4069629,4764181,"(NA)"
"08000","Colorado","7","SA7N 1/","500","31-33","      Manufacturing",7766613,8178761,8815669,8781813,8265299,7862707,8046524,8313542,8440505,8454588,8515186,7750842,7756935,8195248,8463570,8526675,9138417,9575082
"08000","Colorado","7","SA7N 1/","510","321,327-339","        Durable goods manufacturing",5728229,6090490,6584749,6502406,6051292,5631558,5800260,6012550,6165562,6183672,6061523,5481228,5510345,5882063,6128357,6120660,6493265,6846878
"08000","Colorado","7","SA7N 1/","511","321","          Wood product manufacturing",129793,145014,155702,156604,151533,153148,179230,191186,206741,205647,182527,123954,104505,101698,111099,121339,134862,"(NA)"
"08000","Colorado","7","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",370190,396546,433474,440682,415150,392615,411910,424508,462743,477631,459257,357976,370556,364788,394162,401433,436052,"(NA)"
