"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"11000","District of Columbia","2","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",30716053,33322139,35400343,37606349,39588333,41336514,44190006,46632925,49269386,51993585,54335454,55127553,57925900,59872323,61194223,62220631,64668314,68034008
"11000","District of Columbia","2","SA7N 1/","81","111-112","  Farm wages and salaries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA7N 1/","82","...","  Nonfarm wages and salaries",30716053,33322139,35400343,37606349,39588333,41336514,44190006,46632925,49269386,51993585,54335454,55127553,57925900,59872323,61194223,62220631,64668314,68034008
"11000","District of Columbia","2","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",17858096,19868665,21767362,23032426,23839372,24758938,26636846,28017821,30110372,32274700,33503057,32904391,33952893,35663965,37288659,38520305,40382214,42494028
"11000","District of Columbia","2","SA7N 1/","100","113-115","      Forestry, fishing, and related activities","(T)","(T)","(T)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA7N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction","(T)",9742,13167,"(D)","(D)",6984,3757,"(D)",0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)",11256,7534,7234,"(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)",1322,"(D)",0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","300","22","      Utilities",102823,135973,160007,"(D)","(D)",176611,182484,197627,205440,213120,224215,230635,156266,167070,169534,185956,188911,212839
"11000","District of Columbia","2","SA7N 1/","400","23","      Construction",385015,415560,481270,524400,594063,634021,629759,"(D)",690906,714202,748964,683642,678352,795454,893572,912696,955111,949159
"11000","District of Columbia","2","SA7N 1/","401","236","        Construction of buildings",146945,162523,187738,194464,227349,244520,240737,252538,262812,266469,265487,245020,266120,284627,313125,310889,308393,"(NA)"
"11000","District of Columbia","2","SA7N 1/","402","237","        Heavy and civil engineering construction",97843,107212,119295,124583,141926,144220,129004,"(D)",146518,134749,133006,132969,148785,168933,182122,183156,204042,"(NA)"
"11000","District of Columbia","2","SA7N 1/","403","238","        Specialty trade contractors",140227,145825,174237,205353,224788,245281,260018,266785,281576,312984,350471,305653,263447,341894,398325,418651,442676,"(NA)"
"11000","District of Columbia","2","SA7N 1/","500","31-33","      Manufacturing",189191,209292,214817,219471,"(D)",170997,183054,161855,139804,130004,125594,115538,107502,109186,104722,110757,97356,107760
"11000","District of Columbia","2","SA7N 1/","510","321,327-339","        Durable goods manufacturing",68091,80598,84607,100019,"(D)",81078,90675,71298,59314,45306,45776,41301,37113,35338,35178,36950,33488,39315
"11000","District of Columbia","2","SA7N 1/","511","321","          Wood product manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",5207,4877,5257,4546,4641,5045,5483,6106,"(D)",4920,4801,4233,3341,3907,4454,4882,6006,"(NA)"
"11000","District of Columbia","2","SA7N 1/","513","331","          Primary metal manufacturing","(T)","(T)","(T)",3113,2082,2323,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","514","332","          Fabricated metal product manufacturing","(T)","(T)","(T)",1453,5937,5820,6209,4715,5629,"(D)","(D)","(D)",7218,5872,6677,5394,3633,"(NA)"
"11000","District of Columbia","2","SA7N 1/","515","333","          Machinery manufacturing","(T)","(T)","(T)",5981,5203,3566,3065,2464,2393,2064,910,905,349,431,"(D)","(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","516","334","          Computer and electronic product manufacturing",20633,27064,27227,"(D)",48856,42634,47538,38314,21545,15399,17078,15087,14737,11048,9375,8854,7247,"(NA)"
"11000","District of Columbia","2","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",6971,9393,10937,"(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,"(NA)"
"11000","District of Columbia","2","SA7N 1/","521","337","          Furniture and related product manufacturing","(T)","(T)","(T)",6856,6411,6627,6890,7169,7375,7824,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","522","339","          Miscellaneous manufacturing",11700,10493,10811,7320,6971,6891,7090,3307,3320,2710,"(D)","(D)","(D)","(D)",2934,"(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",121100,128694,130210,119452,"(D)",89919,92379,90557,80490,84698,79818,74237,70389,73848,69544,73807,63868,68446
"11000","District of Columbia","2","SA7N 1/","531","311","          Food manufacturing",13070,14122,15797,14840,15004,15046,14919,14255,8624,8782,7436,6279,5312,1817,2300,2068,3448,"(NA)"
"11000","District of Columbia","2","SA7N 1/","532","312","          Beverage and tobacco product manufacturing","(T)",8762,7918,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"11000","District of Columbia","2","SA7N 1/","533","313","          Textile mills","(T)","(T)","(T)",711,"(D)","(D)","(D)","(D)","(D)",819,1112,858,691,"(D)","(D)",416,498,"(NA)"
"11000","District of Columbia","2","SA7N 1/","534","314","          Textile product mills","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",928,877,951,"(D)",529,474,576,496,554,"(NA)"
"11000","District of Columbia","2","SA7N 1/","535","315","          Apparel manufacturing","(T)","(T)","(T)",548,451,530,418,523,424,449,553,581,622,734,815,890,942,"(NA)"
