"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19000","Iowa","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",38197432,40182058,41958028,42987825,43747887,45217567,47894120,50009201,52642497,55506496,57456064,56106972,57257622,59438594,62195718,64004001,67195823,69745244
"19000","Iowa","4","SA7N 1/","81","111-112","  Farm wages and salaries",324263,310316,311065,344102,326312,423541,474479,390412,352042,594035,512721,514194,525104,510047,681130,595001,745304,770798
"19000","Iowa","4","SA7N 1/","82","...","  Nonfarm wages and salaries",37873169,39871742,41646963,42643723,43421575,44794026,47419641,49618789,52290455,54912461,56943343,55592778,56732518,58928547,61514588,63409000,66450519,68974446
"19000","Iowa","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",31424691,33141823,34528984,35229420,35758763,36828190,39170199,41061548,43386925,45528321,46982207,45218652,46379609,48459053,50879599,52544179,55297740,57555483
"19000","Iowa","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",50714,56375,59626,64222,66714,81438,100871,107187,113174,125155,140173,151921,176427,181624,211981,230210,227196,216512
"19000","Iowa","4","SA7N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",960,1108,801,745,834,882,995,868,756,790,910,"(D)",1262,1264,"(NA)"
"19000","Iowa","4","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",251,268,284,308,319,328,349,296,303,318,321,"(D)",394,669,"(NA)"
"19000","Iowa","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",47804,53503,55987,63011,65338,80353,99818,106034,111964,123811,139009,150862,175319,180393,210441,228554,225263,"(NA)"
"19000","Iowa","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",69808,74386,73442,73679,75256,73351,82851,88800,90597,92956,94970,92976,92920,98807,100172,104494,112321,122765
"19000","Iowa","4","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"19000","Iowa","4","SA7N 1/","202","212","        Mining (except oil and gas)",67920,72342,70515,73113,"(D)",72782,82329,87805,89866,92273,93375,91548,91406,97044,98888,102725,110169,"(NA)"
"19000","Iowa","4","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)",569,522,995,731,683,1595,1428,1514,1763,1284,1769,2152,"(NA)"
"19000","Iowa","4","SA7N 1/","300","22","      Utilities",431485,462909,462348,464631,504475,470770,503992,467055,467181,519282,534177,531042,518389,528428,539294,522570,559961,587360
"19000","Iowa","4","SA7N 1/","400","23","      Construction",1997362,2157744,2150950,2261357,2319648,2396370,2580657,2819308,3114278,3152866,3302109,2920050,2787425,2906892,3135542,3389956,3978485,4439782
"19000","Iowa","4","SA7N 1/","401","236","        Construction of buildings",475353,516899,513811,526199,556948,557762,603038,671656,717641,746029,801333,640739,589898,642002,658492,702928,878119,"(NA)"
"19000","Iowa","4","SA7N 1/","402","237","        Heavy and civil engineering construction",384457,406883,374347,377970,388780,420514,443768,511791,533023,515480,532630,500422,480541,529758,581541,599336,724853,"(NA)"
"19000","Iowa","4","SA7N 1/","403","238","        Specialty trade contractors",1137552,1233962,1262792,1357188,1373920,1418094,1533851,1635861,1863614,1891357,1968146,1778889,1716986,1735132,1895509,2087692,2375513,"(NA)"
"19000","Iowa","4","SA7N 1/","500","31-33","      Manufacturing",8477161,8807258,9113508,8953089,8718768,8794749,9437106,9892703,10264969,10580788,10747412,9625472,10012334,10549881,10996301,11358076,11818439,11922954
"19000","Iowa","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",5397673,5586175,5868975,5707217,5456335,5506361,6029055,6378394,6714442,6893747,6856035,5849955,6124725,6664593,6986406,7220341,7516788,7475541
"19000","Iowa","4","SA7N 1/","511","321","          Wood product manufacturing",288107,334619,371795,379602,390596,398759,433695,481052,469270,479655,448935,369526,353391,341806,339081,366366,387170,"(NA)"
"19000","Iowa","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",231119,246708,263611,269005,265293,247007,260765,257494,262807,247771,240878,207549,203560,213175,229159,236172,252138,"(NA)"
"19000","Iowa","4","SA7N 1/","513","331","          Primary metal manufacturing",355316,391680,387359,368182,342375,337542,387292,409011,412762,426431,435546,349019,394352,453224,476691,493730,501269,"(NA)"
"19000","Iowa","4","SA7N 1/","514","332","          Fabricated metal product manufacturing",735221,740383,767167,724954,696923,686254,730399,767303,838831,875770,899569,752273,767022,825221,905211,961104,1002814,"(NA)"
"19000","Iowa","4","SA7N 1/","515","333","          Machinery manufacturing",1651479,1566171,1626141,1581148,1472154,1493076,1701515,1822359,1972566,2100023,2203177,1975342,2077556,2360920,2529609,2559349,2639602,"(NA)"
"19000","Iowa","4","SA7N 1/","516","334","          Computer and electronic product manufacturing",618632,635646,642428,677147,628890,641890,702954,815338,865860,951270,943388,872484,947637,1041227,1016495,1039327,1071431,"(NA)"
"19000","Iowa","4","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",433776,505066,569820,538170,496947,498225,479609,458641,494387,439379,379190,299944,305088,287661,276705,287973,294207,"(NA)"
"19000","Iowa","4","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",586221,613674,638773,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",614397,655245,704493,"(NA)"
"19000","Iowa","4","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",34894,56167,50145,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",129218,136267,159462,"(NA)"
"19000","Iowa","4","SA7N 1/","521","337","          Furniture and related product manufacturing",272937,293619,335064,314137,326693,336899,358081,388540,398969,405196,371927,275456,274745,279804,298220,308677,329311,"(NA)"
"19000","Iowa","4","SA7N 1/","522","339","          Miscellaneous manufacturing",189971,202442,216672,192993,169201,199671,202545,200643,197724,177773,190689,166127,163123,163558,171620,176131,174891,"(NA)"
"19000","Iowa","4","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",3079488,3221083,3244533,3245872,3262433,3288388,3408051,3514309,3550527,3687041,3891377,3775517,3887609,3885288,4009895,4137735,4301651,4447413
"19000","Iowa","4","SA7N 1/","531","311","          Food manufacturing",1558140,1640191,1658484,1727074,1767482,1807830,1886527,1952767,1954486,2039192,2149745,2174700,2227541,2251598,2312787,2360750,2417030,"(NA)"
"19000","Iowa","4","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",46518,44553,41438,42692,42275,47343,46411,46362,46765,47060,48247,50606,53773,56581,59084,62187,64496,"(NA)"
