"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"17000","Illinois","3","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",210272378,222634968,236918335,242225035,243025957,245936323,256671215,267041051,282735354,297798934,303218608,286828581,291033696,303015224,314839484,320033911,333471194,348402262
"17000","Illinois","3","SA7N 1/","81","111-112","  Farm wages and salaries",346574,328607,326409,357854,336369,430041,516201,432304,383463,478276,510097,445524,420932,542736,441483,399639,453807,469330
"17000","Illinois","3","SA7N 1/","82","...","  Nonfarm wages and salaries",209925804,222306361,236591926,241867181,242689588,245506282,256155014,266608747,282351891,297320658,302708511,286383057,290612764,302472488,314398001,319634272,333017387,347932932
"17000","Illinois","3","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",181353485,192416375,205083022,208858782,207707143,209836250,219159352,228542545,243203222,256865544,260540993,242881153,246522047,258322032,269571395,274248018,287347744,302189296
"17000","Illinois","3","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",94260,85856,89631,99462,96408,96555,95728,103636,105850,119194,132290,132435,116645,121862,131555,132677,180776,174779
"17000","Illinois","3","SA7N 1/","101","113","        Forestry and logging",2881,3084,2859,2622,2955,2936,2534,3523,4712,5336,5299,3087,2769,2185,1859,2107,2435,"(NA)"
"17000","Illinois","3","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",2418,2638,2478,2470,2538,2594,2687,2988,2974,3085,2985,3542,963,1009,"(NA)"
"17000","Illinois","3","SA7N 1/","103","115","        Support activities for agriculture and forestry",88286,79470,83536,94422,90815,91141,90724,97575,98544,111171,124003,126374,110791,116692,126154,129607,177332,"(NA)"
"17000","Illinois","3","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",517308,512068,481961,508065,504102,483574,496717,546072,587002,609694,596671,572741,616163,630714,685314,683185,731415,721613
"17000","Illinois","3","SA7N 1/","201","211","        Oil and gas extraction",24264,20219,25170,28661,27401,20679,21912,25557,29269,30826,39064,34800,37715,38106,46219,56703,60630,"(NA)"
"17000","Illinois","3","SA7N 1/","202","212","        Mining (except oil and gas)",456232,458675,415610,430026,433951,421209,428054,467243,492167,504118,461015,448468,489919,492785,524337,514203,548461,"(NA)"
