"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"20000","Kansas","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",37317819,39438463,41766878,43269734,43922702,44528950,46698084,48529288,52067815,55404970,57582460,55603680,56102260,58121170,60590986,61785819,64464773,66428945
"20000","Kansas","4","SA7N 1/","81","111-112","  Farm wages and salaries",309675,285481,312808,345394,311277,329580,371694,316067,332556,449849,438894,366777,351231,431244,474994,390503,524237,542169
"20000","Kansas","4","SA7N 1/","82","...","  Nonfarm wages and salaries",37008144,39152982,41454070,42924340,43611425,44199370,46326390,48213221,51735259,54955121,57143566,55236903,55751029,57689926,60115992,61395316,63940536,65886776
"20000","Kansas","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",30276656,32093196,33999221,35183391,35431009,35735986,37449995,39078748,41956531,44549006,46172486,43872533,44165546,45998946,48384563,49671088,52058458,53951478
"20000","Kansas","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",54259,56771,59727,61625,63402,65801,68794,73509,74922,76871,83143,88943,98263,101473,111071,119515,126789,140572
"20000","Kansas","4","SA7N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)",222,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",155,193,"(NA)"
"20000","Kansas","4","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",389,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",701,841,"(NA)"
"20000","Kansas","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",51101,52642,54752,61167,62800,65296,68183,72909,74289,76038,82349,88195,97520,100727,110330,118659,125755,"(NA)"
"20000","Kansas","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",233639,218541,242537,275177,241303,260855,300141,340289,424141,462985,524428,409887,434626,495903,570039,585390,623513,496592
"20000","Kansas","4","SA7N 1/","201","211","        Oil and gas extraction",104701,87780,103338,100097,93480,99687,98190,105288,125155,137798,163560,139348,142571,166465,180905,176822,181054,"(NA)"
"20000","Kansas","4","SA7N 1/","202","212","        Mining (except oil and gas)",45266,45479,47021,58353,43970,47012,50081,53684,57605,55401,58895,57502,61533,60751,60132,64508,71997,"(NA)"
"20000","Kansas","4","SA7N 1/","203","213","        Support activities for mining",83672,85282,92178,116727,103853,114156,151870,181317,241381,269786,301973,213037,230522,268687,329002,344060,370462,"(NA)"
"20000","Kansas","4","SA7N 1/","300","22","      Utilities",385012,410572,412390,462626,468910,430437,461113,484568,500399,536683,571254,604724,618498,708986,678333,682306,694905,635369
"20000","Kansas","4","SA7N 1/","400","23","      Construction",1886568,2082562,2217223,2276347,2257847,2267163,2315356,2452771,2655559,2824713,2954692,2644245,2567023,2511306,2728368,2854973,3116796,3218661
"20000","Kansas","4","SA7N 1/","401","236","        Construction of buildings",439712,494788,525074,512518,493787,488669,493875,503922,544473,594609,603525,508450,475910,467551,517728,550234,608957,"(NA)"
"20000","Kansas","4","SA7N 1/","402","237","        Heavy and civil engineering construction",363692,399418,424268,451047,429137,434624,455708,495883,518985,547210,573299,551988,572560,513161,578877,618828,681614,"(NA)"
"20000","Kansas","4","SA7N 1/","403","238","        Specialty trade contractors",1083164,1188356,1267881,1312782,1334923,1343870,1365773,1452966,1592101,1682894,1777868,1583807,1518553,1530594,1631763,1685911,1826225,"(NA)"
"20000","Kansas","4","SA7N 1/","500","31-33","      Manufacturing",7272825,7512045,7687537,7812547,7633704,7379897,7810217,8110777,8815732,9228154,9315056,8388137,8356722,8631180,8775168,8898424,8982076,9126944
"20000","Kansas","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",4981946,5108368,5217840,5300797,5029089,4776475,5086405,5372074,6020416,6325096,6429080,5599594,5503505,5708528,5855255,5903988,5864763,5931860
"20000","Kansas","4","SA7N 1/","511","321","          Wood product manufacturing",70138,64738,60776,66225,66452,64543,64487,66389,74519,73310,68797,56206,52934,"(D)","(D)","(D)","(D)","(NA)"
"20000","Kansas","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",204032,219338,232577,236826,241532,247755,253538,273473,282394,270773,269045,247196,240286,228878,225302,222436,233238,"(NA)"
"20000","Kansas","4","SA7N 1/","513","331","          Primary metal manufacturing",104866,104112,96389,97438,101201,97531,108640,117066,133589,135703,146272,97348,104898,121739,124651,113737,125380,"(NA)"
"20000","Kansas","4","SA7N 1/","514","332","          Fabricated metal product manufacturing",400512,399407,415109,418474,408746,419247,446767,492927,527389,574755,630244,532414,530451,576995,630703,691932,742574,"(NA)"
"20000","Kansas","4","SA7N 1/","515","333","          Machinery manufacturing",757121,726245,741941,710603,641981,617486,670856,703074,737617,822510,873727,745013,762786,860937,940909,969781,1037306,"(NA)"
"20000","Kansas","4","SA7N 1/","516","334","          Computer and electronic product manufacturing",280009,302427,316755,313392,300858,319848,352468,380384,423162,482719,491273,464808,490620,493130,493944,496226,336879,"(NA)"
"20000","Kansas","4","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",139989,141526,149378,173720,165242,167674,189759,191292,185299,185020,186603,166288,164863,172671,163071,163915,162656,"(NA)"
"20000","Kansas","4","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",321861,383990,444036,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",372158,"(D)","(D)","(D)","(D)","(D)","(NA)"
"20000","Kansas","4","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",2371426,2436271,2415456,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2588438,"(D)",2435233,2446441,2439271,2387536,"(NA)"
"20000","Kansas","4","SA7N 1/","521","337","          Furniture and related product manufacturing",116770,130693,135468,132717,135351,143345,150880,160035,172192,177550,170989,136156,124130,117430,114131,119719,125665,"(NA)"
"20000","Kansas","4","SA7N 1/","522","339","          Miscellaneous manufacturing",215222,199621,209955,208355,211575,223187,215567,210295,210511,211770,209977,193569,178815,187466,190959,182686,187148,"(NA)"
