"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"92000","Mideast","2","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",792051636,839674352,910611416,937037722,939847404,963213946,1016931041,1062910768,1130880005,1203532691,1231504040,1177976186,1213217453,1255571064,1294260694,1318747658,1381264998,1435687808
"92000","Mideast","2","SA7N 1/","81","111-112","  Farm wages and salaries",1097031,997831,1156779,1189883,1490217,1364327,1351507,1109062,1241959,1489477,1418202,1325712,1299522,1137468,1588807,1625278,1797430,1858913
"92000","Mideast","2","SA7N 1/","82","...","  Nonfarm wages and salaries",790954605,838676521,909454637,935847839,938357187,961849619,1015579534,1061801706,1129638046,1202043214,1230085838,1176650474,1211917931,1254433596,1292671887,1317122380,1379467568,1433828895
"92000","Mideast","2","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",655733367,697749626,761994565,781766500,775588063,792464428,838224702,878063345,939652090,1004309902,1023750894,963330706,993012096,1035444094,1074116753,1097215663,1154753465,1204403120
"92000","Mideast","2","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",316545,334309,367590,358744,"(D)",370886,389766,411155,423830,430245,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA7N 1/","101","113","        Forestry and logging",63986,66286,71541,62623,"(D)","(D)",61279,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"92000","Mideast","2","SA7N 1/","102","114","        Fishing, hunting and trapping",33350,35687,39821,25313,24539,"(D)",25214,"(D)","(D)","(D)",19901,"(D)","(D)","(D)",17979,"(D)","(D)","(NA)"
"92000","Mideast","2","SA7N 1/","103","115","        Support activities for agriculture and forestry",219209,232336,256228,270808,280453,290419,303273,322420,338471,351636,385943,402394,429271,434050,441624,458371,502406,"(NA)"
"92000","Mideast","2","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1229113,1186294,1185122,1245743,"(D)",1191443,1297091,1426367,1536224,1641057,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"92000","Mideast","2","SA7N 1/","201","211","        Oil and gas extraction",112087,111741,114942,123530,"(D)","(D)","(D)",114809,"(D)","(D)","(D)","(D)",382087,"(D)","(D)",702550,"(D)","(NA)"
"92000","Mideast","2","SA7N 1/","202","212","        Mining (except oil and gas)",1016828,970226,953335,"(D)",943491,"(D)","(D)",1107755,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"92000","Mideast","2","SA7N 1/","203","213","        Support activities for mining",100198,104327,116845,"(D)",139120,142787,165718,203803,"(D)",324546,388731,"(D)","(D)","(D)","(D)","(D)",1531779,"(NA)"
"92000","Mideast","2","SA7N 1/","300","22","      Utilities",6950108,6967809,7488879,"(D)","(D)",7640260,7568405,7659280,7761115,8181006,8365908,8191003,8634590,8983614,9254328,9091827,9477527,10498632
"92000","Mideast","2","SA7N 1/","400","23","      Construction",32340016,35725643,39847847,42939776,43609424,44366655,46407484,48641011,52741183,55857655,57294480,51178011,48959466,50498114,51864758,54244154,57777076,61849748
"92000","Mideast","2","SA7N 1/","401","236","        Construction of buildings",7616825,8500305,9449312,10121059,10531630,10926567,11676419,12585580,13522274,13996366,14093101,12174431,11499544,11584587,11886137,12439662,13449014,"(NA)"
"92000","Mideast","2","SA7N 1/","402","237","        Heavy and civil engineering construction",4283637,4529585,4973192,5344915,5433624,5475388,5613478,5789912,6387312,6737274,7122578,6952871,7054215,7533986,7842811,8003955,8605774,"(NA)"
"92000","Mideast","2","SA7N 1/","403","238","        Specialty trade contractors",20439554,22695753,25425343,27473802,27644170,27964700,29117587,30265519,32831597,35124015,36078801,32050709,30405707,31379541,32135810,33800537,35722288,"(NA)"
"92000","Mideast","2","SA7N 1/","500","31-33","      Manufacturing",93211471,94150273,98801142,96145667,"(D)",89765273,90835529,91786738,93787393,94918463,94487302,85359358,85757559,87060538,87863466,87788902,89853477,91394176
"92000","Mideast","2","SA7N 1/","510","321,327-339","        Durable goods manufacturing",51965640,52549415,55485350,54409466,"(D)",49728178,50643882,51369731,53083040,53882851,53950818,47839948,47835151,49733528,50460766,50377151,51032512,52560013
"92000","Mideast","2","SA7N 1/","511","321","          Wood product manufacturing",1270763,1372247,1454552,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1070169,1102005,"(D)",1327758,"(NA)"
"92000","Mideast","2","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",3273866,3177403,3444538,3364057,3231513,3193121,3198916,3318274,"(D)",3200047,3114528,2647787,2588304,2594834,2678907,2673605,2779327,"(NA)"
"92000","Mideast","2","SA7N 1/","513","331","          Primary metal manufacturing",4263674,4241182,4396122,4107492,3714549,3570035,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"92000","Mideast","2","SA7N 1/","514","332","          Fabricated metal product manufacturing",7987931,8096343,8534765,8242642,7771212,7568420,7742542,8042329,8403597,"(D)","(D)","(D)",7952118,8257832,8569170,8634228,8819512,"(NA)"
"92000","Mideast","2","SA7N 1/","515","333","          Machinery manufacturing",8803202,8605025,8568719,8269386,7503070,7020007,7212133,7216633,7445407,7646335,7793363,6791540,6838405,7337446,"(D)","(D)","(D)","(NA)"
"92000","Mideast","2","SA7N 1/","516","334","          Computer and electronic product manufacturing",10877229,11155861,12788842,"(D)",12525818,11949311,12107335,12461415,12860311,12750799,12765101,12127626,12209402,12350771,12422750,12023071,11860609,"(NA)"
"92000","Mideast","2","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",2741863,2726468,2791837,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
