"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"41000","Oregon","8","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",47926280,50950564,55205663,55728283,55914034,57325280,60575685,64411219,69043132,72760324,73884899,69955678,70948929,74018783,77158018,80140083,85067923,90686185
"41000","Oregon","8","SA7N 1/","81","111-112","  Farm wages and salaries",550766,619035,632868,630350,588062,607045,663897,774484,757899,860051,847899,950313,835789,844348,816492,922381,938674,970783
"41000","Oregon","8","SA7N 1/","82","...","  Nonfarm wages and salaries",47375514,50331529,54572795,55097933,55325972,56718235,59911788,63636735,68285233,71900273,73037000,69005365,70113140,73174435,76341526,79217702,84129249,89715402
"41000","Oregon","8","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",39447718,41967206,45651162,45730430,45562149,46753105,49569361,52836882,57039652,60068802,60474328,56021226,57021678,59982626,63112522,65805626,70199921,75168825
"41000","Oregon","8","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",478931,500398,536927,543298,600523,609924,593192,622551,642077,671983,684823,593113,607860,647664,708000,770303,818496,894787
"41000","Oregon","8","SA7N 1/","101","113","        Forestry and logging",283967,288975,299454,301985,316673,318066,329289,334886,331116,337366,328265,264975,257403,280065,309627,342266,362076,"(NA)"
"41000","Oregon","8","SA7N 1/","102","114","        Fishing, hunting and trapping",36893,38854,41702,24339,25515,25871,25852,26622,27538,28856,30545,30316,27961,29995,29317,32714,33689,"(NA)"
"41000","Oregon","8","SA7N 1/","103","115","        Support activities for agriculture and forestry",158071,172569,195771,216974,258335,265987,238051,261043,283423,305761,326013,297822,322496,337604,369056,395323,422731,"(NA)"
"41000","Oregon","8","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",69249,73863,75584,66177,70166,73234,78843,90843,100142,105833,95060,76470,71654,77495,76687,77208,79235,91150
"41000","Oregon","8","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",615,873,490,224,305,373,"(D)","(D)","(D)","(NA)"
"41000","Oregon","8","SA7N 1/","202","212","        Mining (except oil and gas)",63572,67558,68608,64821,68426,71600,77897,89500,96655,102482,91803,70348,65384,68901,70659,71645,74819,"(NA)"
"41000","Oregon","8","SA7N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",2872,2478,2767,5898,5965,8221,"(D)","(D)","(D)","(NA)"
"41000","Oregon","8","SA7N 1/","300","22","      Utilities",291881,298030,318950,328489,342641,343368,366111,341726,367652,378594,387738,398447,383511,390320,404298,402239,422291,451284
"41000","Oregon","8","SA7N 1/","400","23","      Construction",3075385,3177236,3445182,3310371,3231961,3115920,3351222,3771622,4418832,4746253,4467349,3580470,3297073,3475909,3662167,3966481,4427112,4547665
"41000","Oregon","8","SA7N 1/","401","236","        Construction of buildings",786499,802679,847327,809860,800658,778161,824855,955700,1141186,1214335,1125026,876332,770453,823264,852629,980476,1100592,"(NA)"
"41000","Oregon","8","SA7N 1/","402","237","        Heavy and civil engineering construction",444288,465032,488819,480576,469231,479527,513035,549257,634376,690588,652811,575733,579793,599389,539013,569007,590597,"(NA)"
"41000","Oregon","8","SA7N 1/","403","238","        Specialty trade contractors",1844598,1909525,2109036,2019935,1962072,1858232,2013332,2266665,2643270,2841330,2689512,2128405,1946827,2053256,2270525,2416998,2735923,"(NA)"
"41000","Oregon","8","SA7N 1/","500","31-33","      Manufacturing",8771854,9191711,9897628,9659733,8952998,8978980,9583630,10057831,10585440,10835604,10672828,9219181,9669603,10392337,10962142,11098458,11761465,12400449
"41000","Oregon","8","SA7N 1/","510","321,327-339","        Durable goods manufacturing",6865623,7251192,7883453,7740632,7062073,7058876,7613547,8052332,8501453,8685016,8501990,7171463,7616185,8301495,8797059,8842519,9408000,9859383
"41000","Oregon","8","SA7N 1/","511","321","          Wood product manufacturing",1178264,1235211,1256210,1167166,1164500,1173821,1279069,1312473,1309798,1215521,1086096,872055,866055,849299,905202,992589,1047986,"(NA)"
"41000","Oregon","8","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",191115,187896,200602,210670,201279,205303,220568,242830,242050,249850,241672,196594,198459,203114,204488,213707,229619,"(NA)"
"41000","Oregon","8","SA7N 1/","513","331","          Primary metal manufacturing",411844,417655,466939,475779,425628,396350,424614,480443,561439,619596,629318,496800,510905,576897,593920,591636,583016,"(NA)"
"41000","Oregon","8","SA7N 1/","514","332","          Fabricated metal product manufacturing",598524,609522,655110,601005,539124,556660,605757,653051,702294,738693,766795,633676,653010,706598,756181,768469,782537,"(NA)"
"41000","Oregon","8","SA7N 1/","515","333","          Machinery manufacturing",588820,585769,657019,623439,577315,568952,606943,610206,645856,694362,676609,554633,588880,679284,739931,769697,801715,"(NA)"
"41000","Oregon","8","SA7N 1/","516","334","          Computer and electronic product manufacturing",2794653,3058982,3408515,3460208,2984590,2993842,3194447,3360508,3538807,3657422,3650538,3264225,3650920,4047832,4291937,4185262,4539882,"(NA)"
"41000","Oregon","8","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",86957,93282,109772,127026,90426,92929,96181,100756,120526,119615,126192,117128,121237,133642,146765,140039,147547,"(NA)"
"41000","Oregon","8","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",311936,346557,365855,335012,354392,341058,396791,442262,451192,429227,337406,203874,220325,235429,247966,227229,237896,"(NA)"
"41000","Oregon","8","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",257974,263952,281970,265914,244449,241085,255013,281690,321356,346503,369471,321642,324774,368219,391344,409689,456590,"(NA)"
"41000","Oregon","8","SA7N 1/","521","337","          Furniture and related product manufacturing",198392,211269,226356,223064,224818,228610,244824,261044,283149,267674,240005,181411,165170,169316,177760,187017,206255,"(NA)"
"41000","Oregon","8","SA7N 1/","522","339","          Miscellaneous manufacturing",247144,241097,255105,251349,255552,260266,289340,307069,324986,346553,377888,329425,316450,331865,341565,357185,374957,"(NA)"
"41000","Oregon","8","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",1906231,1940519,2014175,1919101,1890925,1920104,1970083,2005499,2083987,2150588,2170838,2047718,2053418,2090842,2165083,2255939,2353465,2541066
"41000","Oregon","8","SA7N 1/","531","311","          Food manufacturing",620517,623362,647966,627716,637622,663543,683879,684345,720096,768254,801647,810048,835295,858166,909276,966315,1030429,"(NA)"
"41000","Oregon","8","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",70243,73528,71177,71411,68368,71597,82417,83167,90904,104819,111859,121679,113692,119523,133730,147946,170397,"(NA)"
"41000","Oregon","8","SA7N 1/","533","313","          Textile mills","(T)","(T)","(T)",5957,4786,4175,3367,2938,2910,3003,2955,2479,2256,2401,2681,2800,3245,"(NA)"
"41000","Oregon","8","SA7N 1/","534","314","          Textile product mills",24728,26077,28633,28203,27606,30943,33606,34092,30556,33957,34963,28558,28457,30236,32551,34481,34824,"(NA)"
