"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"53000","Washington","8","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",93722306,103080733,109279037,109689454,110416725,113070544,118020292,124542645,134850708,145238170,150162581,146352093,147985400,154979490,164187779,170597978,181978361,191152832
"53000","Washington","8","SA7N 1/","81","111-112","  Farm wages and salaries",895554,1001213,1018125,1008633,935899,991236,960767,1146230,1061749,1053352,1342360,1319697,1210806,1150722,1520930,1574324,1623517,1679052
"53000","Washington","8","SA7N 1/","82","...","  Nonfarm wages and salaries",92826752,102079520,108260912,108680821,109480826,112079308,117059525,123396415,133788959,144184818,148820221,145032396,146774594,153828768,162666849,169023654,180354844,189473780
"53000","Washington","8","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",75649799,84121212,89135129,88340167,87597506,89113715,93188305,98369064,107587786,116470127,119200247,114045557,115202980,122170788,130731767,136619682,146870622,154782276
"53000","Washington","8","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",655358,732147,713396,700958,733586,756238,787594,817416,871282,889964,921350,876556,912177,967868,1061466,1081700,1116178,1183312
"53000","Washington","8","SA7N 1/","101","113","        Forestry and logging",276205,311491,289983,275256,286200,276904,285624,270515,264214,265967,265839,215452,229166,232244,256005,263963,260695,"(NA)"
"53000","Washington","8","SA7N 1/","102","114","        Fishing, hunting and trapping",125909,157669,136947,125240,137276,152164,149049,162773,177004,179558,195973,152704,166185,189266,190858,162626,142006,"(NA)"
"53000","Washington","8","SA7N 1/","103","115","        Support activities for agriculture and forestry",253244,262987,286466,300462,310110,327170,352921,384128,430064,444439,459538,508400,516826,546358,614603,655111,713477,"(NA)"
"53000","Washington","8","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",159937,153568,152561,160508,147793,149733,169782,179390,192860,183315,164900,126189,123827,131638,131560,136405,143937,161334
"53000","Washington","8","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)",0,0,0,0,0,0,"(D)","(D)","(D)",245,186,"(NA)"
"53000","Washington","8","SA7N 1/","202","212","        Mining (except oil and gas)",149206,141414,138049,153513,141361,142753,159062,170748,182272,169682,150703,117400,110220,112826,115231,120290,128152,"(NA)"
"53000","Washington","8","SA7N 1/","203","213","        Support activities for mining",9081,10999,13349,"(D)","(D)","(D)",10720,8642,10588,13633,14197,8789,"(D)","(D)","(D)",15870,15599,"(NA)"
"53000","Washington","8","SA7N 1/","300","22","      Utilities",253362,259427,273183,281680,263476,260499,278763,288900,318383,327192,358188,397792,375445,398490,411580,413741,424524,478930
"53000","Washington","8","SA7N 1/","400","23","      Construction",5248946,5944362,6495929,6484590,6451673,6549750,7074079,7896425,9165516,10416161,10464597,8562087,7510517,7413536,7669855,8357869,9241967,10409652
"53000","Washington","8","SA7N 1/","401","236","        Construction of buildings",1445190,1628062,1754487,1741117,1776790,1759036,1862407,2108833,2471691,2768701,2769007,2192544,1897235,1846311,1915032,2092302,2349063,"(NA)"
"53000","Washington","8","SA7N 1/","402","237","        Heavy and civil engineering construction",877808,960894,985825,981865,981014,1054467,1151532,1262591,1505742,1610691,1490970,1307105,1203843,1225604,1295601,1388702,1435360,"(NA)"
"53000","Washington","8","SA7N 1/","403","238","        Specialty trade contractors",2925948,3355406,3755617,3761608,3693869,3736247,4060140,4525001,5188083,6036769,6204620,5062438,4409439,4341621,4459222,4876865,5457544,"(NA)"
"53000","Washington","8","SA7N 1/","500","31-33","      Manufacturing",15313891,15346972,15741690,15199632,14618677,13557189,13849902,15093338,16779457,17627482,17917669,16748442,16844092,18410653,19575834,20555074,21780788,21832440
"53000","Washington","8","SA7N 1/","510","321,327-339","        Durable goods manufacturing",11856343,11725519,11817902,11584665,10744697,10077727,10373887,11507437,13052013,13767894,14075216,13140863,13245106,14622651,15715302,16597220,17663902,17640727
"53000","Washington","8","SA7N 1/","511","321","          Wood product manufacturing",696224,704676,769273,663473,642622,669916,749910,817752,835230,805500,720800,567604,557785,564632,587301,638142,897210,"(NA)"
"53000","Washington","8","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",309423,324578,338868,339597,339066,364659,387982,424000,464778,510167,515239,443136,441101,445756,459205,490224,510030,"(NA)"
"53000","Washington","8","SA7N 1/","513","331","          Primary metal manufacturing",541163,494263,489326,422470,308650,260546,250192,264449,286241,316408,326040,274971,286508,333929,364380,368870,388176,"(NA)"
"53000","Washington","8","SA7N 1/","514","332","          Fabricated metal product manufacturing",644289,630845,668837,649522,646851,646089,686189,749605,819253,903894,963433,799819,779494,834851,924718,959629,1016053,"(NA)"
